date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2001-12-13,29.1,30.0,29.0,14.02,49466000,-19786400.0,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49466000.0,,,,,,,,,,,,,,,,,,,,,,,
2001-12-14,29.9,30.1,29.52,14.2,9676300,-24124051.7241,,,,,,,,,,,,-0.3793,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,59142300.0,,,,,,13.873,,,,,,,,,,,,0.3827,,,,,
2001-12-17,29.95,29.95,29.4,14.09,5110900,-28305697.1787,,,,,,,,,,,,-0.9091,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,54031400.0,,,,,,13.8783,,,,,,,,,,,,0.2631,,,,,
2001-12-18,29.5,29.95,29.39,14.33,5167700,-23137997.1787,,,,,,,,,,,,0.8036,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,59199100.0,,,,,,13.8835,,,,,,,,,,,,0.2679,,,,,
2001-12-19,29.85,30.19,29.62,14.42,3693200,-19963141.0383,,,,,,,,,,,,0.5263,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,62892300.0,,,,,,13.8887,,,,,,,,,,,,0.2727,,,,,
2001-12-20,30.25,30.98,30.12,14.43,3914200,-23422201.5034,,,,,,,,,,,,-0.093,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,66806500.0,,,,,,13.8997,,,,,,,,,,,,0.4114,,,,,
2001-12-21,30.4,30.99,30.25,14.82,3429100,-19993101.5034,,,,,,,,,,,,0.7973,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,70235600.0,,,,,,13.9273,,,,,,81.8984,100.0,,,,,0.3923,,,,,
2001-12-24,30.75,31.49,30.75,15.05,976900,-19121812.3143,,,,,,,,,,,,0.9459,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,71212500.0,,,,,,13.9632,,,,,,82.3839,98.0952,,,,,0.354,,,,,
2001-12-26,31.5,32.74,31.5,15.4,2456300,-18804870.3788,,,,,,,,,,,,0.5645,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,73668800.0,,,,,,14.0183,,,,85.9594,93.5958,93.5958,82.6923,,,,,0.6171,,,,,
2001-12-27,32.2,32.97,31.52,15.71,4447500,-15093508.3098,2447476.3825,,,,,,,,,,,0.4483,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,78116300.0,,,,,,14.1169,,,,89.3907,92.1923,92.1923,95.7895,,,,,0.6937,,,,,
2001-12-28,32.86,33.1,32.58,15.76,4174800,-13487816.0021,3218226.7848,,,,,,,,,,,0.1538,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1.7413,,82291100.0,,,12.4232,,,14.2328,,,,92.248,90.9559,90.9559,94.386,,,,,0.2488,,,,,
2001-12-31,33.11,33.74,32.72,15.88,5532800,-13921761.1002,3102894.2559,,,,,,,,,,,0.0784,,,,,14.8425,,,,,,,,,,0,,,,,,,,,,,,,,1.6791,,87823900.0,,,11.8261,,,14.3609,,,,91.2473,90.5936,90.5936,81.6054,,,,,0.4879,,,,,
2002-01-02,32.61,32.8,31.12,14.97,5168900,-17983039.6716,1481406.4708,,,,,,,,,,,-0.7798,,,,,14.8627,,,,,,,,,,0,,,,,,,,,,,,,,0.885,,82655000.0,,,6.2818,,,14.5211,,,,80.8345,60.9538,60.9538,6.8702,,,,,0.9902,,,,,
2002-01-03,32.75,32.75,30.82,14.95,2906500,-19594415.3193,170686.8099,,,,,,,,,,,-0.7772,,,,,14.876,14.8595,,,,,,,,,0,,,,,,,,,,,14.947,15.0068,,0.6219,,79748500.0,,,4.3406,,,14.6668,,,,61.9827,34.4005,34.4005,14.726,,,,,0.9233,14.9348,,,-52.5316,15.1279
2002-01-04,32.0,32.0,31.1,15.28,3086000,-16851304.2081,491774.4103,,,,0.0,78.5714,78.5714,0.4811,,,,-0.0556,,37.9113,,31.4189,14.9388,14.9161,,,,,,,,,0,14.9781,,,,,,,,,78.0702,14.9829,15.1001,14.3471,0.8611,3.1478,82834500.0,27.4927,,5.9701,1.0904,68.9557,14.7437,,,,38.4842,20.0983,20.0983,38.6986,,,,,0.4305,15.0714,,,-41.1494,15.1845
2002-01-07,31.75,32.05,31.37,15.28,2449300,-15122386.5611,1128531.8245,,,,14.2857,71.4286,57.1429,0.47,,,,0.2941,,37.9113,,32.0842,14.9919,14.9652,,,,,,,,,0,15.0006,,,,,,,,,75.2713,14.9829,15.1001,13.5896,0.8515,3.075,82834500.0,26.4294,,5.8999,1.0765,68.9557,14.7437,,,,28.4022,30.7078,30.7078,38.6986,,,,,0.3253,15.1875,,,-41.1494,15.2291
2002-01-08,31.25,31.85,31.25,15.2,1766500,-13768069.8944,1717348.6311,,,,7.1429,64.2857,57.1429,0.4603,,,,0.8833,,34.1281,,28.8536,15.0244,14.9969,,,,,,,,,0,15.0163,,,,,,,,,79.901,15.1025,15.1001,13.7861,0.3779,3.0279,81068000.0,24.9681,,2.5492,1.0791,67.064,14.8694,,,,30.9223,41.9607,41.9607,48.4848,,,,,0.3349,15.2729,,,-45.0575,15.2524
2002-01-09,31.95,31.95,31.25,14.97,1639100,-15173012.7516,1355078.3583,,,,0.0,57.1429,57.1429,0.4514,,,,-0.9286,,23.8013,,30.3817,15.0165,14.9938,,,,,,,,,0,15.0148,,,,,,,,,74.9208,15.1503,15.1551,13.0113,-0.0718,3.0145,79428900.0,24.3677,,-0.4769,1.0451,61.9007,16.1405,,,,36.6733,37.3513,37.3513,24.8705,,,,,0.3349,15.3153,,,-59.2233,15.2346
2002-01-10,31.12,31.68,31.01,14.83,1689400,-16862412.7516,546151.5777,,,,0.0,50.0,50.0,0.442,,,,-0.1642,,17.8955,,23.5245,14.9885,14.9725,,,,,,,,,0,15.0111,,,,,,,,,70.0825,15.1551,15.2747,14.2603,-0.5693,2.9797,77739500.0,23.0334,,-3.6957,1.0285,58.9477,16.1286,,,,34.5879,24.4518,24.4518,0.0,,,,,0.3205,15.3135,,,-75.4144,15.1921
2002-01-11,31.01,31.15,30.75,14.78,1966200,-17353962.7516,9174.5695,,,,0.0,42.8571,42.8571,0.4241,13.8472,14.9197,15.9922,-0.275,-19.1269,15.642,,16.3833,14.9568,14.9471,,,,,,,,,0,15.0073,,,,,,,,,64.2116,15.3297,15.3058,15.9858,-0.9328,2.8692,75773300.0,22.2501,,-5.9361,1.0242,57.821,16.1028,,14.9197,,24.6465,12.1363,12.1363,11.5385,,,,,0.1914,15.2823,,,-81.3754,15.1386
