date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2012-04-12,33.25,34.21,32.0,21.48,654700,530277.3756,,,,,,,,,,,,0.3394,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,654700.0,,,,,,,,,,,,,,,,,,,,,,,
2012-04-13,34.0,37.45,33.91,23.38,1685000,1786887.5451,,,,,,,,,,,,0.8475,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2339700.0,,,,,,20.2188,,,,,,,,,,,,2.2367,,,,,
2012-04-16,37.0,37.0,35.99,23.09,550200,1846810.3173,,,,,,,,,,,,-0.4455,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1789500.0,,,,,,20.2532,,,,,,,,,,,,0.6382,,,,,
2012-04-17,36.4,36.75,36.0,22.75,179600,1667210.3173,,,,,,,,,,,,-0.5333,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1609900.0,,,,,,20.2873,,,,,,,,,,,,0.4739,,,,,
2012-04-18,36.0,36.44,34.5,22.75,207100,1780368.0493,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1609900.0,,,,,,20.3211,,,,,,,,,,,,1.2258,,,,,
2012-04-19,36.0,37.22,35.8,22.75,598100,1350746.9225,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1609900.0,,,,,,20.3545,,,,,,,,,,,,0.8972,,,,,
2012-04-20,36.1,37.0,36.1,22.95,149700,1274233.5892,,,,,,,,,,,,0.2444,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1759600.0,,,,,,20.3876,,,,,,66.4486,66.9118,,,,,0.6318,,,,,
2012-04-23,36.24,36.24,35.42,22.54,95700,1239221.3941,,,,,,,,,,,,-0.6829,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1663900.0,,,,,,20.4203,,,,,,56.4446,43.3824,,,,,0.5687,,,,,
2012-04-24,36.0,36.0,34.68,21.96,124500,1127925.9395,,,,,,,,,,,,-0.947,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1539400.0,,,,,,20.4527,,,,54.2405,39.8284,39.8284,9.1912,,,,,0.834,,,,,
2012-04-25,34.8,35.5,34.5,21.96,266200,994825.9395,-72118.5958,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1539400.0,,,,,,20.4848,,,,38.9537,20.5882,20.5882,9.1912,,,,,0.6318,,,,,
