date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,199.0,200.0,174.0,55.61,45667000,364783412.4518,-8716198.8907,63.5884,59.6376,6.4821,0.0,100.0,100.0,3.7922,21.7785,37.9348,54.091,-0.7577,203.2467,71.796,50.5372,85.174,44.3112,43.0809,37.9119,33.9337,,3.6085,12.2479,,,,0,48.3898,6.4111,1.8738,4.5373,6.4821,2.57,3.912,0.6975,9.6299,91.8571,44.1354,46.7134,4.4835,20.3291,6.8198,759645750.0,55.9986,18.0745,57.6264,1.7174,85.898,43.6421,,37.9348,,79.0102,76.401,76.401,74.9091,91.454,100.0,,53.6099,8.0634,39.7115,2.2064,57.2222,-20.962,44.8304
2000-01-04,171.8,175.1,160.0,50.27,31783700,318897011.1273,-31857377.0008,63.4423,59.207,7.047,7.1429,92.8571,85.7143,3.9489,22.2785,38.9179,55.5573,-0.6424,120.3703,42.3182,51.3329,61.5435,45.2283,44.0397,38.8274,34.4899,,5.6639,24.0912,,,,0,48.6274,6.4108,1.4988,4.912,7.047,2.6177,4.4293,0.7442,10.0363,83.2589,44.2091,46.7134,11.8817,14.0799,7.8551,696078350.0,49.9111,19.2284,38.9032,1.539,71.1591,47.3189,,38.9179,,75.6722,66.358,66.358,36.8333,65.586,0.0,,53.8544,5.9855,41.3792,2.3498,53.3497,-38.3797,46.0703
2000-01-05,159.9,163.0,139.0,49.0,46889200,373601077.7939,-21022258.0155,61.3346,58.0026,7.4132,0.0,85.7143,85.7143,4.1985,23.0535,39.8215,56.5896,-0.0792,71.4958,36.3139,51.5952,33.9339,45.8086,44.7012,39.581,34.0867,,13.4225,32.7684,,,,0,48.6665,6.236,1.0592,5.1768,7.4132,2.4521,4.9611,0.7926,10.4259,76.4888,44.8332,47.45,21.4912,10.4747,8.5683,602299950.0,43.5684,19.8074,27.1886,1.4934,68.157,62.0261,,39.8215,,63.463,47.63,47.63,31.1475,33.3333,0.0,,53.4346,7.4431,43.1484,2.432,54.3174,-44.6809,46.973
2000-01-06,148.5,156.0,139.8,43.45,29391300,316995611.1273,-32689425.2777,59.3774,57.0559,7.4272,0.0,78.5714,78.5714,4.3018,24.2533,40.4848,56.7163,-0.5185,41.9094,13.7503,50.3644,33.9339,45.4457,44.5342,39.8675,33.092,,20.9322,10.0766,,,,0,48.4589,5.5852,0.3267,5.2585,7.4272,1.9479,5.4794,0.8424,10.7562,71.0507,45.4419,48.1478,19.4705,5.8149,9.9007,543517350.0,39.472,19.5365,15.4512,1.2757,56.8752,61.8369,,40.4848,,45.7498,23.2614,23.2614,1.8033,0.0,0.0,,51.0365,5.6444,44.8723,2.4228,49.1706,-66.9274,46.9814
2000-01-07,134.0,150.5,132.9,46.52,34099300,381319290.6727,-14023966.0952,56.975,56.0967,7.3899,0.0,71.4286,71.4286,4.3844,25.5069,41.2795,57.0522,0.9091,33.6277,21.4906,50.0812,25.7444,45.6109,44.799,40.3603,31.7488,,19.0842,-10.6821,,,,0,48.3657,5.2566,-0.0015,5.2581,7.3899,1.429,5.9609,0.8938,11.1138,65.0396,45.8877,48.5199,21.2305,10.3506,9.4248,611715950.0,35.9517,19.0852,28.6174,1.3187,60.7453,61.6496,,41.2795,,30.1233,19.4784,19.4784,25.4844,4.4449,13.3348,,50.1888,5.4583,46.4263,2.3731,46.048,-57.4053,47.3097
2000-01-10,161.6,163.0,152.5,49.43,17680400,392432684.9584,-1577110.421,55.3095,55.6479,7.5872,0.0,64.2857,64.2857,4.3592,26.9181,42.2336,57.5491,-0.2095,65.3399,28.0895,50.5307,33.6584,46.1992,45.4171,41.0325,31.8065,,16.1498,-29.1998,,,,0,48.4267,5.1718,-0.0691,5.2408,7.5872,1.1516,6.4356,0.9468,11.497,65.1152,45.8877,48.7797,19.8241,9.6296,8.8181,647076750.0,39.9397,19.2049,24.1917,1.3659,64.0447,61.241,,42.2336,,24.2559,30.0279,30.0279,62.7962,21.176,50.1932,,50.4779,4.0317,47.6848,2.3145,51.6167,-47.5271,47.9196
2000-01-11,156.0,157.9,141.5,45.22,15287900,377890536.178,-968888.5825,52.8872,54.9272,7.7484,21.4286,57.1429,35.7143,4.4443,28.2035,42.8755,57.5476,-0.622,31.2668,13.2572,49.7991,21.3969,46.0481,45.3904,41.3424,31.1499,,4.1676,-43.461,,,,0,48.3553,4.7099,-0.4247,5.1347,7.7484,0.9155,6.8329,1.0012,11.8342,61.3923,45.8877,48.7797,23.5475,6.2181,9.8289,616500950.0,36.3674,19.3229,15.9443,1.1737,56.6286,60.8405,,42.8755,33.3142,31.073,43.7126,43.7126,42.8571,21.176,0.0,,49.1424,5.5513,48.526,2.2179,46.5352,-63.4475,47.841
2000-01-12,145.0,147.5,136.1,42.89,17227800,356733588.8095,-7363745.7583,50.2368,53.4312,7.5332,14.2857,50.0,35.7143,4.3794,29.4811,43.3869,57.2926,-0.5877,2.513,5.9696,48.5892,15.7816,45.5624,45.0571,41.4572,30.0606,,-4.3414,-26.6496,,,,0,48.2643,4.1089,-0.8206,4.9295,7.5332,0.3965,7.1367,1.057,12.1448,57.1604,45.8877,48.7797,24.9243,-8.203,10.2106,582045350.0,34.2654,18.5675,-16.0546,1.1397,52.9848,60.448,,43.3869,33.8228,38.3128,41.1979,41.1979,17.9402,16.7311,0.0,,47.2603,3.5355,48.8529,2.0822,47.8821,-72.2271,47.3886
2000-01-13,144.4,145.6,137.6,44.38,12573400,366163638.8095,-6309921.8068,47.7757,52.3522,7.4642,7.1429,42.8571,35.7143,4.2438,30.9321,43.9653,56.9984,-0.1625,1.2604,9.9626,47.9496,15.7816,45.3804,44.9668,41.6736,29.2249,,-8.8562,-13.2807,,,,0,48.1583,3.7099,-0.9757,4.6856,7.4642,0.1206,7.3436,1.114,12.4671,60.4939,47.3027,48.7797,23.8811,-5.7839,9.5625,607192150.0,32.8313,18.1658,-11.5301,1.227,54.9813,60.0634,,43.9653,34.3618,38.824,31.5615,31.5615,33.887,6.0173,18.0519,,46.3219,2.481,48.7536,1.9346,52.6971,-66.6081,47.0846
2000-01-14,147.6,148.9,139.5,43.54,13104600,344973221.7883,-12047588.1691,45.6814,51.4995,6.3211,0.0,35.7143,35.7143,4.1489,32.2174,44.4394,56.6613,-0.766,-2.1645,7.2049,47.1974,18.4549,45.0976,44.7769,41.8121,28.6322,,-10.1495,7.3445,,,,0,48.0992,3.2882,-1.1179,4.4061,6.3211,-1.0046,7.3257,1.1723,12.7779,59.7457,47.3027,49.2332,22.68,-11.0717,9.5285,580982950.0,32.9457,15.1938,-20.2726,1.0939,53.6024,59.6864,,44.4394,34.8287,31.7878,22.6041,22.6041,15.9851,7.8788,5.5845,,45.2994,2.9152,48.305,1.7777,45.2255,-72.2424,46.5908
2000-01-18,137.4,141.3,135.0,43.14,14251500,353569364.6454,-10564443.6656,43.3598,51.0529,5.2544,0.0,28.5714,28.5714,3.9921,33.3299,44.8325,56.335,0.2698,-27.4321,5.8287,46.467,13.179,44.7963,44.5585,41.9104,27.9435,,-2.5959,13.0671,,,,0,48.0291,2.8882,-1.2143,4.1025,5.2544,-1.8721,7.1265,1.2319,13.0815,56.3862,49.2487,51.6212,24.3877,-12.4672,9.2541,552479950.0,31.7916,12.4854,-22.4205,1.1062,52.9143,59.317,,44.8325,35.2823,25.5859,22.592,22.592,17.9039,7.8788,0.0,,44.3784,1.9538,47.6867,1.6167,51.2561,-90.7601,46.0076
2000-01-19,137.1,147.0,137.0,45.47,15364200,381839492.6454,-2258.0355,41.5592,50.9775,3.9108,50.0,21.4286,-28.5714,3.9285,34.4981,45.2961,56.0941,0.95,-12.1326,12.7847,46.4382,18.1518,44.8992,44.6794,42.1737,26.9821,,-1.538,-0.6738,,,,0,47.9648,2.7274,-1.1001,3.8275,3.9108,-2.8266,6.7374,1.2927,13.4053,51.074,49.2487,51.6212,23.0098,-4.807,8.6407,583208350.0,33.2158,9.1662,-9.562,0.8898,56.3923,58.955,,45.2961,35.7351,28.1034,39.1141,39.1141,83.4532,35.1948,100.0,,44.4983,3.1013,46.9701,1.4722,46.9827,-79.5827,45.6951
2000-01-20,149.3,156.0,147.1,48.26,19612000,417537739.8364,15677374.559,40.4061,51.167,2.6876,42.8571,14.2857,-28.5714,3.8561,35.379,45.7826,56.1863,0.7079,26.2003,20.3846,47.094,25.4158,45.4157,45.1563,42.6242,25.8185,,-4.0625,-1.0297,,,,0,47.9674,2.793,-0.8276,3.6206,2.6876,-3.5232,6.2108,1.3551,13.7538,43.3505,49.2487,51.6212,21.765,-0.7443,7.9909,622432350.0,36.5986,6.2103,-1.519,0.962,60.1923,58.6002,,45.7826,36.2515,42.7301,66.4841,66.4841,98.0952,66.6667,100.0,,45.5677,2.9152,46.3141,1.3587,49.9992,-66.1699,45.8083
2000-01-21,158.3,160.4,151.0,48.04,17477500,411587952.6024,18773439.7224,39.5732,51.5808,1.9102,35.7143,7.1429,-28.5714,3.7889,36.5616,46.3029,56.0442,-0.3617,32.7321,19.5123,47.5531,28.7452,45.8193,45.5407,43.0254,24.6873,,-3.6829,2.4305,,,,0,47.9698,2.7953,-0.6602,3.4555,1.9102,-3.6917,5.6019,1.4188,14.0967,44.6036,49.2487,51.6212,20.5668,4.5899,7.8871,587477350.0,37.1607,4.3544,10.5639,0.8796,59.7561,58.2526,,46.3029,36.7474,64.0766,86.6316,86.6316,78.3465,98.0024,94.0072,,46.2951,2.9152,45.7215,1.2656,52.5524,-67.2131,45.9108
2000-01-24,155.8,157.0,139.6,43.45,16085300,381266237.6598,8685517.1055,37.7812,50.6117,1.0384,28.5714,0.0,-28.5714,3.9037,37.9805,46.6669,55.3532,-0.9023,-28.8569,2.587,46.7643,14.4854,45.4547,45.2619,43.0568,23.7289,,-2.8289,3.5782,,,,0,47.6629,2.3991,-0.8452,3.2442,1.0384,-3.8358,4.8743,1.4836,14.3902,31.9255,46.5816,47.7601,25.0121,-3.0703,8.9846,555306750.0,33.4857,2.3453,-6.6,0.7814,51.2935,57.9118,,46.6669,37.1208,72.8742,65.5068,65.5068,20.0787,64.6691,0.0,,45.232,5.3963,45.3067,1.1597,47.8938,-82.9384,45.464
2000-01-25,143.6,149.9,140.0,46.21,19835700,413724655.8417,14096725.7196,36.1172,48.7259,0.8012,21.4286,0.0,-21.4286,3.8442,38.8835,46.9871,55.0907,0.5455,-33.8797,10.7706,46.7998,14.4854,45.5708,45.3882,43.2903,22.9365,,-1.7149,6.4785,,,,0,47.6364,2.2815,-0.7702,3.0517,0.8012,-3.3012,4.1023,1.5497,14.7084,40.4957,46.1629,45.8838,23.5831,-3.2254,8.3191,594978150.0,31.5726,1.7906,-6.5245,0.9192,55.3853,57.5779,,46.9871,37.5092,67.347,49.9024,49.9024,51.2821,46.6629,45.9815,,45.3931,3.0703,45.1517,1.0647,51.9063,-46.5116,45.5009
2000-01-26,129.0,130.9,120.0,38.64,68476600,392364982.4472,8232621.7344,34.0067,46.692,0.0153,100.0,21.4286,-78.5714,4.212,38.7942,46.9693,55.1443,-0.4037,-167.6071,-11.244,44.9326,6.5699,44.5049,44.4887,42.946,22.279,,0.995,7.0846,,,,0,47.2152,1.5597,-1.1936,2.7533,0.0153,-3.2517,3.267,1.6167,14.9477,39.226,44.0385,43.8835,30.5134,-6.5748,10.9001,458024950.0,26.7512,0.0341,-14.5405,0.7886,44.378,57.2507,,46.9693,37.6959,47.6638,27.5823,27.5823,11.3861,15.3272,0.0,,42.8748,8.9938,45.0143,0.9351,44.8634,-89.3023,44.5675
2000-01-27,126.7,128.0,117.4,37.22,31285500,360489189.9943,-5057047.6522,32.2144,44.5947,-1.0423,100.0,14.2857,-85.7143,4.146,37.3015,46.2753,55.2492,-0.6321,-164.0215,-14.6863,43.0632,8.9152,43.3835,43.519,42.5215,21.7409,,3.4202,3.76,,,,0,46.9392,0.8626,-1.5125,2.3752,-1.0423,-3.3642,2.3219,1.6845,15.1704,39.6398,43.3252,43.4803,30.174,-5.6754,11.1404,395453950.0,25.2343,-2.3208,-13.2321,0.8565,42.6568,56.6496,,46.2753,37.8696,33.4632,22.9049,22.9049,6.0465,15.3272,0.0,,40.5001,3.2874,44.8687,0.7804,43.5531,-94.2982,43.5426
2000-01-28,121.1,121.4,105.6,34.3,42837500,329038873.5386,-20040917.8506,31.2612,43.2854,-1.7895,100.0,7.1429,-92.8571,4.1998,35.3004,45.4822,55.664,-0.6646,-198.0498,-21.3954,40.8296,18.8688,41.9861,42.2899,41.9126,21.3284,,3.9865,-4.9655,,,,0,46.0546,0.0741,-1.8408,1.915,-1.7895,-3.2102,1.4207,1.7529,15.3617,39.7361,41.8676,41.6505,33.8874,-10.0792,12.2443,309778950.0,23.129,-3.9989,-22.7114,0.7373,39.3023,55.84,,45.4822,37.9888,19.8469,9.0534,9.0534,9.7276,0.0,0.0,,37.7377,4.9001,44.5292,0.5996,37.6581,-91.2892,42.1884
2000-01-31,117.1,127.5,116.8,39.39,40259000,402031826.8097,-1123750.7228,29.8891,41.3882,-2.1489,92.8571,0.0,-92.8571,4.2742,35.1238,44.7208,54.3179,0.9252,-125.8183,-5.7676,40.3017,12.0519,41.5862,41.9028,41.7254,21.0287,,-0.0575,-9.4712,,,,0,45.7323,-0.1388,-1.643,1.5042,-2.1489,-2.747,0.5981,1.8221,15.602,42.6176,41.2784,41.2474,30.9163,-4.1557,10.852,390296950.0,24.2658,-4.7949,-9.5442,0.7967,47.1162,54.6855,,44.7208,38.2448,17.7729,21.3604,21.3604,48.307,16.1949,48.5847,,37.5,5.2412,44.0502,0.4386,41.3125,-60.9489,41.6287
