date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2014-12-15,35.87,35.95,34.86,25.84,1898614,-400624.9725,,,,,,,,,,,,-0.5321,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1898614.0,,,,,,,,,,,,,,,,,,,,,,,
2014-12-16,35.41,35.75,35.35,25.97,4877532,-2595514.3725,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6776146.0,,,,,,25.5298,,,,,,,,,,,,0.3369,,,,,
2014-12-17,35.47,36.6,35.44,26.49,2500241,-1948900.3208,,,,,,,,,,,,0.6034,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9276387.0,,,,,,25.5363,,,,,,,,,,,,0.8495,,,,,
2014-12-18,37.11,38.69,36.86,27.95,11518677,3023643.3022,,,,,,,,,,,,0.5792,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20795064.0,,,,,,25.5617,,,,,,,,,,,,1.8455,,,,,
2014-12-19,39.12,41.9,38.21,30.69,8381790,11405433.3022,,,,,,,,,,,,0.7534,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,29176854.0,,,,,,25.6449,,,,,,,,,,,,2.7317,,,,,
2014-12-22,41.04,42.98,39.62,29.06,4526257,7040828.3379,,,,,,,,,,,,-0.4048,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,24650597.0,,,,,,25.8465,,,,,,,,,,,,2.4607,,,,,
2014-12-23,39.72,40.31,39.17,28.75,1400025,5861859.9169,,,,,,,,,,,,-0.4035,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23250572.0,,,,,,26.128,,,,,,69.1376,50.6631,,,,,0.8349,,,,,
2014-12-24,39.42,39.6,38.78,28.77,518884,5988416.99,,,,,,,,,,,,-0.1585,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23769456.0,,,,,,26.3954,,,,,,49.0396,39.7059,,,,,0.6005,,,,,
2014-12-26,39.08,39.56,38.87,28.58,453609,5732029.2944,,,,,,,,,,,,-0.087,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,23315847.0,,,,,,26.6495,,,,51.3202,35.7834,35.7834,16.9811,,,,,0.5053,,,,,
2014-12-29,39.38,39.39,38.7,28.47,975416,5265525.99,1215057.8357,,,,,,,,,,,-0.7246,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,22340431.0,,,,,,26.8908,,,,35.0402,20.2975,20.2975,4.2056,,,,,0.5053,,,,,
2014-12-30,38.91,39.06,38.08,28.47,845464,5783157.0104,1055889.3833,,,,,,,,,,,-0.0408,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2.6218,,21494967.0,,,10.1445,,,27.1201,,,,24.9839,18.8709,18.8709,35.426,,,,,0.7177,,,,,
