date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,48.38,49.75,47.69,10.94,416200,-7406146.855,-198847.003,14.1386,17.5425,-0.0587,7.1429,28.5714,21.4286,0.3771,10.0983,10.6895,11.2807,0.4854,39.7686,9.9641,10.759,20.7461,10.7364,10.7316,10.6762,20.1089,,0.0958,0.1276,,,,0,10.8342,0.0627,-0.0124,0.0752,-0.0587,0.135,-0.1937,0.2465,2.9729,68.8637,10.5037,10.4262,14.1642,0.0155,3.4472,-13574744.0,21.5796,-0.5441,0.142,1.0763,54.982,11.111,,10.6895,,31.9398,32.0319,32.0319,75.1111,33.3333,100.0,,10.7956,0.4564,10.7023,-0.0131,44.6165,-12.0915,10.7359
2000-01-04,49.44,50.5,47.44,10.54,422900,-8390316.7177,-397205.5774,15.1044,18.1727,-0.0381,0.0,100.0,100.0,0.3986,10.1428,10.648,11.1531,-0.6144,21.6954,-7.2212,10.7069,27.6601,10.7058,10.7056,10.6659,19.6227,,0.1674,-0.0035,,,,0,10.8254,0.042,-0.0266,0.0685,-0.0381,0.1438,-0.1819,0.2605,3.0485,71.1767,10.6765,10.6688,12.4314,-0.1263,3.783,-14642673.0,21.9381,-0.3539,-1.1843,1.0467,46.3894,9.7482,,10.648,,26.6753,28.3229,28.3229,3.9216,33.3333,0.0,,10.716,0.6779,10.7261,-0.0111,36.1584,-62.6866,10.7191
2000-01-05,48.94,49.38,48.0,10.65,247500,-8960968.8916,-623813.8152,16.0013,18.7904,-0.0452,7.1429,92.8571,85.7143,0.3989,10.1632,10.6258,11.0884,-0.6377,32.7527,-2.4827,10.6923,27.6601,10.6968,10.6979,10.6646,19.2375,,0.1195,-0.2389,,,,0,10.8227,0.0341,-0.0276,0.0616,-0.0452,0.1164,-0.1616,0.2748,3.1245,63.7785,10.7386,10.6688,11.5281,0.0,3.7468,-14017673.0,20.344,-0.4201,0.0,1.0226,48.7587,9.7626,,10.6258,,31.151,33.098,33.098,20.2614,42.5243,27.5729,,10.6942,0.4032,10.7354,-0.0107,35.5507,-52.0256,10.7125
2000-01-06,47.0,47.31,46.31,10.39,397300,-8820509.4116,-615115.1857,15.1411,17.9718,-0.0448,0.0,85.7143,85.7143,0.3981,10.1479,10.5981,11.0483,-0.12,-107.106,-12.3297,10.6155,3.9592,10.6491,10.6563,10.644,18.931,,-0.041,-0.3124,,,,0,10.818,0.0066,-0.044,0.0506,-0.0448,0.0912,-0.136,0.2894,3.1971,54.995,10.6632,10.7242,17.4792,-0.206,3.8334,-15020955.0,18.9204,-0.4177,-1.9452,0.9843,43.8351,9.7769,,10.5981,,24.6722,12.5956,12.5956,13.6038,9.191,0.0,,10.5866,0.3877,10.7293,-0.0171,32.9453,-86.3962,10.6688
2000-01-07,48.0,49.0,47.0,10.7,286100,-8596542.4716,-484374.8849,15.4855,17.7833,-0.0258,92.8571,78.5714,-14.2857,0.4033,10.1585,10.6084,11.0583,0.155,10.8326,0.7499,10.6326,19.9618,10.6574,10.6626,10.6483,18.7132,,-0.1373,-0.0258,,,,0,10.8164,0.0103,-0.0322,0.0426,-0.0258,0.0794,-0.1053,0.3043,3.2722,50.4233,10.6632,10.7242,16.017,-0.0709,3.7676,-14298481.0,24.0064,-0.2408,-0.658,0.9797,50.3749,9.791,,10.6084,,24.2977,27.1993,27.1993,47.7327,28.7474,58.6692,,10.617,0.4697,10.7155,-0.0205,35.85,-52.2673,10.669
2000-01-10,48.88,49.69,48.31,10.7,306700,-9371036.4716,-633286.045,16.1954,17.6324,0.0023,85.7143,71.4286,-14.2857,0.3963,10.1766,10.6215,11.0664,-0.413,68.3537,0.7499,10.6467,25.4254,10.6644,10.668,10.6524,18.5898,,-0.0124,0.0424,,,,0,10.8157,0.0131,-0.0236,0.0367,0.0023,0.0789,-0.0766,0.3195,3.3465,61.7194,10.6632,10.7242,15.1297,-0.0421,3.7026,-14298481.0,25.4463,0.0211,-0.3918,1.0037,50.3749,9.805,,10.6215,,25.3838,36.3564,36.3564,47.7327,52.8897,100.0,,10.6407,0.3057,10.7051,-0.0219,34.7096,-52.2673,10.6713
2000-01-11,47.56,48.13,46.75,10.5,302700,-9437505.4281,-657782.0017,15.5779,16.854,0.0133,78.5714,64.2857,-14.2857,0.3927,10.2403,10.6381,11.0359,-0.1304,-72.2065,-7.3841,10.607,7.5503,10.6387,10.6452,10.6409,18.4685,,-0.0522,-0.1616,,,,0,10.8124,-0.0013,-0.0304,0.0291,0.0133,0.0643,-0.051,0.335,3.418,53.922,10.6632,10.7242,20.4916,-0.4276,3.7407,-15062874.0,23.8387,0.1244,-3.914,0.9859,46.308,9.8188,,10.6381,10.6491,35.3099,42.3741,42.3741,31.6568,65.4937,37.8119,,10.5871,0.3456,10.6925,-0.0263,35.6093,-74.463,10.6457
2000-01-12,47.19,48.0,46.75,10.58,281800,-9010535.8281,-472150.7475,15.0045,15.9741,0.0298,71.4286,57.1429,-14.2857,0.3844,10.3618,10.6637,10.9656,0.448,-87.8439,-3.7938,10.5956,7.5503,10.6295,10.6364,10.6363,18.2919,,-0.1436,-0.0796,,,,0,10.8113,-0.006,-0.0281,0.0221,0.0298,0.0598,-0.03,0.3508,3.4896,54.9045,10.6632,10.7242,19.4322,-0.1795,3.6336,-14351258.0,22.6062,0.2798,-1.668,0.9987,48.1031,9.8325,,10.6637,10.6511,39.7983,40.6644,40.6644,42.6036,67.6912,65.2616,,10.5762,0.2769,10.6742,-0.0306,34.9896,-65.6325,10.6325
2000-01-13,47.13,49.19,46.63,10.84,497400,-7999800.0469,-31690.1451,15.2115,15.5456,0.0325,64.2857,50.0,-14.2857,0.3975,10.3969,10.6852,10.9735,0.707,-0.6916,6.9785,10.6524,17.9015,10.6623,10.6639,10.6516,18.1282,,-0.16,0.0179,,,,0,10.8115,0.0114,-0.0086,0.0199,0.0325,0.0475,-0.015,0.3669,3.5631,58.4703,10.6632,10.7242,17.4433,0.1662,3.6657,-13095198.0,25.0502,0.3056,1.5563,1.0064,53.4892,9.8461,,10.6852,10.6647,44.3184,49.9169,49.9169,75.4902,67.6912,100.0,,10.6609,0.5672,10.6551,-0.0287,47.3163,-37.2315,10.6546
2000-01-14,48.69,48.69,47.31,10.68,325700,-7773321.6991,223440.4979,15.4036,15.303,0.0358,57.1429,42.8571,-14.2857,0.3949,10.4095,10.6914,10.9733,-0.3623,-33.9277,-0.0614,10.6571,17.9015,10.6645,10.6656,10.6534,17.9855,,-0.1312,0.2598,,,,0,10.8107,0.0116,-0.0067,0.0183,0.0358,0.0403,-0.0045,0.3832,3.6343,51.6214,10.6632,10.7242,16.2993,0.0687,3.6984,-13917672.0,23.4074,0.3371,0.6475,0.9936,49.9693,9.8595,,10.6914,10.6799,48.9797,56.358,56.358,50.9804,72.082,50.9843,,10.6671,0.3611,10.6408,-0.0265,50.0403,-55.1313,10.6538
2000-01-18,50.0,50.81,49.38,11.24,795200,-5933751.9089,892817.0126,16.6837,15.4859,0.0543,50.0,100.0,50.0,0.4081,10.3488,10.7073,11.0659,0.5245,248.9301,19.4287,10.8021,33.3256,10.7536,10.7427,10.6972,17.8497,,0.075,0.2084,,,,0,10.8177,0.0569,0.0309,0.026,0.0543,0.0485,0.0058,0.3998,3.7104,58.3782,10.815,10.7585,14.6377,0.3035,3.6298,-11909592.0,29.2703,0.5104,2.7744,1.0292,59.7143,9.8728,,10.7073,10.6993,60.4289,75.0117,75.0117,98.5646,83.6614,100.0,,10.8696,0.5805,10.6435,-0.0116,58.4938,-1.3333,10.7294
2000-01-19,52.0,54.5,51.5,11.51,1444400,-8511300.2022,265358.6741,19.1128,16.5636,0.0883,42.8571,100.0,57.1429,0.4383,10.2505,10.7495,11.2486,-0.02,376.503,26.587,10.9845,50.6905,10.8696,10.8446,10.7572,17.7601,,0.0115,-0.0378,,,,0,10.8478,0.1128,0.0694,0.0433,0.0883,0.0677,0.0206,0.4168,3.7883,71.1158,10.9468,11.1673,12.6499,0.9704,3.809,-8262118.0,38.6582,0.8264,9.2094,1.0696,63.2935,9.9005,,10.7495,10.7262,67.9029,72.3388,72.3388,67.4714,83.6614,100.0,,11.1127,0.8308,10.6702,0.0168,52.8509,-31.2576,10.837
