date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,12.38,13.38,12.25,5.4,2125600,1777603.5398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,13.0,13.13,12.63,5.37,1089267,2954011.5398,,,,,,,,,,,,,,,,,,,,,5.0407,,,,,,,,,
1999-11-03,13.13,13.31,12.75,5.3,1242067,1955922.2541,,,,,,,,,,,,,,,,,,,,,5.0443,,,,,,,,,
1999-11-04,13.0,13.25,12.44,5.17,702400,1214500.0319,,,,,,,,,,,,,,,,,,,,,5.053,,,,,,,,,
1999-11-05,13.19,13.25,11.81,4.94,1445200,-381241.6348,,,,,,,,,,,,,,,,,,,,,5.4769,,,,,,,,,
1999-11-08,12.0,12.0,11.38,4.73,788667,-1106306.1509,,,,,,,,,,,,,,,,,,,,,5.4707,,,,,,,,,
1999-11-09,11.44,12.0,11.38,4.94,778067,60793.8491,,,,,,,,,,,,5.1218,,,,,,,,,5.455,,,,,,5.1218,,,
1999-11-10,11.94,12.0,11.25,4.89,1604200,1697077.8491,,,,,,,,,,,,5.0635,,,,,,,,,5.4395,,,,,,5.0484,,,
1999-11-11,11.81,11.81,11.31,4.81,616200,2177713.8491,,,,,,,,,,,,5.0002,,,,,,,,,5.4152,,,,,,4.9678,,,
1999-11-12,11.63,12.38,11.56,4.86,678667,1780445.5564,,,,,,,,,,,,4.9651,,,,,,,,,5.3916,,,,,,4.9049,,,
1999-11-15,11.88,11.94,11.69,4.83,392867,1474009.5564,,,,,,,,,,,,4.9325,,,,,,-0.5679,-10.5103,,5.3688,,,,,,4.8573,,,
1999-11-16,11.75,12.0,11.56,4.76,719867,394209.5564,,,,,,,,,,,,4.8886,,,,,,-0.6172,-11.4855,,5.3466,,,,,,4.8315,,,
1999-11-17,11.69,13.13,11.56,4.89,2808667,-2101389.1697,,,,,,,,,,,,4.8886,,,,,,-0.4115,-7.764,,4.6292,,,,,,4.8538,,,
1999-11-18,12.75,12.81,11.94,4.94,1551600,-4107768.4801,,,,,,,4.9878,,,,,4.9009,,,,,,-0.2304,-4.4586,,4.637,4.9878,,,,,4.8538,,,
1999-11-19,12.19,12.44,11.88,5.02,1148200,-3923236.3372,,,0.3069,,,,4.9916,,,,,4.9297,,,,,53.1048,0.0782,1.5833,36.3372,4.6446,4.9602,,,,,4.872,,,
1999-11-22,12.44,12.5,11.88,5.09,903667,-3092446.0146,,,0.3032,,,,5.0053,,,,,4.9708,,,,,52.3455,0.3621,7.6522,39.9114,4.6522,4.9402,,,,,4.9126,,,
1999-11-23,12.44,12.75,12.19,5.22,661400,-2312938.8718,,,0.298,,,,5.0341,,,,,5.0336,,,,,50.26,0.2839,5.75,45.3066,4.6597,4.9346,,,,,4.9643,,,
