date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,62.5,62.5,62.5,8.98,1070200,-5834991.4453,1965597.9086,18.907,15.0853,0.2092,21.4286,92.8571,71.4286,0.3261,7.8248,8.5842,9.3435,0.0,94.5897,15.0227,9.0895,36.0709,8.8392,8.7901,8.5846,27.1736,,0.6822,0.9928,,,,0,8.6691,0.2517,0.0754,0.1763,0.2092,0.0646,0.1446,0.1873,2.325,41.3794,8.7189,8.6736,12.6203,0.8792,3.632,14848566.0,26.862,2.4615,10.8549,1.0529,57.5113,8.1305,,8.5842,,85.5466,74.1895,74.1895,30.9392,63.5314,0.0,,9.2098,0.3592,8.6129,0.3325,61.6162,-27.027,8.8536
2000-01-04,61.13,62.44,59.0,8.61,1683500,-8261228.1546,1073455.2437,17.876,14.4616,0.2132,14.2857,85.7143,71.4286,0.3387,7.8414,8.5954,9.3494,-0.3459,24.0564,-0.6903,9.005,4.4731,8.8041,8.7662,8.5866,26.2718,,0.9602,0.4719,,,,0,8.6683,0.2151,0.031,0.1841,0.2132,0.058,0.1552,0.1983,2.3879,40.6891,8.7189,8.6736,21.9416,0.3017,3.9337,9498403.0,23.9965,2.5011,3.6307,1.0267,49.6549,8.1667,,8.5954,,71.7981,48.8686,48.8686,15.6667,33.3333,0.0,,9.0568,0.5028,8.7063,0.3461,56.8751,-54.7027,8.847
2000-01-05,59.94,60.25,59.0,8.53,1952300,-10693356.4826,-162958.064,16.9186,13.8089,0.2211,7.1429,78.5714,71.4286,0.3274,7.9041,8.6187,9.3333,-0.448,-12.0436,-3.7866,8.9145,4.4731,8.762,8.7348,8.5825,25.4801,,0.9778,-0.5657,,,,0,8.6668,0.1776,-0.0052,0.1828,0.2211,0.0513,0.1698,0.2096,2.4493,39.4288,8.7189,8.6736,21.0768,0.1537,3.8376,3293994.0,23.0507,2.5853,1.835,1.0215,48.1067,8.2019,,8.6187,,46.9015,17.6464,17.6464,6.3333,-0.0,0.0,,8.9082,0.1796,8.7925,0.3431,54.7824,-60.7568,8.8275
2000-01-06,58.5,61.81,56.88,8.84,3074300,-1914116.371,2139445.4424,16.4372,13.4067,0.2377,0.0,71.4286,71.4286,0.3546,7.9268,8.6407,9.3546,0.6207,2.693,8.211,8.9177,10.1792,8.7746,8.7494,8.6018,24.5137,,0.6137,-1.0566,,,,0,8.673,0.1711,-0.0093,0.1804,0.2377,0.054,0.1837,0.2211,2.5132,52.612,8.7189,8.7138,24.2208,0.5833,4.0093,13064119.0,19.7454,2.7701,7.0609,1.0717,54.1055,9.338,,8.6407,,31.0201,26.5452,26.5452,57.6355,10.503,31.509,,8.9024,0.7083,8.8646,0.3376,59.3257,-39.5857,8.8481
2000-01-07,61.56,64.69,60.63,9.19,1997500,2276225.3531,4220133.2943,15.8759,12.8477,0.273,0.0,64.2857,64.2857,0.3709,7.9221,8.6735,9.4249,0.601,97.3409,19.4366,9.006,8.5789,8.8392,8.8087,8.6457,23.375,,0.3897,-1.1606,,,,0,8.713,0.192,0.0093,0.1828,0.273,0.072,0.201,0.2329,2.58,63.8336,8.7993,8.7548,21.4881,0.6379,4.0341,19412174.0,25.5209,3.1692,7.4547,1.1352,59.7183,9.3264,,8.6735,,31.9676,51.7113,51.7113,91.1652,43.8363,100.0,,9.0179,0.5833,8.9203,0.3398,63.2941,-12.3153,8.9097
2000-01-10,64.0,65.25,63.69,9.28,1230100,3078124.2249,4942824.9389,15.5795,12.3853,0.3261,85.7143,100.0,14.2857,0.3604,7.9195,8.7121,9.5047,0.4038,123.7059,22.0861,9.0982,11.7259,8.9078,8.8722,8.6931,22.1569,,-0.0277,-1.3513,,,,0,8.7521,0.2135,0.0246,0.1889,0.3261,0.1046,0.2215,0.245,2.6471,64.0468,8.7993,8.7727,20.5296,0.5215,3.8818,23321431.0,25.9838,3.7714,5.9508,1.1174,61.0431,8.1715,,8.7121,,52.907,80.4644,80.4644,92.5926,77.1697,100.0,,9.1334,0.2241,8.9588,0.3485,61.8793,-7.4074,8.9731
2000-01-11,64.38,64.44,62.94,9.07,1105000,456062.3582,3954831.3869,14.9268,11.7673,0.3537,78.5714,92.8571,14.2857,0.352,7.9367,8.7392,9.5417,-0.8333,81.8737,12.5916,9.1172,6.4412,8.9326,8.8985,8.7209,21.1095,,-0.5041,-0.7464,,,,0,8.7645,0.2107,0.0174,0.1933,0.3537,0.1105,0.2432,0.2573,2.7113,58.1022,8.7993,8.7727,21.7093,-0.1523,3.8814,19809741.0,24.6985,4.0828,-1.6513,1.0827,56.2958,8.1835,,8.7392,8.3979,72.7729,86.1431,86.1431,74.6714,87.7677,63.303,,9.1413,0.2428,8.9763,0.3541,56.3991,-25.3286,8.9984
2000-01-12,63.19,65.5,63.13,9.27,1266100,1287959.3414,3455816.5751,14.7695,11.9564,0.3621,71.4286,100.0,28.5714,0.3512,7.9659,8.7836,9.6013,0.5781,95.0196,19.0545,9.1817,12.7245,8.9853,8.9487,8.762,20.406,,-0.6002,0.2611,,,,0,8.7974,0.2224,0.0233,0.1991,0.3621,0.0968,0.2654,0.2699,2.7769,64.1808,8.9343,8.7907,20.2003,0.1336,3.7866,23833406.0,26.0906,4.1642,1.4616,1.1228,59.5273,8.1954,,8.7836,8.4127,84.0202,85.4531,85.4531,89.0951,80.4846,78.1508,,9.215,0.3405,8.9819,0.3621,61.4831,-10.9049,9.0445
2000-01-13,64.19,65.88,64.0,9.37,1053200,2391779.969,3288724.6632,14.781,12.4701,0.3244,64.2857,100.0,35.7143,0.3454,8.0037,8.8347,9.6657,0.5638,100.7922,22.0495,9.2565,14.9302,9.0451,9.0054,8.8073,19.9748,,-0.2887,0.9806,,,,0,8.8272,0.237,0.0304,0.2067,0.3244,0.0444,0.2801,0.2828,2.8429,64.2861,8.9523,8.818,19.068,0.1609,3.6847,27180475.0,25.7611,3.7091,1.7465,1.0955,61.0248,8.2197,,8.8347,8.4284,85.1728,83.9222,83.9222,88.0,80.356,99.6141,,9.301,0.2701,8.9883,0.3732,65.8723,-7.0,9.0941
2000-01-14,65.25,65.25,63.0,9.17,1520400,1038867.289,2490921.6953,14.2429,13.1733,0.2972,57.1429,92.8571,35.7143,0.3438,8.0828,8.8805,9.6782,-0.64,66.695,12.6795,9.2632,7.2487,9.0638,9.0269,8.8339,19.5814,,0.1986,1.014,,,,0,8.8343,0.2293,0.0181,0.2112,0.2972,0.0074,0.2899,0.2959,2.9062,56.831,8.9523,8.818,20.7778,-0.171,3.7506,22348644.0,24.0255,3.387,-1.8308,1.0461,56.3397,8.2571,,8.8805,8.441,79.4236,68.8957,68.8957,29.5918,59.5633,0.925,,9.289,0.3232,9.0051,0.3789,64.672,-23.0,9.1084
