date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,38.94,39.56,37.0,18.69,4008667,2818593.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,38.31,40.38,38.31,18.89,5051600,2562353.1703,,,,,,,,,,,,,,,,,,,,,17.7831,,,,,,,,,
1999-11-03,39.63,39.75,37.56,18.5,3544467,1809760.9328,,,,,,,,,,,,,,,,,,,,,17.7993,,,,,,,,,
1999-11-04,38.38,42.0,38.31,20.19,5564867,10157060.9328,,,,,,,,,,,,,,,,,,,,,17.8154,,,,,,,,,
1999-11-05,41.81,43.5,39.81,19.29,7064667,1398022.9925,,,,,,,,,,,,,,,,,,,,,17.8628,,,,,,,,,
1999-11-08,39.75,40.75,39.63,19.35,2150800,1743687.2782,,,,,,,,,,,,,,,,,,,,,17.9542,,,,,,,,,
1999-11-09,40.13,40.25,38.0,18.27,3056867,-2841612.7218,,,,,,,,,,,,19.0248,,,,,,,,,18.0428,,,,,,19.0248,,,
1999-11-10,38.06,39.81,38.0,18.27,2696867,-6886912.7218,,,,,,,,,,,,18.8362,,,,,,,,,18.1287,,,,,,18.9653,,,
1999-11-11,38.44,38.44,36.81,17.76,2472267,-10003788.7954,,,,,,,,,,,,18.5673,,,,,,,,,20.9072,,,,,,18.8035,,,
1999-11-12,39.88,42.88,39.0,20.62,7089800,630911.2046,,,,,,,,,,,,19.0797,,,,,,,,,20.8751,,,,,,19.1053,,,
1999-11-15,42.0,44.75,41.81,21.52,6393000,10220411.2046,,,,,,,,,,,,19.6887,,,,,,2.8292,15.1401,,17.6983,,,,,,19.2953,,,
1999-11-16,43.38,46.75,42.75,22.12,5405667,15288223.7046,,,,,,,,,,,,20.2958,,,,,,3.2235,17.0617,,17.7365,,,,,,19.6995,,,
1999-11-17,45.75,45.94,41.44,20.16,4970867,9488879.2601,,,,,,,,,,,,20.263,,,,,,1.6608,8.9752,,17.8313,,,,,,19.8166,,,
1999-11-18,43.88,45.94,43.31,22.09,4560067,16328979.2601,,,,,,,19.6934,,,,,20.7193,,,,,,1.9018,9.4213,,17.9242,19.6934,,,,,20.3619,,,
