date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,67.5,68.62,64.12,32.78,1157800,710728.5522,-388626.9865,22.0307,26.1386,-1.5795,35.7143,100.0,64.2857,1.6322,27.993,32.4118,36.8305,-0.4311,24.3607,5.5644,32.0817,5.7813,32.2261,32.2447,32.3442,22.2962,,2.0874,1.9202,,,,0,32.6725,-0.1414,0.1634,-0.3047,-1.5795,0.0961,-1.6756,0.76,9.074,50.3309,31.5,31.655,20.612,1.935,4.9791,6197200.0,23.1416,-4.7705,6.2733,1.0244,52.7822,29.0,,32.4118,,84.9237,81.2462,81.2462,56.2232,86.9479,60.8438,,32.5636,2.25,31.168,-0.2993,57.2501,-28.8136,31.8618
2000-01-04,64.88,65.0,60.75,30.44,645500,-501292.6243,-733742.6141,21.2103,25.9951,-1.5496,28.5714,92.8571,64.2857,1.6874,28.1989,32.0665,35.9341,-0.9412,-54.4074,-15.5295,31.6543,10.5452,31.9514,32.0041,32.2031,22.8066,,1.7971,-0.3298,,,,0,32.6557,-0.2715,0.0266,-0.2981,-1.5496,0.217,-1.7666,0.8027,9.2877,52.4822,31.5,31.655,25.6716,0.69,5.5432,4906200.0,20.7738,-4.698,2.3193,1.0137,42.2353,29.0531,,32.0665,,74.334,50.322,50.322,1.6518,53.6146,0.0,,31.91,2.405,31.3941,-0.2819,49.764,-72.8814,31.7373
2000-01-05,60.75,62.94,59.5,31.12,1671900,1501099.2362,-171097.7231,20.8196,25.5006,-1.4179,21.4286,85.7143,64.2857,1.6897,28.6143,31.7743,34.9342,0.436,-68.3689,-8.6831,31.4821,15.7401,31.8242,31.8869,32.1233,23.3176,,1.4991,-0.5107,,,,0,32.646,-0.3157,-0.0141,-0.3016,-1.4179,0.3679,-1.7859,0.8462,9.5061,51.3505,31.5,31.655,26.4507,1.5,5.4287,8250000.0,19.2564,-4.3132,5.0633,1.0091,45.6584,29.1057,,31.7743,,53.637,29.3428,29.3428,30.1535,28.5176,24.7089,,31.6562,1.72,31.5738,-0.2702,51.7067,-59.9812,31.7003
2000-01-06,61.44,61.44,55.63,28.47,1553700,-205029.1631,-468229.5108,21.4331,25.617,-1.2277,100.0,78.5714,-21.4286,1.8054,28.4125,31.429,34.4455,-0.7745,-172.444,-26.7918,30.6857,29.4082,31.3082,31.4313,31.8527,23.38,,1.4108,-1.2657,,,,0,32.4618,-0.5586,-0.2056,-0.353,-1.2277,0.5132,-1.7408,0.8904,9.6957,41.488,30.9225,31.0625,30.6592,-1.5,6.3415,5142600.0,16.7245,-3.7685,-5.005,0.9011,36.6041,34.31,,31.429,,31.2094,13.9633,13.9633,10.0847,8.2363,0.0,,30.5411,3.31,31.6758,-0.2813,47.0135,-89.9153,31.3066
2000-01-07,57.13,58.94,56.0,28.75,855400,-170114.8774,-536108.0139,22.0027,26.137,-1.0277,92.8571,71.4286,-21.4286,1.7815,28.4555,31.0978,33.74,0.1259,-170.7338,-23.999,30.1177,29.4082,30.9146,31.0738,31.6228,23.0838,,1.1827,-1.8304,,,,0,32.3599,-0.7202,-0.2937,-0.4264,-1.0277,0.6192,-1.647,0.9354,9.8862,43.2475,30.9225,31.0625,28.8453,-2.94,6.1964,6853400.0,15.735,-3.1813,-9.2774,0.9321,38.0005,34.245,,31.0978,,20.5058,18.2113,18.2113,14.3957,11.1134,8.6313,,29.8101,1.47,31.7142,-0.3043,44.9295,-85.6043,30.98
2000-01-10,58.5,61.81,58.38,30.16,859300,45336.4345,-446586.7101,21.4,26.054,-0.7779,85.7143,64.2857,-21.4286,1.8082,28.3655,31.0085,33.6515,0.5277,-70.871,-10.8097,30.0165,13.5641,30.7978,30.9513,31.5141,22.5074,,0.7609,-4.5281,,,,0,32.3445,-0.7265,-0.24,-0.4864,-0.7779,0.7179,-1.4958,0.9812,10.0889,53.4167,30.9225,31.0625,26.3812,-1.91,5.9962,8572000.0,20.0793,-2.4256,-5.9567,1.0136,44.5951,34.1807,,31.0085,,18.9945,24.809,24.809,49.9466,32.2959,88.2563,,29.7684,2.155,31.68,-0.3232,45.8471,-63.9723,30.8606
2000-01-11,59.88,62.0,57.88,28.97,1389500,-2652721.8179,-1227838.647,20.9789,26.0462,-0.709,78.5714,57.1429,-21.4286,1.8261,28.1133,30.857,33.6007,-0.4709,-90.5609,-18.6674,29.6481,15.505,30.5166,30.6871,31.3256,21.7476,,-1.5749,-5.1063,,,,0,32.3153,-0.8176,-0.265,-0.5527,-0.709,0.6333,-1.3423,1.0277,10.2777,52.9056,30.9225,31.0625,25.2297,-2.625,6.3036,5793000.0,18.4562,-2.2312,-8.3083,0.9779,40.6663,34.1171,,30.857,32.5625,25.0004,31.981,31.981,31.6005,47.2507,44.8645,,29.3426,2.06,31.5136,-0.3465,38.227,-82.2171,30.5794
2000-01-12,57.56,57.63,53.38,26.72,2566800,-7641373.112,-3023118.156,21.6667,25.6331,-0.7457,100.0,50.0,-50.0,1.8586,27.4197,30.6915,33.9633,-0.9694,-193.9754,-31.0827,28.7992,30.6077,29.9325,30.1582,30.9845,21.0475,,-2.5674,-2.3348,,,,0,32.1157,-1.0593,-0.4053,-0.654,-0.7457,0.4541,-1.1998,1.0747,10.4422,37.2767,30.0475,30.5,31.6849,-5.595,6.9557,659400.0,16.8343,-2.3775,-17.3139,0.8916,34.4587,34.0541,,30.6915,32.4888,28.0681,27.4144,27.4144,0.6961,44.3736,0.0,,28.2572,2.28,31.172,-0.3872,34.2338,-99.6063,30.0045
2000-01-13,55.27,55.5,53.44,27.53,2350000,-4949140.1023,-2626102.1651,22.3053,25.2494,-0.7214,92.8571,42.8571,-50.0,1.7994,26.9776,30.5258,34.0739,-0.1019,-163.1025,-23.7586,28.3263,30.6077,29.5629,29.8077,30.7286,20.5208,,-3.1073,-1.3028,,,,0,31.8659,-1.1719,-0.4143,-0.7576,-0.7214,0.3626,-1.084,1.1224,10.613,28.3555,30.0475,30.5,30.3858,-5.22,6.5361,5359400.0,16.1441,-2.3269,-15.9389,0.8687,38.1207,33.9068,,30.5258,32.4,25.5525,17.2621,17.2621,19.4896,26.9973,36.1274,,27.7504,1.03,30.7282,-0.4309,38.7792,-88.9764,29.5685
2000-01-14,56.06,56.94,54.75,28.19,1642800,-3343846.9516,-1714174.8786,22.318,24.6219,-0.7888,85.7143,35.7143,-50.0,1.7491,26.7037,30.3555,34.0073,0.1461,-113.9016,-17.9744,28.1212,22.4828,29.3517,29.592,30.5406,19.957,,-3.4304,1.8768,,,,0,31.6898,-1.1941,-0.3492,-0.8449,-0.7888,0.2074,-0.9962,1.1707,10.7888,32.9351,30.0475,30.5,29.0234,-5.185,6.2046,8645000.0,18.3684,-2.5672,-15.5356,0.8792,41.0128,33.7625,,30.3555,32.3382,21.002,18.3295,18.3295,34.8028,33.5954,64.6588,,27.6312,1.095,30.2544,-0.4687,37.5168,-80.315,29.2601
