date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,17.25,17.31,17.13,3.73,512400,10010711.2089,1048483.2068,24.2924,29.7005,0.0022,92.8571,21.4286,-71.4286,0.0837,3.7143,3.8384,3.9626,0.3333,-164.1591,-25.293,3.7718,33.5106,3.8119,3.8192,3.8757,22.5741,,0.0418,-0.0509,,,,0,3.8401,-0.0663,0.0079,-0.0742,0.0022,0.0103,-0.008,0.0877,1.0587,77.2778,3.839,3.8259,29.4314,-0.1488,2.2411,16779200.0,14.6571,0.0575,-3.8333,0.9963,37.3535,3.9676,,3.8384,,19.03,14.3333,14.3333,18.0,-0.0,0.0,,3.7678,0.0539,3.8492,-0.1705,43.3242,-85.2745,3.8156
2000-01-04,17.25,17.75,17.25,3.77,731100,10010711.2089,998524.0793,23.3639,28.7284,-0.0121,85.7143,14.2857,-71.4286,0.0854,3.7087,3.8319,3.9551,0.5,-82.3427,-17.0303,3.7668,11.2939,3.806,3.8132,3.8681,21.9536,,-0.0005,-0.1377,,,,0,3.8398,-0.0642,0.008,-0.0722,-0.0121,-0.0068,-0.0053,0.0926,1.0858,77.5345,3.839,3.8259,26.7555,-0.028,2.2625,18241400.0,21.3253,-0.3145,-0.7374,1.0,41.4849,3.9649,,3.8319,,19.3515,28.5096,28.5096,42.5287,33.2148,99.6444,,3.7643,0.1078,3.8419,-0.1723,41.2118,-69.7308,3.8078
2000-01-05,17.75,18.19,17.69,3.88,1481700,10721927.2089,1113607.3382,22.0965,27.1184,-0.0208,78.5714,7.1429,-71.4286,0.0899,3.7091,3.8314,3.9536,0.5,51.2263,1.398,3.7901,5.6195,3.8177,3.8223,3.8691,21.4374,,-0.0536,-0.1599,,,,0,3.8401,-0.0532,0.0151,-0.0684,-0.0208,-0.0165,-0.0043,0.0978,1.1138,78.1139,3.839,3.8259,23.5707,0.041,2.3163,21204800.0,26.3775,-0.542,1.0668,1.0044,50.699,3.9622,,3.8314,,30.1259,47.5347,47.5347,82.0755,66.5481,100.0,,3.8001,0.1488,3.8324,-0.1665,47.596,-28.8265,3.8143
2000-01-06,18.0,18.5,17.75,3.96,427300,11303055.2089,1244354.186,21.6165,25.9719,-0.0096,71.4286,100.0,28.5714,0.095,3.7035,3.8337,3.9638,0.5067,124.7456,12.655,3.8296,15.377,3.8401,3.8412,3.8761,21.3473,,-0.115,-0.0836,,,,0,3.8409,-0.0375,0.0247,-0.0622,-0.0096,-0.006,-0.0036,0.103,1.1423,43.1603,3.8483,3.8418,20.688,0.1078,2.3979,22059400.0,28.2066,-0.2498,2.7964,1.0047,56.3275,3.6941,,3.8337,,49.3309,71.9484,71.9484,91.2409,99.8815,100.0,,3.8561,0.1617,3.8246,-0.1507,54.0268,-8.7591,3.8316
2000-01-07,18.44,18.5,17.88,3.88,460000,10739184.2411,1005304.9353,21.1708,25.2635,-0.0078,64.2857,100.0,35.7143,0.0978,3.7035,3.8351,3.9668,-0.7097,91.9142,0.3207,3.8412,15.377,3.8465,3.8466,3.8766,21.7623,,-0.1138,0.0596,,,,0,3.8411,-0.0313,0.0247,-0.056,-0.0078,-0.0046,-0.0032,0.1083,1.1697,46.0861,3.8483,3.8418,18.6567,-0.028,2.5196,21139400.0,25.4371,-0.2031,-0.717,1.0,50.1604,3.6971,,3.8351,,66.141,78.94,78.94,63.5036,89.1657,67.497,,3.8696,0.1337,3.8195,-0.1336,52.2735,-36.4964,3.8379
2000-01-10,18.13,18.19,17.75,3.84,427700,10117075.1502,618176.9006,20.3625,24.1415,-0.0086,57.1429,92.8571,35.7143,0.0976,3.7066,3.8372,3.9678,-0.7273,30.7719,-5.2643,3.8405,9.8534,3.8457,3.8458,3.8739,22.0475,,-0.0811,0.1753,,,,0,3.8411,-0.0293,0.0214,-0.0507,-0.0086,-0.0049,-0.0037,0.1137,1.1964,46.6678,3.8483,3.8418,19.4168,-0.028,2.5411,20284000.0,23.6615,-0.2244,-0.7246,1.0102,47.3678,3.7029,,3.8372,,72.4677,66.5148,66.5148,44.8,69.0442,39.6356,,3.8651,0.0949,3.8172,-0.1188,51.1805,-50.365,3.8386
2000-01-11,17.06,17.06,16.25,3.64,1899000,12227075.1502,1074972.0773,21.131,23.8593,-0.0229,100.0,85.7143,-14.2857,0.1147,3.68,3.8319,3.9838,-0.2222,-244.6844,-26.7581,3.79,31.1216,3.814,3.8184,3.8566,21.7458,,-0.0171,0.2686,,,,0,3.8318,-0.0435,0.0058,-0.0492,-0.0229,-0.0162,-0.0067,0.1193,1.2208,35.0884,3.802,3.747,35.5649,-0.2286,3.1497,16486000.0,18.6823,-0.5979,-5.9086,0.9478,36.6209,3.9896,,3.8319,3.9384,63.6298,45.4345,45.4345,28.0,35.7109,0.0,,3.7914,0.3364,3.8138,-0.1181,47.417,-72.0,3.8123
2000-01-12,16.81,17.63,16.75,3.8,864200,13955475.1502,1714063.5516,20.6043,22.8731,-0.0245,92.8571,78.5714,-14.2857,0.12,3.683,3.8333,3.9835,0.9318,-94.674,-5.8927,3.7897,13.7575,3.8122,3.8162,3.8525,21.0834,,0.0875,0.2682,,,,0,3.8315,-0.0411,0.0065,-0.0476,-0.0245,-0.0141,-0.0104,0.1249,1.2466,38.5425,3.802,3.747,31.5337,0.0,3.1568,18214400.0,23.9065,-0.6405,0.0,0.986,47.0537,3.9847,,3.8333,3.9282,52.2202,44.7111,44.7111,61.3333,30.8587,52.9404,,3.7926,0.1898,3.8133,-0.1165,54.1055,-38.6667,3.8094
2000-01-13,17.44,17.69,17.19,3.77,437400,14165427.1502,1886489.0137,19.9951,21.8973,-0.0279,85.7143,71.4286,-14.2857,0.1192,3.6771,3.8287,3.9804,0.12,-60.21,-8.6981,3.7827,12.075,3.8063,3.8106,3.8467,20.5964,,0.1815,0.0283,,,,0,3.8301,-0.0411,0.0052,-0.0463,-0.0279,-0.0132,-0.0147,0.1307,1.2719,39.0098,3.802,3.747,29.4885,0.0129,3.1572,17339600.0,23.1343,-0.7289,0.344,0.9653,45.651,3.9799,,3.8287,3.9171,46.1473,48.2963,48.2963,55.5556,39.8782,66.6942,,3.784,0.1078,3.8149,-0.1158,54.6715,-44.4444,3.8033
2000-01-14,17.38,17.44,16.88,3.76,726000,15617427.1502,2247527.7015,19.9069,21.3163,-0.0253,78.5714,64.2857,-14.2857,0.1202,3.6751,3.8195,3.964,0.1071,-92.8686,-10.0312,3.7741,18.7605,3.7993,3.804,3.8404,20.6734,,0.1219,-0.2283,,,,0,3.8288,-0.0416,0.0038,-0.0454,-0.0253,-0.0076,-0.0177,0.1365,1.2968,38.1652,3.802,3.747,31.1234,0.0129,3.1957,15887600.0,21.2903,-0.6617,0.3452,0.9721,44.9844,3.9752,,3.8195,3.9073,50.8057,59.4097,59.4097,61.3402,65.819,77.8223,,3.7735,0.1337,3.8169,-0.1163,57.1211,-47.1111,3.7968
