date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2015-12-10,27.67,28.5,26.5,27.78,15009116,4202552.48,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15009116.0,,,,,,,,,,,,,,,,,,,,,,,
2015-12-11,27.85,28.5,27.48,27.5,2286063,2006139.0094,,,,,,,,,,,,-0.3431,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,12723053.0,,,,,,26.5,,,,,,,,,,,,1.02,,,,,
2015-12-14,27.5,27.86,26.11,26.26,1227198,989317.8094,,,,,,,,,,,,-0.7086,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11495855.0,,,,,,28.5,,,,,,,,,,,,1.75,,,,,
2015-12-15,26.39,26.95,26.3,26.5,1086535,572449.9897,,,,,,,,,,,,0.1695,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,12582390.0,,,,,,28.5,,,,,,,,,,,,0.689,,,,,
2015-12-16,26.75,26.95,26.47,26.54,484321,229389.2814,,,,,,,,,,,,-0.4375,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13066711.0,,,,,,28.4761,,,,,,,,,,,,0.48,,,,,
2015-12-17,26.94,28.18,26.65,28.01,626853,716941.6147,,,,,,,,,,,,0.6993,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,13693564.0,,,,,,28.4524,,,,,,,,,,,,1.64,,,,,
2015-12-18,27.9,28.24,27.66,28.22,945196,1596951.6837,,,,,,,,,,,,0.5517,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14638760.0,,,,,,28.429,,,,,,65.5169,99.061,,,,,0.58,,,,,
2015-12-21,28.84,29.86,28.75,29.35,876897,1668051.4404,,,,,,,,,,,,0.4595,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15515657.0,,,,,,26.11,,,,,,88.0777,85.6742,,,,,1.64,,,,,
2015-12-22,30.16,30.74,29.56,30.1,954059,1587198.9828,,,,,,,,,,,,-0.0508,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,16469716.0,,,,,,26.1475,,,,81.1701,89.9156,89.9156,85.0117,,,,,1.39,,,,,
2015-12-23,30.57,30.57,28.35,28.49,1071842,650544.2621,-552429.9899,,,,,,,,,,,-0.9369,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15397874.0,,,,,,26.2394,,,,83.2948,71.8912,71.8912,44.9878,,,,,2.22,,,,,
2015-12-24,28.33,28.89,27.51,28.21,470834,657367.9432,-585456.4148,,,,,,,,,,,-0.087,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.43,,14927040.0,,,1.5479,,,26.3294,,,,70.788,50.5571,50.5571,21.6718,,,,,1.38,,,,,
2015-12-28,28.28,28.93,28.0,28.9,342620,977883.4271,-443761.7152,,,,,,,,,,,0.6667,,,,,27.9883,,,,,,,,,,0,,,,,,,,,,,,,,1.4,,15269660.0,,,5.0909,,,26.4176,,,,53.0043,36.5646,36.5646,43.0341,,,,,0.93,,,,,
2015-12-29,29.21,31.31,29.21,31.1,888170,1688419.4271,-119374.0912,,,,,,,,,,,0.9,,,,,28.4671,,,,,,,,,,0,,,,,,,,,,,,,,4.84,,16157830.0,,,18.4311,,,26.504,,,,46.7272,53.0599,53.0599,94.4737,,,,,2.41,,,,,
2015-12-30,31.46,31.46,30.0,30.21,297455,1476533.6737,-43236.0674,,,,,,,,,,,-0.8562,,,,,28.7352,28.3693,,,,,,,,,0,,,,,,,,,,,28.68,28.785,,3.71,,15860375.0,,,14.0,,,26.6482,,,,52.7484,68.6207,68.6207,68.3544,,,,,1.46,28.327,,,-23.3645,28.9601
2015-12-31,30.22,31.0,29.99,30.08,304976,1225909.8321,-87902.092,,,,14.2857,92.8571,78.5714,1.3285,,,,-0.1386,,20.6093,,29.9254,28.9421,28.5974,,,,,,,,,0,30.2054,,,,,,,,,65.6627,28.68,28.785,18.3693,3.54,4.4166,15555399.0,34.0585,,13.3384,1.0828,60.3047,26.8407,,,,65.8815,75.9638,75.9638,65.0633,,,,,1.01,28.6177,,,-25.7944,29.1882
2016-01-04,28.94,29.03,27.2,27.41,1312092,214953.7009,-419851.3173,,,,7.1429,85.7143,78.5714,1.4393,,,,-0.8361,,-4.0995,,2.3451,28.7064,28.4391,,,,,,,,,0,30.1923,,,,,,,,,50.8321,28.68,28.785,30.2792,-0.6,5.2511,14243307.0,28.8916,,-2.1421,0.9967,47.9502,27.0254,,,,63.5668,46.1158,46.1158,4.9296,,,,,2.88,28.8323,,,-75.7009,29.0384
2016-01-05,27.91,28.0,26.27,26.77,918104,-172454.3453,-640746.6226,,,,0.0,78.5714,78.5714,1.4601,,,,-0.659,,-8.9164,,10.3394,28.4085,28.2165,,,,,,,,,0,30.1656,,,,,,,,,52.1852,28.8,28.865,32.3774,-1.45,5.4542,13325203.0,26.3095,,-5.1382,1.0194,45.5418,31.46,,,,49.5406,26.5423,26.5423,9.6339,,,,,1.73,28.9698,,,-90.3661,28.8041
