date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2007-06-14,37.0,39.26,37.0,23.92,662600,422187.6106,,,,,,,,,,,,0.8186,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,662600.0,,,,,,,,,,,,,,,,,,,,,,,
2007-06-15,39.1,39.1,38.25,23.89,1150000,760422.9047,,,,,,,,,,,,-0.3529,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-487400.0,,,,,,22.7834,,,,,,,,,,,,0.5234,,,,,
2007-06-18,39.05,39.1,37.15,22.88,853600,-93177.0953,,,,,,,,,,,,-0.9744,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1341000.0,,,,,,22.7963,,,,,,,,,,,,1.2007,,,,,
2007-06-19,37.15,37.7,36.1,22.6,951000,-330927.0953,,,,,,,,,,,,-0.2812,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2292000.0,,,,,,24.0765,,,,,,,,,,,,0.9852,,,,,
2007-06-20,36.83,36.83,35.33,22.14,1721800,-629372.4286,,,,,,,,,,,,-0.5867,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-4013800.0,,,,,,24.0765,,,,,,,,,,,,0.9236,,,,,
2007-06-21,36.0,36.7,35.75,22.6,537700,-91672.4286,,,,,,,,,,,,0.7368,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-3476100.0,,,,,,24.03,,,,,,,,,,,,0.585,,,,,
2007-06-22,37.0,39.5,36.8,23.98,250300,56653.4973,,,,,,,,,,,,0.7222,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-3225800.0,,,,,,21.755,,,,,,46.3087,86.8106,,,,,1.7241,,,,,
2007-06-25,39.1,40.0,38.25,24.17,203200,85682.0688,,,,,,,,,,,,0.0857,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-3022600.0,,,,,,21.7807,,,,,,69.03,83.94,,,,,1.0776,,,,,
2007-06-26,39.31,39.8,39.2,24.32,119600,85682.0688,,,,,,,,,,,,0.3167,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2903000.0,,,,,,21.8377,,,,67.34,86.6813,86.6813,89.2934,,,,,0.3695,,,,,
2007-06-27,39.5,39.8,39.0,24.48,270700,322544.5688,70645.9498,,,,,,,,,,,0.3125,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2632300.0,,,,,,21.8936,,,,81.6095,89.117,89.117,94.1176,,,,,0.4926,,,,,
2007-06-28,39.75,39.95,39.5,24.38,151200,238544.5688,75281.7995,,,,,,,,,,,-0.3333,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.4618,,-2783500.0,,,1.9305,,,21.9483,,,,88.7007,90.3037,90.3037,87.5,,,,,0.2771,,,,,
