date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2013-04-10,23.35,23.78,22.87,23.04,24175600,-15142958.2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-11,23.5,24.19,23.21,24.01,3952600,-12642333.752,,,,,,,,,,,,,,,,,,,,,22.87,,,,,,,,,
2013-04-12,24.0,24.69,23.77,24.3,1928200,-12348912.0128,,,,,,,,,,,,,,,,,,,,,22.8832,,,,,,,,,
2013-04-15,24.2,24.53,22.91,23.45,1836200,-12960978.6795,,,,,,,,,,,,,,,,,,,,,24.69,,,,,,,,,
2013-04-16,24.08,24.09,23.07,23.75,1168700,-12571412.0128,,,,,,,,,,,,,,,,,,,,,24.69,,,,,,,,,
2013-04-17,23.49,23.75,23.0,23.58,1390100,-11811490.6795,,,,,,,,,,,,,,,,,,,,,24.6722,,,,,,,,,
2013-04-18,23.58,24.0,23.0,23.17,1195300,-12600388.6795,,,,,,,,,,,,23.6143,,,,,,,,,24.6546,,,,,,23.6143,,,
2013-04-19,23.17,24.05,23.17,24.05,1378500,-11221888.6795,,,,,,,,,,,,23.7232,,,,,,,,,24.6371,,,,,,23.7586,,,
2013-04-22,24.0,24.1,23.2,23.75,730600,-11059533.1239,,,,,,,,,,,,23.7299,,,,,,,,,24.6199,,,,,,23.7214,,,
2013-04-23,24.08,24.75,23.29,23.48,1183300,-11934850.9322,,,,,,,,,,,,23.6674,,,,,,,,,22.91,,,,,,23.6043,,,
2013-04-24,23.55,24.33,23.53,24.25,1290800,-10902210.9322,,,,,,,,,,,,23.8131,,,,,,1.21,5.2517,,22.9284,,,,,,23.7186,,,
2013-04-25,24.35,25.75,24.19,24.7,1009500,-11251653.2399,,,,,,,,,,,,24.0348,,,,,,0.69,2.8738,,22.9466,,,,,,23.8543,,,
2013-04-26,25.16,25.7,24.7,25.55,726200,-10743313.2399,,,,,,,,,,,,24.4136,,,,,,1.25,5.144,,23.0027,,,,,,24.1357,,,
2013-04-29,25.7,26.58,25.61,26.08,714200,-10765401.8996,,,,,,,24.0829,,,,,24.8302,,,,,,2.63,11.2154,,23.0576,24.0829,,,,,24.5514,,,
2013-04-30,26.18,26.41,25.66,25.78,916900,-11388776.4895,,,1.0636,,,,24.3091,,,,,25.0677,,,,,68.9854,2.03,8.5474,68.6649,23.1633,24.2786,,,,,24.7986,,,
2013-05-01,26.1,26.18,24.8,25.48,796700,-11400322.8663,,,1.0862,,,,24.4653,,,,,25.1707,,,,,58.0198,1.9,8.0577,65.7699,23.2658,24.3836,,,,,25.0457,,,
2013-05-02,25.73,26.8,25.73,26.72,652900,-10845052.7728,,,1.1029,,,,24.7659,,,,,25.5581,,,,,54.6186,3.55,15.3215,71.1787,23.3652,24.5564,,,,,25.5086,,,
2013-05-03,26.99,26.99,26.13,26.48,672400,-10970150.4473,,,1.0855,,,,24.9944,,,,,25.7885,,,,,64.0037,2.43,10.104,68.9092,23.5026,24.7729,,,,,25.8271,,,
2013-05-06,26.38,27.0,25.79,26.88,635300,-10460860.3646,,,1.0944,,,,25.2458,,,,,26.0614,,,,,62.8238,3.13,13.1789,70.5922,23.677,24.9964,,,,,26.1386,,,
2013-05-07,26.95,27.01,26.66,26.89,609700,-10259976.5496,,,1.0409,22.1783,24.7695,27.3607,25.4651,,24.7695,,,26.2686,,,,,71.3417,3.41,14.523,70.635,23.8764,25.2329,,24.7695,,,26.33,,,
2013-05-08,26.7,26.83,25.34,26.1,674500,-10246396.0127,,,1.0773,22.3974,24.9225,27.4476,25.5497,,24.8962,,,26.2264,,,,,73.7936,1.85,7.6289,62.853,24.0954,25.4421,,24.9225,,,26.3329,,59.7008,0.0
2013-05-09,26.08,26.36,25.65,25.85,934500,-10654417.1394,,,1.0511,22.495,25.0145,27.534,25.5898,,24.9871,,,26.1323,,,,,64.7548,1.15,4.6559,60.5785,24.2992,25.5707,,25.0145,,,26.3429,,29.9823,0.0
2013-05-10,26.22,26.87,25.91,26.2,353600,-10794383.8061,,,1.0489,22.5618,25.1095,27.6572,25.6711,,25.1026,,,26.1492,,,,,69.8381,0.65,2.544,62.6181,24.4887,25.7457,,25.1095,,,26.4457,,6.7603,20.281
2013-05-13,26.44,26.49,25.88,25.96,544200,-11195842.8225,,,1.0175,22.7811,25.235,27.6889,25.7096,,25.1842,,,26.1019,,,,,63.0357,-0.12,-0.4601,60.3138,24.6649,25.9229,,25.235,,,26.3371,,6.7603,0.0
2013-05-14,26.2,26.82,26.0,26.65,863500,-10690379.4079,,,1.0063,22.9516,25.38,27.8084,25.835,,25.3238,,,26.2389,,,,,61.889,0.87,3.3747,64.373,24.8288,26.0943,,25.38,,,26.3614,,40.0937,100.0
2013-05-15,26.64,26.74,25.7,25.86,619900,-11124608.8765,,,1.0083,23.2042,25.494,27.7838,25.8384,,25.3749,,,26.1442,,,,,54.1741,0.38,1.4914,57.1638,24.9812,26.1771,,25.494,,,26.2157,,33.3333,0.0
2013-05-16,25.98,26.02,25.04,25.22,543400,-11468392.5499,,,1.0063,23.5628,25.5965,27.6302,25.7559,,25.3601,,,25.9132,,,,,47.7923,-1.5,-5.6138,52.0756,27.006,26.1536,,25.5965,,,25.9771,,33.3333,0.0
2013-05-17,25.57,26.28,25.1,25.33,540900,-11798433.2279,24.5438,,1.0187,23.7486,25.6605,27.5724,25.6991,,25.3573,,,25.7674,,,,,46.7668,-1.15,-4.3429,52.8524,26.9863,26.1,,25.6605,,,25.8671,,2.1055,6.3166
2013-05-20,26.01,26.33,25.62,26.33,1162500,-10635933.2279,23.1296,,1.0174,24.0724,25.7895,27.5066,25.7832,,25.4499,,,25.908,,,,,57.6315,-0.55,-2.0461,59.3093,26.9669,26.1393,,25.7895,,,25.9357,,21.7132,58.823
2013-05-21,26.7,27.3,25.92,26.1,444800,-10964698.4453,23.0027,,1.0433,24.5669,25.9205,27.2741,25.8255,,25.5118,25.1663,,25.956,,,,,64.512,-0.79,-2.9379,57.3635,25.04,26.1836,,25.9205,25.1663,,25.9214,,46.0798,73.0999
2013-05-22,26.31,26.79,26.02,26.15,307700,-11168499.744,22.8848,,1.0237,24.8981,26.0155,27.1329,25.8687,,25.5726,25.2298,,26.0045,,,,,59.65,0.05,0.1916,57.6884,25.0626,26.1429,,26.0155,25.27,,25.9486,,69.8385,77.5927
2013-05-23,25.71,26.65,25.6,26.59,414800,-10801105.4583,22.0775,,1.0256,25.1442,26.11,27.0758,25.9649,,25.6695,25.3176,,26.1509,,,,,53.5984,0.74,2.8627,60.539,25.085,26.1507,,26.11,25.356,,25.94,,83.5642,100.0
2013-05-24,26.4,26.5,26.2,26.3,164100,-10855805.4583,21.3279,,0.9802,25.2139,26.1475,27.0811,26.0096,,25.7295,25.3809,,26.1882,,,,,50.8753,0.1,0.3817,57.7762,25.1071,26.1093,,26.1475,25.4227,,26.0029,,63.5302,12.9977
2013-05-28,26.5,26.87,26.4,26.58,463800,-10964354.3944,21.1119,,0.9509,25.2208,26.1725,27.1242,26.0856,,25.8105,25.4583,,26.2861,,0.6561,-0.1629,0.819,49.9326,0.62,2.3883,59.6891,25.1291,26.0871,,26.1725,25.527,,26.1971,,62.0775,73.2347
2013-05-29,26.12,26.31,25.93,25.98,1262200,-11894396.4997,20.1154,,0.9294,25.2434,26.1825,27.1216,26.0716,,25.8267,25.492,,26.2096,,0.588,-0.1848,0.7728,46.5367,-0.67,-2.5141,54.0395,25.1508,26.0786,,26.1825,25.6013,,26.29,,28.7441,0.0
2013-05-30,25.95,26.48,25.87,26.28,347800,-11774662.0735,19.4248,,0.9066,25.3401,26.2225,27.1049,26.0993,,25.8699,25.5428,,26.2272,,0.5518,-0.1767,0.7286,54.2319,0.42,1.6241,56.2683,25.1723,26.1093,,26.2225,25.6913,,26.2829,,35.8422,34.2918
2013-05-31,26.15,26.29,25.83,25.83,299300,-12073962.0735,18.7134,,0.8747,25.3108,26.178,27.0452,26.0634,,25.8661,25.5613,,26.1279,,0.4813,-0.1978,0.6791,50.1651,0.61,2.4187,52.1807,25.1935,26.0829,,26.178,25.78,,26.2443,,11.4306,0.0
2013-06-03,26.07,26.19,25.34,25.73,425700,-12109019.7205,17.5211,,0.8729,25.264,26.1405,27.017,26.019,,25.8531,25.5722,,26.0284,,0.4127,-0.2132,0.6258,50.9585,0.4,1.5792,51.289,25.2146,26.0664,,26.1405,25.836,,26.1843,,11.4306,0.0
