date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2010-12-07,24.1,25.2,23.5,12.97,10577600,4355482.3529,,,,,,,,,,,,0.3529,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10577600.0,,,,,,,,,,,,,,,,,,,,,,,
2010-12-08,24.51,26.0,24.4,13.47,865200,4842157.3529,,,,,,,,,,,,0.7125,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11442800.0,,,,,,12.3446,,,,,,,,,,,,0.8405,,,,,
2010-12-09,25.35,26.25,25.34,13.43,877800,4408080.4299,,,,,,,,,,,,0.2418,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10565000.0,,,,,,12.3577,,,,,,,,,,,,0.478,,,,,
2010-12-10,25.37,25.79,25.29,13.47,436900,4582840.4299,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11001900.0,,,,,,12.3864,,,,,,,,,,,,0.2627,,,,,
2010-12-13,25.5,26.69,25.49,13.93,397800,4867930.4299,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11399700.0,,,,,,12.4144,,,,,,,,,,,,0.6304,,,,,
2010-12-14,26.4,26.6,25.79,13.94,250500,5081319.3188,,,,,,,,,,,,0.1728,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11650200.0,,,,,,12.4626,,,,,,,,,,,,0.4255,,,,,
2010-12-15,26.56,27.14,25.48,13.69,396100,4962012.0898,,,,,,,,,,,,-0.3012,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11254100.0,,,,,,12.5093,,,,,,76.5807,41.6216,,,,,0.872,,,,,
2010-12-16,25.96,26.93,25.95,14.08,133000,5062440.6613,,,,,,,,,,,,0.8673,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11387100.0,,,,,,12.5792,,,,,,72.4112,82.1622,,,,,0.5148,,,,,
2010-12-17,26.99,27.55,26.9,14.35,101600,5089012.969,,,,,,,,,,,,0.4923,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11488700.0,,,,,,12.6463,,,,73.2406,70.7299,70.7299,88.4058,,,,,0.3887,,,,,
2010-12-20,27.21,28.4,27.19,14.46,149300,5023617.1012,174485.8607,,,,,,,,,,,0.2645,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11638000.0,,,,,,12.7376,,,,74.4663,80.2578,80.2578,70.2055,,,,,0.6356,,,,,
