date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2021-03-18,27.0,27.65,23.98,23.57,27151740,-12059219.673,,,,,,,,,,,,-0.545,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,27151740.0,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,25.3,25.86,24.68,23.68,4273511,-13145705.5205,,,,,,,,,,,,-0.1525,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,31425251.0,,,,,,22.6048,,,,,,,,,,,,1.1123,,,,,
2021-03-22,24.71,25.0,21.14,21.86,5118109,-12827481.1267,,,,,,,,,,,,-0.3938,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,26307142.0,,,,,,24.377,,,,,,,,,,,,3.7518,,,,,
2021-03-23,23.0,23.09,20.9,19.8,5339401,-17679265.597,,,,,,,,,,,,-0.9132,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,20967741.0,,,,,,24.377,,,,,,,,,,,,2.1587,,,,,
2021-03-24,21.0,21.27,18.51,18.17,6340735,-20482054.2564,,,,,,,,,,,,-0.6232,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14627006.0,,,,,,24.2835,,,,,,,,,,,,2.6017,,,,,
2021-03-25,18.8,20.25,17.58,18.05,3407156,-19887559.8699,,,,,,,,,,,,0.1313,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11219850.0,,,,,,24.0785,,,,,,,,,,,,2.5122,,,,,
2021-03-26,20.0,24.65,19.11,23.23,3845253,-16056188.6497,,,,,,,,,,,,0.8375,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15065103.0,,,,,,23.7784,,,,,,40.8273,95.145,,,,,5.2223,,,,,
2021-03-29,23.0,23.01,20.12,19.09,3954826,-19655217.1549,,,,,,,,,,,,-0.9516,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11110277.0,,,,,,23.4903,,,,,,50.5928,37.7212,,,,,4.2608,,,,,
2021-03-30,20.26,21.01,19.76,19.21,1375986,-19666225.0429,,,,,,,,,,,,0.096,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,12486263.0,,,,,,23.2364,,,,49.632,57.4758,57.4758,39.5612,,,,,1.1783,,,,,
2021-03-31,20.46,22.96,20.45,19.93,1864581,-20507695.9912,-2180489.6227,,,,,,,,,,,0.2704,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,14350844.0,,,,,,22.97,,,,50.2007,42.5336,42.5336,50.3185,,,,,2.4368,,,,,
2021-04-01,21.99,24.0,21.67,22.0,2112966,-19591775.1071,-1714668.107,,,,,,,,,,,0.5794,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-1.5648,,16463810.0,,,-6.64,,,22.7143,,,,51.8069,55.4112,55.4112,76.3538,,,,,2.696,,,,,
2021-04-05,22.99,23.16,20.05,18.92,907412,-20487497.4195,-1653228.3947,,,,,,,,,,,-0.9404,,,,,20.6253,,,,,,,,,,0,,,,,,,,,,,,,,-4.7604,,15556398.0,,,-20.1035,,,22.6237,,,,47.5353,44.6612,44.6612,7.3113,,,,,3.1013,,,,,
2021-04-06,20.55,21.55,20.19,19.26,385954,-20737232.3607,-1557261.5942,,,,,,,,,,,-0.0882,,,,,20.415,,,,,,,,,,0,,,,,,,,,,,,,,-2.6017,,15942352.0,,,-11.9017,,,22.6237,,,,44.4093,33.1557,33.1557,15.8019,,,,,1.3951,,,,,
2021-04-07,20.58,21.76,20.3,19.8,481454,-20757018.1415,-1382728.6884,,,,,,,,,,,0.2877,,,,,20.3197,20.4684,,,,,,,,,0,,,,,,,,,,,20.8656,21.3205,,0.0,,16423806.0,,,0.0,,,22.3818,,,,31.1794,15.7213,15.7213,24.0506,,,,,1.3763,20.1618,,,-66.0705,19.9895
2021-04-08,21.34,22.64,21.01,20.94,460269,-20539590.4544,-1116444.7185,,,,35.7143,0.0,-35.7143,2.525,,,,0.5337,,-11.4017,,2.9922,20.4146,20.5308,,,,,,,,,0,19.8159,,,,,,,,,22.6883,20.8656,20.4768,24.1189,2.762,12.0602,16884075.0,22.7174,,15.1971,0.8884,44.2991,22.1496,,,,26.7963,31.512,31.512,54.6835,,,,,1.546,20.0135,,,-44.1088,20.0519
2021-04-09,22.07,22.64,21.62,20.99,774087,-20327923.0715,-838666.68,,,,28.5714,0.0,-28.5714,2.4132,,,,0.1964,,-11.1083,,2.9922,20.5035,20.5924,,,,,,,,,0,19.8373,,,,,,,,,27.5496,20.6394,20.0714,23.3847,2.9411,11.4953,17658162.0,22.0259,,16.2924,0.8865,44.4458,21.9267,,,,32.4369,50.0773,50.0773,71.4976,,,,,0.9601,19.977,,,-36.8173,20.1468
