date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,69.69,69.75,67.0,32.38,1273200,31634227.656,183919.871,9.9671,,0.2881,21.4286,100.0,78.5714,1.0874,30.9052,32.4649,34.0245,-0.9564,42.5098,-2.8505,32.8994,2.4029,32.7366,32.7025,32.6547,20.4088,,0.5276,-0.0109,,,,0,32.0406,0.1071,0.088,0.019,0.2881,0.2087,0.0794,0.4655,7.2063,43.1707,32.2179,32.1117,21.3283,0.2125,3.358,70010800.0,22.3785,0.8878,0.6605,1.0161,48.5747,29.3258,,32.4649,,57.1161,43.0165,43.0165,2.1818,19.1855,0.0,,,1.3279,32.7233,,51.8511,-41.3846,32.8154
2000-01-04,67.0,67.0,64.63,31.36,1385800,30610957.6138,-397067.1026,10.2478,,0.4038,14.2857,92.8571,78.5714,1.0935,30.812,32.4333,34.0545,-0.8692,-83.5297,-13.4637,32.5386,13.8974,32.5246,32.5232,32.5586,20.8202,,0.5656,-0.7518,,,,0,32.0375,-0.0128,-0.0255,0.0127,0.4038,0.2808,0.1229,0.5004,7.4478,44.3364,32.2179,32.1117,27.2876,-1.7191,3.4873,68625000.0,20.6285,1.2472,-5.1971,0.9991,43.2682,29.3694,,32.4333,,43.4468,25.5766,25.5766,6.0547,19.1855,0.0,,,1.1734,32.8252,,42.8952,-74.0,32.6627
2000-01-05,64.88,66.5,64.75,31.84,1401700,31115569.6138,-438088.2188,10.5085,,0.4171,7.1429,85.7143,78.5714,1.0758,30.7537,32.3835,34.0133,0.6057,-64.8891,-7.4981,32.3668,13.8974,32.4195,32.4323,32.5055,20.9696,,0.1303,-1.1629,,,,0,32.0337,-0.0681,-0.0646,-0.0035,0.4171,0.256,0.1611,0.5364,7.6917,52.5096,32.2783,32.1117,25.7272,-1.4776,3.3786,70026700.0,19.4489,1.2899,-4.4348,1.0344,46.251,29.4125,,32.3835,,26.6224,11.2741,11.2741,25.5859,9.0737,27.221,,,0.845,32.8711,,40.1417,-58.6154,32.5746
2000-01-06,65.88,68.13,65.0,32.84,1959100,32911932.8726,156526.745,9.834,,0.3609,0.0,78.5714,78.5714,1.1069,30.757,32.3744,33.9917,0.6773,2.1552,3.7308,32.476,1.0654,32.4836,32.4861,32.53,21.033,,-0.2286,-0.8399,,,,0,32.0621,-0.0312,-0.0222,-0.009,0.3609,0.1626,0.1983,0.5734,7.9432,61.2979,32.5052,32.4449,23.1747,0.4829,3.371,71985800.0,22.6861,1.115,1.4925,1.0625,51.8654,29.4552,,32.3744,,23.1126,32.487,32.487,65.8203,35.2265,78.4585,,32.3636,1.5114,32.8571,,47.46,-34.1797,32.6091
2000-01-07,67.63,67.63,65.75,32.05,996000,32583464.7875,281036.0445,9.2077,8.395,0.2462,78.5714,71.4286,-7.1429,1.1055,30.7275,32.3473,33.9672,-0.6649,-18.441,-4.6999,32.3697,1.0654,32.4174,32.4285,32.4947,21.1517,,-0.2523,-0.7313,,,,0,32.0621,-0.0644,-0.0443,-0.0201,0.2462,0.0245,0.2217,0.6115,8.1843,53.4428,32.5052,32.4449,21.5216,-0.6615,3.4488,70989800.0,21.0679,0.7604,-2.0221,0.9964,47.6501,29.4975,,32.3473,,28.541,41.862,41.862,34.1797,52.2161,50.9688,,32.2302,1.0865,32.7861,0.0384,46.3851,-65.8203,32.5209
2000-01-10,66.88,67.44,66.44,32.38,1191700,32869472.7875,397425.4811,8.6261,8.5636,0.2486,71.4286,64.2857,-7.1429,1.0631,30.7611,32.3698,33.9784,0.18,-0.492,-0.9896,32.366,1.0654,32.412,32.4223,32.4864,21.2314,,-0.5284,-1.316,,,,0,32.0663,-0.0635,-0.0347,-0.0288,0.2486,0.0039,0.2448,0.6506,8.4262,52.5365,32.5052,32.4449,20.77,-1.27,3.2828,72181500.0,20.3321,0.7679,-3.7739,0.979,49.5052,29.5393,,32.3698,,43.6084,56.4762,56.4762,69.4286,67.3248,72.5472,,32.2472,0.5119,32.695,0.0297,49.2627,-52.5391,32.4776
2000-01-11,67.13,67.44,66.31,32.05,1020000,31975844.4689,124573.4692,8.1645,8.3933,0.1946,64.2857,57.1429,-7.1429,1.0261,30.7797,32.3789,33.9782,-0.6637,-17.3341,-4.6293,32.2818,2.1634,32.3569,32.3731,32.4543,21.2017,,-1.2665,-0.7642,,,,0,32.066,-0.0882,-0.0476,-0.0407,0.1946,-0.0657,0.2603,0.6906,8.6625,45.6953,32.5052,32.4449,20.4128,-1.2652,3.2012,71161500.0,19.5483,0.6011,-3.7971,0.962,47.6854,29.5807,,32.3789,,49.6497,50.611,50.611,48.2249,49.6883,25.5488,,32.1484,0.5457,32.5857,0.0199,45.0688,-65.8203,32.3971
2000-01-12,66.13,67.5,65.44,32.54,1097700,32945657.0902,310204.0739,8.2534,8.389,0.0807,57.1429,50.0,-7.1429,1.0239,30.9026,32.4364,33.9702,0.6068,-19.2293,1.1269,32.3346,9.4092,32.3845,32.3949,32.4604,21.151,,-1.2108,1.4354,,,,0,32.0689,-0.0681,-0.0219,-0.0462,0.0807,-0.1841,0.2648,0.7317,8.9013,52.7744,32.5052,32.4449,21.948,-0.2994,3.1468,72259200.0,18.173,0.249,-0.9118,1.0057,50.5635,29.6217,,32.4364,,57.217,64.5639,64.5639,76.0383,55.7369,69.1146,,32.246,0.9947,32.4791,0.0135,55.569,-46.2891,32.3931
2000-01-13,67.63,68.5,67.38,32.99,1071200,33653414.2331,583138.9509,7.6797,8.4138,0.0471,50.0,42.8571,-7.1429,0.9894,31.1981,32.5465,33.8949,0.6071,48.6555,6.2903,32.4897,0.2214,32.477,32.4737,32.4993,21.0993,,-0.167,1.8235,,,,0,32.0754,-0.0157,0.0244,-0.0401,0.0471,-0.207,0.2541,0.7737,9.1421,59.6689,32.5052,32.4449,21.0797,0.1497,2.9993,73330400.0,20.9865,0.1455,0.4559,1.0083,53.1452,29.6623,,32.5465,,62.6199,72.6847,72.6847,93.7908,64.8878,100.0,,32.479,0.5408,32.401,0.0127,61.4082,-28.125,32.4472
2000-01-14,68.88,69.25,68.31,33.35,1160000,34344478.0629,861665.4418,7.57,8.6484,0.0772,42.8571,35.7143,-7.1429,0.9511,31.5078,32.6687,33.8296,0.1915,92.9435,10.3561,32.7051,6.1446,32.611,32.5903,32.5622,20.8835,,0.1598,0.7021,,,,0,32.0855,0.0544,0.0756,-0.0212,0.0772,-0.1535,0.2307,0.8168,9.3842,58.8469,32.3531,32.4449,20.3519,0.029,2.8521,74490400.0,23.0167,0.238,0.087,0.991,55.178,29.7025,,32.6687,,75.1765,88.2808,88.2808,95.0131,89.7049,100.0,,32.7815,0.4539,32.3741,0.0183,61.0097,-13.4766,32.5469
