date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2017-10-17,18.55,18.55,18.55,12.16,100000,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,,,
2017-10-18,18.5,18.52,18.5,12.13,8227502,-8227502.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-8127502.0,,,,,,12.1587,,,,,,,,,,,,0.0328,,,,,
2017-10-19,18.5,18.57,18.5,12.13,550484,-8777986.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-8127502.0,,,,,,12.126,,,,,,,,,,,,0.0459,,,,,
2017-10-20,18.25,19.0,18.0,11.8,155577,-8933563.0,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-8283079.0,,,,,,12.4537,,,,,,,,,,,,0.6555,,,,,
2017-10-23,18.0,18.0,18.0,11.8,349,-8933563.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-8283079.0,,,,,,12.4537,,,,,,,,,,,,0.0,,,,,
2017-10-24,18.7,18.7,18.65,12.22,287571,-9221134.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-7995508.0,,,,,,12.4537,,,,,,,,,,,,0.4588,,,,,
2017-10-25,18.6,18.65,18.6,12.22,100127,-9121007.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-7995508.0,,,,,,12.4471,,,,,,43.3333,65.0,,,,,0.0328,,,,,
2017-10-26,18.6,18.65,18.5,12.13,160091,-9281098.0,,,,,,,,,,,,-0.6667,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-8155599.0,,,,,,12.4407,,,,,,60.0,50.0,,,,,0.0983,,,,,
2017-10-27,18.0,18.58,18.0,12.15,2133104,-7476163.8462,,,,,,,,,,,,0.9231,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-6022495.0,,,,,,12.4342,,,,55.7937,64.0476,64.0476,77.1429,,,,,0.3834,,,,,
2017-10-30,18.54,18.54,18.54,12.15,0,-7476163.8462,-849591.2999,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-6022495.0,,,,,,12.4215,,,,64.0476,68.0952,68.0952,77.1429,,,,,0.0,,,,,
2017-10-31,18.5,18.5,18.4,12.13,43330,-7432833.8462,-551178.3928,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.0328,,-6065825.0,,,-0.2695,,,12.409,,,,69.7375,77.0696,77.0696,76.9231,,,,,0.0918,,,,,
2017-11-01,18.25,18.5,18.25,12.13,57558,-7375275.8462,-360679.3496,,,,,,,,,,,1.0,,,,,12.0948,,,,,,,,,,0,,,,,,,,,,,,,,0.0,,-6065825.0,,,0.0,,,12.3968,,,,74.0537,76.9963,76.9963,76.9231,,,,,0.1639,,,,,
2017-11-02,18.5,18.5,18.25,12.13,14760,-7360515.8462,-245262.5274,,,,,,,,,,,0.0,,,,,12.0996,,,,,,,,,,0,,,,,,,,,,,,,,0.0,,-6065825.0,,,0.0,,,12.3849,,,,77.946,79.7721,79.7721,85.4701,,,,,0.1639,,,,,
2017-11-03,18.52,18.54,18.52,12.15,370000,-6990515.8462,-58022.6886,,,,,,,,,,,1.0,,,,,12.1077,12.1012,,,,,,,,,0,,,,,,,,,,,12.0113,12.126,,0.3539,,-5695825.0,,,3.0,,,12.3731,,,,81.4109,87.4644,87.4644,100.0,,,,,0.0262,12.1023,,,-46.0,12.1186
2017-11-06,18.55,18.55,18.52,12.16,2745114,-4245401.8462,897295.5808,,,,57.1429,21.4286,-35.7143,0.1552,,,,0.0,,0.0,,30.0873,12.1156,12.1088,,,,,,,,,0,12.1522,,,,,,,,,26.7257,12.0113,12.126,44.9159,0.3605,1.2765,-2950711.0,24.1391,,3.0556,1.0,50.0,12.3616,,,,87.4644,95.1567,95.1567,100.0,,,,,0.0197,12.1119,,,-45.0,12.1263
2017-11-07,18.5,18.61,18.5,12.18,410946,-4058608.2098,1265969.6134,,,,50.0,14.2857,-35.7143,0.1493,,,,0.7273,,2.1363,,26.2522,12.1252,12.1181,,,,,,,,,0,12.1525,,,,,,,,,62.4119,12.0113,12.126,43.2526,-0.0459,1.2257,-2539765.0,25.2652,,-0.3753,1.0043,51.0682,12.3504,,,,93.2811,97.2222,97.2222,91.6667,,,,,0.0721,12.1226,,,-42.0,12.1366
2017-11-08,18.55,18.6,18.5,12.16,24316,-4058608.2098,1301702.6619,,,,42.8571,7.1429,-35.7143,0.1433,,,,0.0,,-0.1606,,26.2522,12.1304,12.1235,,,,,,,,,0,12.1525,,,,,,,,,58.9818,12.0113,12.126,41.7393,-0.0655,1.1785,-2564081.0,24.3812,,-0.5362,1.0027,49.9197,12.3393,,,,94.6819,91.6667,91.6667,83.3333,,,,,0.0655,12.1329,,,-45.0,12.1438
2017-11-09,18.55,18.55,18.55,12.16,679,-4058608.2098,1197984.1216,,,,35.7143,0.0,-35.7143,0.1331,,,,0.0,,-0.1606,,26.2522,12.1348,12.1282,,,,,,,,,0,12.1535,,,,,,,,,60.4185,12.0113,12.0277,41.7393,0.0328,1.0943,-2564081.0,24.3812,,0.2703,1.0306,49.9197,12.3285,,,,87.4579,73.4848,73.4848,45.4545,,,,,0.0,12.1433,,,-21.4286,12.1506
2017-11-10,18.5,18.75,18.45,12.13,3621672,-6473056.2098,278412.7076,,,,28.5714,100.0,71.4286,0.1376,,,,0.0,,-4.3199,,12.4504,12.1334,12.1279,,,,,,,,,0,12.1501,,,,,,,,,74.8594,12.1751,12.044,37.2097,-0.0262,1.1347,-6185753.0,28.9701,,-0.2157,1.0278,47.8401,12.3179,,,,71.2121,48.4848,48.4848,16.6667,,,,,0.1966,12.1479,,,-33.3333,12.1497
2017-11-13,18.45,18.75,18.45,12.13,76362,-6523964.2098,-139283.8442,,,,21.4286,100.0,78.5714,0.1418,11.8964,12.1161,12.3358,0.1667,52.3164,-4.3199,,12.4504,12.1323,12.1277,,,,,,,,,0,12.1479,,,,,,,,,74.1053,12.1751,12.044,33.3161,-0.0262,1.1695,-6185753.0,25.9386,,-0.2157,0.992,47.8401,12.3075,,12.1161,,49.4108,26.2626,26.2626,16.6667,,,,,0.1966,12.1466,,,-33.3333,12.1456
2017-11-14,18.5,18.5,18.35,12.03,218457,-6742421.2098,-367006.5841,,,,14.2857,92.8571,78.5714,0.1387,11.8876,12.1096,12.3316,-1.0,-57.4101,-16.4325,,17.6695,12.1162,12.1143,,,,,,,,,0,12.1288,,,,,,,,,73.224,12.103,12.044,35.095,-0.0983,1.1532,-6404210.0,24.5551,,-0.8108,0.9839,41.7838,12.2973,,12.1096,,28.6195,11.1111,11.1111,0.0,0.0,0.0,,,0.0983,12.1448,,,-53.3333,12.1294
2017-11-15,18.25,18.5,18.25,12.13,677508,-6064913.2098,-211230.9246,,,,7.1429,85.7143,78.5714,0.1405,11.8876,12.1096,12.3316,1.0,-41.7349,-2.4633,,22.6362,12.1177,12.1159,,,,,,,,,0,12.1288,,,,,,,,,76.1174,12.103,12.044,35.5235,0.0,1.1587,-5726702.0,22.4097,,0.0,1.0,48.7683,12.2898,,12.1096,,19.8653,22.2222,22.2222,50.0,28.6162,85.8485,,,0.1639,12.1438,,,-33.3333,12.1282
2017-11-16,18.5,18.6,18.5,12.13,152501,-6217414.2098,-176824.7526,,,,0.0,78.5714,78.5714,0.1351,11.8876,12.1096,12.3316,0.0,34.1811,-2.4633,,15.1549,12.119,12.1172,,,,,,,,,0,12.1287,,,,,,,,,95.8959,12.103,12.126,34.235,0.0,1.1145,-5726702.0,25.224,,0.0,0.9978,48.7683,12.28,,12.1096,,22.2222,33.3333,33.3333,50.0,61.9495,100.0,,,0.0655,12.1412,,,-50.0,12.1269
2017-11-17,18.65,18.7,18.5,12.16,373494,-6404161.2098,-206094.0229,,,,85.7143,71.4286,-14.2857,0.1349,11.957,12.1276,12.2982,-0.5,62.2961,2.0784,,8.0561,12.1251,12.1228,,,,,,,,,0,12.1289,,,,,,,,,96.0726,12.103,12.126,31.7542,0.0066,1.1091,-5353208.0,27.0194,,0.0539,1.0005,51.0392,12.2704,,12.1276,,36.2963,53.3333,53.3333,60.0,95.2828,100.0,,,0.1311,12.1381,,,-40.0,12.1303
2017-11-20,18.65,18.65,18.55,12.19,312873,-6404161.2098,-199331.995,,,,78.5714,64.2857,-14.2857,0.1299,12.0656,12.1473,12.2289,-0.5,78.6882,6.5397,,8.0561,12.1353,12.1319,,,,,,,,,0,12.1308,,,,,,,,,96.6726,12.1096,12.126,30.5618,0.0328,1.0656,-5040335.0,26.0047,,0.2695,1.0054,53.2699,12.2609,,12.1473,,49.7531,62.5926,62.5926,77.7778,100.0,100.0,,,0.0655,12.1356,,,-30.0,12.138
2017-11-21,18.75,18.75,18.65,12.29,872552,-5531609.2098,99185.5614,,,0.0275,71.4286,100.0,28.5714,0.1277,12.0531,12.1506,12.248,0.0,191.5641,18.5315,,0.8461,12.1591,12.153,12.1247,,,,,,,,0,12.1429,,,,,,,,,97.5367,12.1587,12.126,28.8138,0.1114,1.0387,-4167783.0,28.3303,0.2266,0.915,1.0135,59.2657,11.7982,,12.1506,,65.0617,79.2593,79.2593,100.0,100.0,100.0,,,0.0983,12.1353,,,-0.0,12.1581
