date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,17.56,17.56,16.69,7.85,90700,-686834.0594,-75569.4361,15.419,15.2003,-0.1289,21.4286,28.5714,7.1429,0.3167,7.3809,7.8128,8.2447,-0.4253,6.3601,-2.7461,7.7594,23.8054,7.8,7.8067,7.8476,28.9914,,-0.2583,0.4244,,,,0,8.007,-0.0458,0.0096,-0.0554,-0.1289,0.0272,-0.1561,0.181,2.176,33.8625,7.9593,7.8886,15.669,-0.5431,4.0365,-1933200.0,25.4599,-1.6278,-6.4744,0.9857,48.6269,8.2571,,7.8128,,46.5086,60.8289,60.8289,52.9412,50.4356,51.3068,,7.7948,0.4838,7.75,-0.1599,55.5385,-54.3379,7.7722
2000-01-04,17.0,17.0,16.62,7.73,96700,-554507.7436,-16835.1668,15.8531,15.0252,-0.0981,14.2857,21.4286,7.1429,0.3126,7.3773,7.7973,8.2173,-0.1579,-50.6869,-7.0384,7.7469,21.497,7.7894,7.7966,7.839,28.7159,,-0.1239,0.4627,,,,0,8.0049,-0.0481,0.0059,-0.0539,-0.0981,0.0563,-0.1544,0.1912,2.2316,34.8696,7.9593,7.8886,15.4663,-0.1141,4.0438,-2126600.0,23.9368,-1.2421,-1.4543,1.015,46.4808,8.2224,,7.7973,,58.1007,61.6246,61.6246,31.9328,60.7953,31.079,,7.7755,0.2601,7.7476,-0.1516,58.3603,-65.7534,7.7685
2000-01-05,16.75,16.88,16.5,7.7,152400,-249707.7436,105704.7767,15.9675,14.7084,-0.1113,7.1429,14.2857,7.1429,0.3046,7.3695,7.7845,8.1995,0.3421,-65.9324,-8.0869,7.7304,17.454,7.7762,7.7842,7.8289,27.918,,-0.0395,0.3751,,,,0,8.0018,-0.0515,0.002,-0.0534,-0.1113,0.0402,-0.1515,0.2017,2.2863,36.5322,7.9867,7.8886,16.0257,-0.1689,3.9545,-2431400.0,22.8028,-1.4166,-2.1449,1.023,45.9565,8.189,,7.7845,,53.6261,38.4246,38.4246,30.4,36.1746,26.1379,,7.7516,0.2008,7.7446,-0.1455,60.5693,-68.4932,7.7601
2000-01-06,16.81,16.81,15.88,7.39,99500,-316041.0769,125119.1678,14.8909,14.5907,-0.1154,100.0,7.1429,-92.8571,0.3155,7.3205,7.7519,8.1833,-0.6667,-152.6096,-19.3519,7.6392,0.8955,7.7166,7.7315,7.7963,26.8107,,-0.0059,0.5477,,,,0,7.9952,-0.0786,-0.0202,-0.0585,-0.1154,0.0318,-0.1472,0.2124,2.3373,37.4518,7.8886,7.8178,20.8027,-0.1962,4.2697,-2630400.0,20.4334,-1.4758,-2.5872,0.9741,40.324,8.157,,7.7519,,42.1176,26.3034,26.3034,16.5775,19.0723,0.0,,7.6242,0.4564,7.7336,-0.1502,56.6177,-87.6,7.708
2000-01-07,16.19,16.19,15.5,7.1,115700,-507197.5986,60864.4193,14.553,14.8123,-0.1358,100.0,0.0,-100.0,0.3154,7.2028,7.719,8.2352,-0.913,-235.0549,-28.0257,7.4947,10.1597,7.622,7.6475,7.7449,25.5338,,0.2947,0.4947,,,,0,7.8736,-0.122,-0.0508,-0.0712,-0.1358,0.007,-0.1428,0.2232,2.3849,28.0801,7.601,7.6718,23.259,-0.5431,4.442,-2861800.0,18.9688,-1.7463,-7.1045,0.8466,35.9871,8.1115,,7.719,,27.1194,16.6301,16.6301,2.9126,8.7126,0.0,,7.4292,0.3149,7.7117,-0.1701,48.7096,-97.7099,7.6195
2000-01-10,15.88,16.0,15.25,7.19,168500,-394864.2653,64787.681,14.6378,14.8866,-0.1361,100.0,0.0,-100.0,0.3174,7.1249,7.6848,8.2446,-0.1733,-216.5038,-23.7046,7.4007,15.7402,7.5552,7.5862,7.7036,24.238,,0.3604,-0.463,,,,0,7.8295,-0.1476,-0.0612,-0.0865,-0.1361,0.0027,-0.1388,0.2343,2.433,26.3052,7.601,7.5303,24.0389,-0.5157,4.4151,-2524800.0,17.5005,-1.7571,-6.6943,0.9162,38.1477,8.0493,,7.6848,,19.6513,16.0205,16.0205,28.5714,6.8631,20.5893,,7.3156,0.3423,7.696,-0.1959,53.6072,-80.0,7.5548
2000-01-11,15.62,15.62,15.06,6.99,159000,-428935.6939,49661.9535,15.0077,14.9885,-0.1514,100.0,50.0,-50.0,0.3172,7.0147,7.6362,8.2576,-0.5536,-225.8913,-29.6282,7.2763,19.8166,7.4678,7.5063,7.6505,23.1782,,0.0036,-0.7877,,,,0,7.7536,-0.1821,-0.0765,-0.1056,-0.1514,-0.0152,-0.1362,0.2455,2.4785,25.9242,7.544,7.4869,24.288,-0.6846,4.5395,-2842800.0,16.2539,-1.9643,-8.9233,0.8875,35.1859,7.973,,7.6362,7.8672,15.908,15.0734,15.0734,13.7363,6.8631,0.0,,7.164,0.3149,7.6644,-0.23,45.6997,-90.7063,7.4695
2000-01-12,15.31,15.31,14.38,6.62,109800,-591864.7261,-12881.6229,16.2513,15.5332,-0.1871,100.0,42.8571,-57.1429,0.3248,6.8222,7.5862,8.3502,-0.871,-235.015,-39.0151,7.0858,32.4184,7.337,7.3878,7.574,22.1953,,-0.1618,-0.7052,,,,0,7.6424,-0.2365,-0.1047,-0.1318,-0.1871,-0.0512,-0.136,0.2569,2.5199,25.102,7.3592,7.3318,28.8635,-0.9995,4.9089,-3062400.0,14.7309,-2.4456,-13.1216,0.8724,30.4924,7.885,,7.5862,7.8297,15.6142,15.7487,15.7487,4.9383,6.8631,0.0,,6.926,0.4244,7.6069,-0.2787,41.7703,-96.4392,7.3434
2000-01-13,14.62,14.69,14.5,6.67,47800,-566706.8314,-29291.7901,17.4061,16.039,-0.2209,92.8571,35.7143,-57.1429,0.3078,6.6815,7.5433,8.4051,0.0,-190.1082,-36.1183,6.948,32.4184,7.2347,7.2924,7.5072,21.2384,,-0.4228,-0.7672,,,,0,7.5464,-0.272,-0.1122,-0.1598,-0.2209,-0.0781,-0.1428,0.2684,2.5614,20.8351,7.3592,7.3318,28.2805,-0.9447,4.6136,-2966800.0,14.4333,-2.906,-12.4026,0.8728,31.9409,7.766,,7.5433,7.7955,13.8223,10.6447,10.6447,13.2597,6.3068,18.9205,,6.7728,0.0867,7.5258,-0.3324,41.4111,-92.8783,7.2339
2000-01-14,14.88,14.88,13.5,6.3,377500,-982503.9329,-165641.2281,19.4988,17.0669,-0.2636,100.0,28.5714,-71.4286,0.3308,6.4624,7.4792,8.4959,-0.7754,-187.4331,-44.522,6.7475,46.7041,7.0913,7.1605,7.418,20.3212,,-0.6641,-0.3338,,,,0,7.3643,-0.3263,-0.1332,-0.1931,-0.2636,-0.1058,-0.1577,0.28,2.5988,10.565,7.2017,7.131,34.3089,-1.7981,5.2491,-3721800.0,12.464,-3.4979,-22.1972,0.8181,27.739,7.6577,,7.4792,7.7556,12.1976,10.1993,10.1993,12.4,6.3068,0.0,,6.5364,0.6298,7.4182,-0.3976,35.4754,-92.7059,7.0843
