date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,68.38,69.0,65.5,14.21,8369900,-24860296.2252,-8015521.0576,29.5943,25.851,0.7178,35.7143,92.8571,57.1429,0.5158,12.4589,13.914,15.369,-0.4486,39.3861,13.8354,14.6396,13.7241,14.2237,14.1488,13.7336,23.2097,,0.8264,0.7518,,,,0,13.8918,0.4876,0.004,0.4836,0.7178,-0.0859,0.8038,0.2919,3.6869,51.7116,14.2231,14.1933,20.4867,0.385,3.6289,96008100.0,27.0044,5.2919,2.7846,0.9832,56.9177,13.3473,,13.914,,47.7198,40.0992,40.0992,27.5789,21.1117,0.0,,14.5775,0.7722,14.2372,0.6532,44.4497,-48.7252,14.3462
2000-01-04,65.5,65.81,64.19,13.68,6745100,-42097774.0029,-13539842.1908,27.8038,25.7543,0.591,28.5714,85.7143,57.1429,0.5187,12.621,13.9648,15.3085,-0.7346,-24.9336,0.1145,14.4576,4.5277,14.1401,14.0864,13.7297,22.7355,,0.8709,-0.5535,,,,0,13.8877,0.4084,-0.0602,0.4686,0.591,-0.2081,0.799,0.3093,3.7869,42.9713,14.2231,14.1933,22.7628,0.0064,3.7917,75772800.0,24.9218,4.3407,0.0467,0.9597,50.0572,13.4591,,13.9648,,39.3267,30.488,30.488,1.9802,16.8904,0.0,,14.3002,0.5574,14.2857,0.6205,38.4298,-84.136,14.2685
2000-01-05,63.88,64.38,62.19,13.36,7018700,-51231698.6605,-17475145.7553,26.3706,25.9818,0.5206,100.0,78.5714,-21.4286,0.515,12.862,14.0164,15.1708,-0.4886,-83.7137,-7.1194,14.2277,7.739,14.0204,13.9898,13.7024,22.2524,,0.382,-1.2879,,,,0,13.8757,0.3162,-0.1219,0.4381,0.5206,-0.2599,0.7805,0.3272,3.8826,43.5793,14.0667,14.087,27.2135,-0.4255,3.854,54716700.0,23.3039,3.815,-3.0859,0.9515,46.4403,14.9443,,14.0164,,27.6681,12.4172,12.4172,7.6923,-0.0,0.0,,13.9758,0.4659,14.3076,0.5715,33.6121,-92.3077,14.1537
2000-01-06,63.0,64.56,62.69,13.55,6544500,-49866802.9385,-17062108.0515,24.9533,25.7464,0.4592,92.8571,71.4286,-21.4286,0.5066,13.13,14.0705,15.011,0.369,-87.0588,-2.4428,14.0862,6.5273,13.9478,13.931,13.691,21.6756,,-0.0485,-0.8488,,,,0,13.8614,0.2553,-0.1463,0.4015,0.4592,-0.2844,0.7435,0.3455,3.9793,41.8385,14.0667,14.087,25.6805,-0.4255,3.739,74350200.0,22.5334,3.3521,-3.0446,0.928,48.7786,14.9271,,14.0705,,17.4443,9.4276,9.4276,18.6104,4.3063,12.919,,13.7962,0.3978,14.2951,0.5165,33.1935,-81.3896,14.0704
2000-01-07,64.5,68.94,64.5,14.57,7976900,-30679124.5602,-9236866.9567,24.4367,25.4723,0.443,85.7143,64.2857,-21.4286,0.5502,13.2563,14.1375,15.0187,0.9009,31.7372,18.5012,14.2251,17.7212,14.0438,14.0164,13.7563,21.0667,,-0.0478,-0.6251,,,,0,13.8799,0.2863,-0.0922,0.3785,0.443,-0.25,0.693,0.3642,4.0852,57.0865,14.0667,14.087,21.9432,0.2383,3.7756,98280900.0,31.3955,3.2147,1.6622,1.0538,59.2506,14.9101,,14.1375,,20.4994,39.6535,39.6535,92.6579,37.6397,100.0,,14.02,1.1168,14.2843,0.4774,48.4101,-21.7122,14.1335
2000-01-10,67.25,67.5,65.63,14.31,6714300,-15922026.6992,-500476.557,23.957,25.2178,0.3919,78.5714,57.1429,-21.4286,0.5545,13.3566,14.1805,15.0044,0.0,4.4661,12.0878,14.2693,17.7212,14.0842,14.055,13.797,20.419,,-0.2754,-1.0081,,,,0,13.8889,0.2861,-0.0739,0.36,0.3919,-0.24,0.6319,0.3833,4.1874,56.6146,14.0667,14.087,20.2116,-0.4659,3.8759,78138000.0,28.9179,2.8278,-3.1538,1.0462,56.0439,14.8933,,14.1805,,37.0528,62.0771,62.0771,74.963,62.629,74.9679,,14.0965,0.6105,14.2623,0.4446,51.4884,-37.2208,14.154
2000-01-11,67.06,67.75,65.63,14.09,4943300,-22077834.2464,1160333.1648,23.5988,25.09,0.3126,71.4286,50.0,-21.4286,0.5471,13.3476,14.1625,14.9773,-0.3821,-5.1435,7.0943,14.2503,18.9426,14.0856,14.0601,13.819,19.7387,,-0.7285,-0.6672,,,,0,13.8911,0.2657,-0.0754,0.3411,0.3126,-0.2495,0.5622,0.4028,4.2865,50.003,14.0667,14.087,19.0177,-0.651,3.8819,63308100.0,27.9063,2.2465,-4.4149,1.0222,53.5472,14.8767,,14.1625,13.138,59.2179,75.923,75.923,60.1481,76.8152,55.4777,,14.0796,0.451,14.2159,0.4126,49.3568,-49.6278,14.1402
2000-01-12,66.19,66.75,65.06,13.84,4085000,-34332834.2464,-2165047.6912,22.9675,25.1364,0.1898,64.2857,42.8571,-21.4286,0.5337,13.3163,14.1417,14.9672,-0.6686,-42.2058,1.3103,14.1702,14.7597,14.0478,14.0308,13.8205,19.1558,,-0.8955,0.1464,,,,0,13.8907,0.2265,-0.0917,0.3182,0.1898,-0.2994,0.4892,0.4227,4.382,44.6566,14.0667,14.087,19.7277,-0.4935,3.8561,51053100.0,26.5595,1.3594,-3.4432,0.9904,50.6551,14.8602,,14.1417,13.1756,65.2257,57.677,57.677,37.92,49.4551,17.9196,,13.9782,0.3595,14.1465,0.3773,47.2472,-64.3921,14.0897
2000-01-13,66.0,66.13,65.0,13.86,5021000,-45930011.2375,-7018619.1121,22.3487,25.4484,0.057,57.1429,35.7143,-21.4286,0.5127,13.2984,14.1324,14.9663,-0.7699,-48.7712,1.6468,14.1079,14.3041,14.0182,14.0074,13.8231,18.6474,,-0.7052,1.252,,,,0,13.8901,0.1944,-0.099,0.2935,0.057,-0.3522,0.4092,0.443,4.4768,38.7032,14.0667,14.087,19.2434,-0.5701,3.7008,66116100.0,25.6675,0.4065,-3.9522,0.9666,50.8234,14.8439,,14.1324,13.2141,57.0064,37.4191,37.4191,14.1892,25.1183,1.9574,,13.9078,0.2404,14.076,0.341,48.5937,-63.5236,14.0425
2000-01-14,64.0,65.94,64.0,13.72,6312200,-55105477.2169,-11285581.2221,21.2309,25.474,-0.0423,50.0,28.5714,-21.4286,0.5056,13.2651,14.0884,14.9118,0.2577,-67.7883,-1.605,14.0232,6.6996,13.9725,13.9692,13.8155,18.1088,,0.1545,1.5352,,,,0,13.8824,0.1564,-0.1097,0.266,-0.0423,-0.367,0.3247,0.4636,4.5692,30.9933,14.0529,14.087,21.132,-0.9849,3.6848,47179500.0,24.1669,-0.3005,-6.6975,0.9289,49.1975,14.8278,,14.0884,13.2515,38.9701,21.8142,21.8142,13.3333,6.6257,0.0,,13.8095,0.4127,14.0235,0.3026,47.4397,-71.34,13.982
