date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2019-06-30,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0258,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-30,,1.0258,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,-2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-02,,-0.97,,pre-market,,,,,,,,,,,,,55.5046,,,,,,,,,,,,
2020-09-30,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.27,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-16,,-0.97,,post-market,,,,,,,,,,,,,-423.3333,,,,,,,,,,,,
2020-12-31,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.03,,,-2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,,-10.81,,post-market,,,,,,,,,,,,,-288.8489,,,,,,,,,,,,
2021-03-31,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-14,,-1.75,,post-market,,,,,,,,,,,,,-84.2105,,,,,,,,,,,,
2021-06-30,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-12,,-0.11,,post-market,,,,,,,,,,,,,59.2593,,,,,,,,,,,,
2021-09-30,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-04,,1.23,,post-market,,,,,,,,,,,,,48.1928,,,,,,,,,,,,
2021-12-31,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-15,,0.08,,post-market,,,,,,,,,,,,,100.0,,,,,,,,,,,,
2022-03-31,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-03,,-0.01,,post-market,,,,,,,,,,,,,95.8333,,,,,,,,,,,,
2022-06-30,ABNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-02,,0.65,,post-market,,,,,,,,,,,,,25.0,,,,,,,,,,,,
