date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
1998-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-04-23,,6.2,,pre-market,,,,,,,,,,,,,16.9811,,,,,,,,,,,
1998-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.47,,,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-07-22,,3.0,,pre-market,,,,,,,,,,,,,-32.8859,,,,,,,,,,,
1998-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,-15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-10-22,,-14.2,,pre-market,,,,,,,,,,,,,8.9744,,,,,,,,,,,
1998-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-01-26,,-1.6,,pre-market,,,,,,,,,,,,,51.952,,,,,,,,,,,
1999-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-04-28,,0.0,,pre-market,,,,,,,,,,,,,51.952,,,,,,,,,,,
1999-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-07-21,,2.4,,pre-market,,,,,,,,,,,,,80.4511,,,,,,,,,,,
1999-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2,,,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-10-21,,-9.4,,pre-market,,,,,,,,,,,,,-80.7692,,,,,,,,,,,
1999-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-01-27,,4.2,,pre-market,,,,,,,,,,,,,230.7087,,,,,,,,,,,
2000-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-04-20,,2.4,,pre-market,,,,,,,,,,,,,-46.6667,,,,,,,,,,,
2000-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-10-26,,2.0,,pre-market,,,,,,,,,,,,,150.0,,,,,,,,,,,
2000-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-01-30,,0.6,,pre-market,,,,,,,,,,,,,100.0,,,,,,,,,,,
2001-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.6,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-04-26,,-2.4,,pre-market,,,,,,,,,,,,,-300.0,,,,,,,,,,,
2001-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-07-26,,2.0,,pre-market,,,,,,,,,,,,,122.2222,,,,,,,,,,,
2001-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-25,,-9.8,,pre-market,,,,,,,,,,,,,-308.3333,,,,,,,,,,,
2001-10-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-01-31,,4.2,,pre-market,,,,,,,,,,,,,423.0769,,,,,,,,,,,
2002-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-05-01,,3.8,,pre-market,,,,,,,,,,,,,111.1111,,,,,,,,,,,
2003-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-07-29,,8.6,,pre-market,,,,,,,,,,,,,34.375,,,,,,,,,,,
2003-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-10-28,,9.6,,pre-market,,,,,,,,,,,,,20.0,,,,,,,,,,,
2004-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-04-27,,10.8,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2004-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,,,11.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-26,,11.0,,pre-market,,,,,,,,,,,,,-2.3957,,,,,,,,,,,
2005-01-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-09,,10.2,,pre-market,,,,,,,,,,,,,4.0816,,,,,,,,,,,
2005-04-30,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-07-27,,6.2,,pre-market,,,,,,,,,,,,,-12.6761,,,,,,,,,,,
2005-07-31,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-25,,2.8,,pre-market,,,,,,,,,,,,,-54.0984,,,,,,,,,,,
