symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profitloss,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
BIP,quarterly,2007-03-31,2007-05-30,,USD,,,,,,0,,,,,,,,,,,,,53106000,,,,,,,,,,4000000.0,,,,,-2000000,2000000,,,2000000,-4000000.0,,,,,,,,,,,,2000000,,,,-1400000,2000000,-2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIP,quarterly,2007-06-30,2007-08-29,,USD,,,,,,0,,,,,,,,,,,,,53106000,,,,,,,,,,3200000.0,,,,,-1600000,1600000,,,1600000,-3200000.0,,,,,,,,,,,,1600000,,,,-600000,1600000,-1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIP,quarterly,2007-09-30,2007-11-29,,USD,,,,,,0,,,,,,,,,,,,,52290000,,,,,,,,,,,,,,,2900000,2900000,,,2900000,,,,,,,,,,,,,2900000,,,,-100000,2900000,2900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIP,quarterly,2007-12-31,2008-02-29,,USD,,,,,,0,,217900000.0,217900000.0,217900000.0,,,,-5100000.0,,,,554100000.0,52290000,,130900000.0,130900000.0,2414000000.0,,,500000.0,,,-27600000.0,49700000.0,,,,13800000,-13800000,,-130900000.0,-13800000,-8400000.0,,,,24900000.0,,8900000000.0,,,,,,-5400000,,,,2100000,-7300000,-13800000,5298000000.0,-2409400000.0,,,,,,,,,,,,,,,,,,-500000.0,,200000000000.0,,,-56000000.0,932400000.0,218400000.0,4600000.0,378800000.0,714000000.0,374200000.0,,553600000.0,
BIP,quarterly,2008-03-31,2008-04-25,pre-market,USD,0.06,0.05,0.01,20.0,,1300000,,121600000.0,121600000.0,900000.0,-94900000.0,,,-5100000.0,,,,554100000.0,52111000,,3600000.0,3600000.0,2200000.0,,,9300000.0,,,400000.0,400000.0,3400000.0,3400000.0,,11200000,11600000,,5300000.0,7100000,500000.0,,,,2400000.0,,8900000000.0,,,,,,5600000,0.0,,,-2700000,2300000,3500000,5298000000.0,-512400000.0,,,,,,,,,,,,,,,,,0.0,60900000.0,2300000.0,116000000.0,,,-56000000.0,1062700000.0,130900000.0,2200000.0,416300000.0,931800000.0,414100000.0,8900000.0,646400000.0,
BIP,quarterly,2008-06-30,2008-07-30,pre-market,USD,0.02,0.05,-0.03,-60.0,,1700000,,5600000.0,5600000.0,-14500000.0,-113000000.0,,,,,,,554100000.0,52290000,,2700000.0,2700000.0,36400000.0,,,13200000.0,,,2000000.0,1600000.0,10200000.0,10200000.0,,1700000,3700000,,5600000.0,-600000,700000.0,,,,2300000.0,,,,,,,,2300000,0.0,,,5500000,3700000,1900000,,,,,,,,,,,,,,,,,,,0.0,31600000.0,3700000.0,116000000.0,,,,1044200000.0,18800000.0,36400000.0,471100000.0,1025400000.0,434700000.0,8300000.0,573100000.0,
BIP,quarterly,2008-09-30,2008-11-04,pre-market,USD,0.07,-0.01,0.08,800.0,,2900000,,31400000.0,31400000.0,-10200000.0,23900000.0,,,,,,,554100000.0,52290000,,2000000.0,2000000.0,35200000.0,,,32600000.0,,,1500000.0,1500000.0,10200000.0,10200000.0,,6700000,8200000,,6900000.0,2600000,1300000.0,,,,3900000.0,,,,,,,,-1400000,0.0,,,12100000,5500000,1400000,,,,,,,,,,,,,,,,,,,0.0,79400000.0,5500000.0,111900000.0,,,,1065700000.0,64000000.0,35200000.0,407300000.0,1001700000.0,372100000.0,8900000.0,658400000.0,
BIP,quarterly,2008-12-31,2009-02-05,pre-market,USD,-0.04,0.05,-0.09,-180.0,,5300000,,9200000.0,9200000.0,127400000.0,,,,19727400000.0,,,,,52984634,,5100000.0,5100000.0,6900000.0,,,53600000.0,,,4200000.0,4200000.0,20300000.0,20300000.0,,54600000,58800000,,8900000.0,-2900000,1300000.0,,,,228156000000.0,,6582000000.0,,,,,,21500000,0.0,,,-9100000,7300000,22800000,3634000000.0,,,,,,,,,,,,,,,,,,0.0,157000000.0,7300000.0,237100000.0,,,,1174300000.0,62800000.0,6900000.0,443700000.0,1111500000.0,436800000.0,14000000.0,-573600000.0,
BIP,quarterly,2009-03-31,2009-04-28,pre-market,USD,-0.09,0.02,-0.11,-550.0,,200000,,5700000.0,5700000.0,-41700000.0,31300000.0,,,19727400000.0,,,,,52985000,,3300000.0,3300000.0,8000000.0,,,14400000.0,,,1700000.0,1700000.0,6100000.0,6100000.0,,-30600000,-28900000,,3900000.0,-38500000,700000.0,,,,3900000.0,,6582000000.0,,,,,,-39200000,,,,11100000,3200000,200000,3634000000.0,-765000000.0,,,,,,,,,,,,,-7600000.0,,,,,157000000.0,3200000.0,206000000.0,,,,1126400000.0,20100000.0,8000000.0,443900000.0,1106300000.0,435900000.0,7200000.0,-573600000.0,
BIP,quarterly,2009-06-30,2009-08-05,pre-market,USD,0.01,0.02,-0.01,-50.0,,1800000,,237800000.0,237800000.0,44700000.0,186700000.0,,,,,,,,52985000,,1800000.0,1800000.0,6100000.0,,,25800000.0,,,1300000.0,1700000.0,5900000.0,5900000.0,,125000000,126300000,,5100000.0,117000000,33400000.0,,,,4100000.0,,,,,,,,83000000,0.0,,,5400000,2000000,3000000,,,,,,,,,,,,,,,600000.0,,,,0.0,,2400000.0,264000000.0,,,,1204000000.0,263600000.0,6100000.0,482900000.0,940400000.0,476800000.0,7000000.0,628200000.0,
BIP,quarterly,2009-09-30,2009-11-03,pre-market,USD,0.13,0.06,0.07,116.6667,,2000000,,72100000.0,72100000.0,-168000000.0,-2000000.0,,,,,,,,58923000,,4000000.0,4000000.0,7300000.0,,,15800000.0,,,2000000.0,2100000.0,6000000.0,6000000.0,,-72000000,-70000000,591000000.0,4000000.0,-79000000,1000000.0,306000000.0,306000000.0,,3200000.0,,32000000.0,,,,,,-80000000,0.0,,,8000000,-1000000,5000000,-67800000.0,-80100000.0,,,,,,,,,,,,,,,,,0.0,-27700000.0,2800000.0,111400000.0,,,,1037300000.0,87900000.0,7300000.0,409100000.0,949400000.0,401800000.0,8000000.0,16300000.0,
BIP,quarterly,2009-12-31,2010-02-08,pre-market,USD,0.11,0.08,0.03,37.5,,1600000,,107000000.0,107000000.0,908700000.0,-906100000.0,,,,,,,,142100280,,4200000.0,4200000.0,102000000.0,,,54000000.0,,,2000000.0,2000000.0,28300000.0,28300000.0,,-24900000,-22900000,591000000.0,3500000.0,-28200000,-19100000.0,306000000.0,306000000.0,,3300000.0,,32000000.0,,,,,,-7700000,0.0,,,-16400000,8200000,-23500000,2000000.0,,,,,,,,,,,,,,,,,,0.0,-27700000.0,8200000.0,1985000000.0,,,,1962900000.0,195000000.0,21900000.0,874000000.0,5851000000.0,852100000.0,7700000.0,16300000.0,
