date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2016-06-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,,,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-30,,-1.36,,pre-market,,,,,,,,,,,,,,-97.1014,,,,,,,,,,,
2016-09-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-30,,-0.3,,pre-market,,,,,,,,,,,,,,-242.8571,,,,,,,,,,,
2016-12-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.54,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,,-1.4,,pre-market,,,,,,,,,,,,,,-1100.0,,,,,,,,,,,
2017-03-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.13,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-31,,-1.24,,pre-market,,,,,,,,,,,,,,-1027.2727,,,,,,,,,,,
2017-06-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-30,,-1.12,,pre-market,,,,,,,,,,,,,,-57.7465,,,,,,,,,,,
2017-09-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-30,,0.31,,pre-market,,,,,,,,,,,,,,-43.6364,,,,,,,,,,,
2017-12-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-31,,-0.35,,pre-market,,,,,,,,,,,,,,16.6667,,,,,,,,,,,
2020-06-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-17,,-0.39,,post-market,,,,,,,,,,,,,,16.6667,,,,,,,,,,,
2020-09-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,,,-0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-05,,-2.01,,pre-market,,,,,,,,,,,,,,-131.0345,,,,,,,,,,,
2020-12-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-04,,-0.64,,pre-market,,,,,,,,,,,,,,-72.973,,,,,,,,,,,
2021-03-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-06,,-0.5,,pre-market,,,,,,,,,,,,,,16.6667,,,,,,,,,,,
2021-06-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05,,-0.58,,pre-market,,,,,,,,,,,,,,-5.4545,,,,,,,,,,,
2021-09-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-04,,-0.83,,pre-market,,,,,,,,,,,,,,-29.6875,,,,,,,,,,,
2021-12-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-10,,-1.0,,pre-market,,,,,,,,,,,,,,-1.0101,,,,,,,,,,,
2022-03-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-02,,-0.69,,post-market,,,,,,,,,,,,,,21.5909,,,,,,,,,,,
2022-06-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-04,,-1.01,,pre-market,,,,,,,,,,,,,,-31.1688,,,,,,,,,,,
2022-09-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,-0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-03,,-0.8,,pre-market,,,,,,,,,,,,,,13.0435,,,,,,,,,,,
2022-12-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-02,,-0.74,,pre-market,,,,,,,,,,,,,,11.9048,,,,,,,,,,,
2023-03-31,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-11,,-0.78,,pre-market,,,,,,,,,,,,,,-1.2987,,,,,,,,,,,
2023-06-30,DYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,,,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-03,,-1.08,,pre-market,,,,,,,,,,,,,,-33.3333,,,,,,,,,,,
