date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2016-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-30,,0.21,,pre-market,,,,,,,,,,,,,-22.2222,,,,,,,,,,,,
2016-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-30,,0.27,,pre-market,,,,,,,,,,,,,3.8462,,,,,,,,,,,,
2016-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,,0.25,,pre-market,,,,,,,,,,,,,-19.3548,,,,,,,,,,,,
2017-03-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-19,,-0.22,,pre-market,,,,,,,,,,,,,-19.3548,,,,,,,,,,,,
2017-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.535,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-30,,-0.535,,pre-market,,,,,,,,,,,,,-19.3548,,,,,,,,,,,,
2017-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-22,,-0.75,,post-market,,,,,,,,,,,,,2.5974,,,,,,,,,,,,
2017-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,,,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-27,,-0.86,,post-market,,,,,,,,,,,,,-79.1667,,,,,,,,,,,,
2018-03-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-15,,-0.61,,post-market,,,,,,,,,,,,,-1.6667,,,,,,,,,,,,
2018-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-21,,-0.59,,post-market,,,,,,,,,,,,,-5.3571,,,,,,,,,,,,
2018-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-20,,-0.7,,post-market,,,,,,,,,,,,,-11.1111,,,,,,,,,,,,
2018-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-26,,-0.95,,post-market,,,,,,,,,,,,,-39.7059,,,,,,,,,,,,
2019-03-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-21,,-0.64,,post-market,,,,,,,,,,,,,1.5385,,,,,,,,,,,,
2019-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-20,,-0.52,,pre-market,,,,,,,,,,,,,-1.9608,,,,,,,,,,,,
2019-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-12,,-0.41,,pre-market,,,,,,,,,,,,,22.6415,,,,,,,,,,,,
2019-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-03,,-0.53,,pre-market,,,,,,,,,,,,,-76.6667,,,,,,,,,,,,
2020-03-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-18,,-0.52,,pre-market,,,,,,,,,,,,,-44.4444,,,,,,,,,,,,
2020-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-18,,-0.68,,pre-market,,,,,,,,,,,,,-65.8537,,,,,,,,,,,,
2020-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-17,,-0.69,,pre-market,,,,,,,,,,,,,-30.1887,,,,,,,,,,,,
2020-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,,,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-02,,-0.87,,pre-market,,,,,,,,,,,,,-61.1111,,,,,,,,,,,,
2021-03-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-18,,-0.62,,pre-market,,,,,,,,,,,,,-31.9149,,,,,,,,,,,,
2021-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-17,,-0.61,,pre-market,,,,,,,,,,,,,-17.3077,,,,,,,,,,,,
2021-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-16,,-0.83,,pre-market,,,,,,,,,,,,,-25.7576,,,,,,,,,,,,
2021-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-01,,-1.12,,pre-market,,,,,,,,,,,,,-89.8305,,,,,,,,,,,,
2022-03-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,-1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-17,,-1.04,,pre-market,,,,,,,,,,,,,17.4603,,,,,,,,,,,,
2022-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,,-1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-16,,-1.36,,pre-market,,,,,,,,,,,,,-14.2857,,,,,,,,,,,,
2022-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-15,,-0.87,,pre-market,,,,,,,,,,,,,20.9091,,,,,,,,,,,,
2022-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,-0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07,,0.17,,pre-market,,,,,,,,,,,,,121.519,,,,,,,,,,,,
2023-03-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-16,,0.15,,pre-market,,,,,,,,,,,,,-65.9091,,,,,,,,,,,,
2023-06-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-15,,0.54,,pre-market,,,,,,,,,,,,,28.5714,,,,,,,,,,,,
2023-09-30,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-14,,-0.26,,pre-market,,,,,,,,,,,,,-966.6667,,,,,,,,,,,,
2023-12-31,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-04,,-0.19,,pre-market,,,,,,,,,,,,,24.0,,,,,,,,,,,,
