date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2010-09-30,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3915,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-31,,0.3915,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0758,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-31,,0.0758,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0776,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-30,,0.0776,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4816,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-30,,0.4816,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0893,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-31,,0.0893,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0849,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-30,,0.0849,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3912,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-30,,0.3912,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-31,,0.4017,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0502,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-31,,-0.0502,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0509,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-30,,-0.0509,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
