date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2012-03-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-31,,-9.3581,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-30,,-3.9978,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-30,,-5.8114,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-31,,-1.402,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-31,,-1.3827,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-30,,-1.526,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-30,,-1.4313,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-26,,-1.68,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-28,,-0.4104,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52,,,-1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-14,,1.68,,post-market,,,,,,,,,,,,,,191.3043,,,,,,,,,,,
2014-09-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,,,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-12,,4.16,,post-market,,,,,,,,,,,,,,382.9932,,,,,,,,,,,
2014-12-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-26,,-8.8,,post-market,,,,,,,,,,,,,,-486.6667,,,,,,,,,,,
2015-03-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.84,,,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-14,,-5.44,,post-market,,,,,,,,,,,,,,-240.0,,,,,,,,,,,
2015-06-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.71,,,-5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-14,,-6.88,,post-market,,,,,,,,,,,,,,-33.0754,,,,,,,,,,,
2015-09-30,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,-4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-16,,-3.36,,post-market,,,,,,,,,,,,,,25.8278,,,,,,,,,,,
2015-12-31,MARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,-5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-30,,-4.32,,post-market,,,,,,,,,,,,,,18.1818,,,,,,,,,,,
