date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2013-03-31,ABBV,Director,BUY,193.0,40.78,7870.54,"ALPERN, ROBERT J",Stock Equivalent Units
2013-03-31,ABBV,Director,BUY,846.0,40.78,34499.88,"LIDDY, EDWARD M",Stock Equivalent Units
2013-03-31,ABBV,Director,BUY,809.0,40.78,32991.020000000004,"RAPP, EDWARD J",Stock Equivalent Units
2013-03-31,ABBV,Director,BUY,846.0,40.78,34499.88,"TILTON, GLENN F",Stock Equivalent Units
2013-05-01,ABBV,"EVP, Commercial Operations",BUY,21000.0,26.8472,563791.2000000001,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",BUY,17700.0,28.1251,497814.27,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",BUY,33900.0,28.8628,978448.92,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",BUY,35700.0,27.294,974395.8,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",BUY,34600.0,28.3122,979602.12,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",SELL,30550.0,45.6768,1395426.24,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",SELL,27320.0,45.6648,1247562.336,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",SELL,28122.0,45.6837,1284717.0114,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-05-01,ABBV,"EVP, Commercial Operations",SELL,27664.0,45.6797,1263683.2208,"ALBAN, CARLOS","Common stock, $0.01 par value"
2013-06-30,ABBV,Director,BUY,834.0,41.34,34477.560000000005,"LIDDY, EDWARD M",Stock Equivalent Units
2013-06-30,ABBV,Director,BUY,834.0,41.34,34477.560000000005,"TILTON, GLENN F",Stock Equivalent Units
2013-06-30,ABBV,Director,BUY,798.0,41.34,32989.32,"RAPP, EDWARD J",Stock Equivalent Units
2013-06-30,ABBV,Director,BUY,190.0,41.34,7854.6,"ALPERN, ROBERT J",Stock Equivalent Units
