date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2005-04-20,ACAD,"GORDON, CARL L",Director,True,Common Stock,buy,359603.0,6.79,2441704.37
2005-04-20,ACAD,"VAN, OSCH MARTIEN",Director,True,Common Stock Warrant (Right to Buy),buy,91625.0,0.0313,2867.8625
2005-04-20,ACAD,"GORDON, CARL L",Director,True,Common Stock Warrant (Right to Buy),buy,89900.0,0.0313,2813.8700000000003
2005-04-20,ACAD,"VAN, OSCH MARTIEN",Director,True,Common Stock,buy,366501.0,6.79,2488541.79
2005-04-20,ACAD,"OXFORD, BIOSCIENCE PARTNERS IV LP",10% Owner,False,Common Stock,buy,586402.0,6.8213,4000023.9625999997
2005-07-29,ACAD,"OXFORD, BIOSCIENCE PARTNERS IV LP",10% Owner,False,Common Stock Warrant (right to buy),buy,89900.0,3.09,277791.0
2005-08-04,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,buy,4000.0,1.08,4320.0
2005-09-16,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,20000.0,11.12,222399.99999999997
2005-09-16,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,15000.0,11.0,165000.0
2005-09-16,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,5000.0,11.05,55250.0
2005-12-01,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,buy,4000.0,1.08,4320.0
2005-12-20,ACAD,"BRANN, MARK R","Director, Pres., Chief Scientific Off.",True,Common Stock,sell,10000.0,9.728,97280.0
2005-12-20,ACAD,"BRANN, MARK R","Director, Pres., Chief Scientific Off.",True,Common Stock,sell,10000.0,9.8554,98554.0
2006-01-03,ACAD,"BRANN, MARK R","Director, President, CSO",True,Common Stock,sell,3500.0,10.0,35000.0
2006-01-04,ACAD,"BRANN, MARK R","Director, President, CSO",True,Common Stock,sell,3000.0,10.0,30000.0
2006-01-05,ACAD,"BRANN, MARK R","Director, President, CSO",True,Common Stock,sell,7500.0,10.0,75000.0
2006-01-06,ACAD,"BRANN, MARK R","Director, President, Chf. Sci. Officer",True,Common Stock,sell,6000.0,10.08,60480.0
2006-02-15,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,12000.0,15.1,181200.0
2006-03-17,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,1500.0,17.3,25950.0
2006-03-17,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,12500.0,17.41,217625.0
2006-03-20,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,5000.0,16.0,80000.0
2006-03-20,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,16000.0,15.61,249760.0
2006-03-20,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,5000.0,15.85,79250.0
2006-05-18,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,8000.0,10.67,85360.0
2006-06-16,ACAD,"BRANN, MARK R","Director, President & CSO",True,Common Stock,sell,20000.0,9.05,181000.0
2006-08-24,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,8000.0,8.0,64000.0
2006-12-11,ACAD,"IVERSEN, LESLIE L",Director,True,Common Stock,buy,3000.0,0.5,1500.0
2007-05-16,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,800.0,12.97,10376.0
2007-05-16,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,10000.0,12.9,129000.0
2007-05-16,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,1500.0,12.87,19305.0
2007-05-16,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,1300.0,12.8577,16715.01
2007-05-16,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,8499.0,12.95,110062.04999999999
2007-05-16,ACAD,"HACKSELL, ULI","Director, CEO",True,Common Stock,sell,12901.0,12.85,165777.85
2007-08-13,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,1800.0,15.77,28386.0
2007-08-13,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,200.0,15.76,3152.0
2007-08-13,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,982.0,16.2,15908.4
2007-08-13,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,buy,982.0,6.61,6491.02
2007-08-13,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,528.0,15.75,8316.0
2007-08-14,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,4600.0,16.0,73600.0
2007-08-14,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,buy,5000.0,6.61,33050.0
2007-08-14,ACAD,"LUNDSTROM, BRIAN","Sr. VP, Bus. Devt.",True,Common Stock,sell,400.0,16.02,6408.0
2007-08-15,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,3000.0,15.8,47400.0
2007-08-15,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,3000.0,15.3,45900.0
2007-08-15,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,3000.0,15.45,46350.0
2007-08-15,ACAD,"AASEN, THOMAS H","Vice Pres., CFO, Treas. & Sec.",True,Common Stock,sell,4000.0,15.58,62320.0
