date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2003-09-30,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,1600.0,27.6875,44300.0
2003-09-30,ADBE,"NARAYEN, SHANTANU","EVP, Worldwide Products",True,Common Stock,buy,50000.0,26.95,1347500.0
2003-09-30,ADBE,"NARAYEN, SHANTANU","EVP, Worldwide Products",True,Common Stock,sell,219044.0,39.5,8652238.0
2003-09-30,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,buy,4342.0,18.42,79979.64000000001
2003-09-30,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,buy,45657.0,18.42,841001.9400000001
2003-09-30,ADBE,"KOON, IVAN M","SVP, ePaper Business Unit",True,Common Stock,sell,45762.0,39.2508,1796195.1095999999
2003-09-30,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,14583.0,26.95,393011.85
2003-09-30,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,19238.0,27.6875,532652.125
2003-09-30,ADBE,"NARAYEN, SHANTANU","EVP, Worldwide Products",True,Common Stock,buy,175000.0,27.6875,4845312.5
2003-09-30,ADBE,"NARAYEN, SHANTANU","EVP, Worldwide Products",True,Common Stock,buy,3400.0,27.6875,94137.5
2003-09-30,ADBE,"NARAYEN, SHANTANU","EVP, Worldwide Products",True,Common Stock,buy,500.0,11.9688,5984.4
2003-09-30,ADBE,"GESCHKE, CHARLES M","Director, Co-Chairman of the Board",True,Common Stock,sell,75000.0,39.4241,2956807.5
2003-09-30,ADBE,"WARNOCK, JOHN E","Director, Co-Chairman of the Board",True,Common Stock,sell,50000.0,39.157,1957849.9999999998
2003-09-30,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,sell,33501.0,39.4763,1322495.5263
2003-09-30,ADBE,"NARAYEN, SHANTANU","EVP, Worldwide Products",True,Common Stock,buy,1250.0,26.95,33687.5
2003-10-01,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,sell,88750.0,39.45,3501187.5000000005
2003-10-01,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,93275.0,27.6875,2582551.5625
2003-10-01,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,475.0,27.6875,13151.5625
2003-10-02,ADBE,"LAMKIN, BRYAN","SVP, Graphics Business Unit",True,Common Stock,sell,154041.0,39.4248,6073035.6168
2003-10-02,ADBE,"LAMKIN, BRYAN","SVP, Graphics Business Unit",True,Common Stock,buy,3100.0,26.95,83545.0
2003-10-02,ADBE,"LAMKIN, BRYAN","SVP, Graphics Business Unit",True,Common Stock,buy,85938.0,27.6875,2379408.375
2003-10-02,ADBE,"LAMKIN, BRYAN","SVP, Graphics Business Unit",True,Common Stock,buy,4075.0,8.4532,34446.79
2003-10-02,ADBE,"LAMKIN, BRYAN","SVP, Graphics Business Unit",True,Common Stock,buy,3925.0,8.4532,33178.810000000005
2003-10-02,ADBE,"LAMKIN, BRYAN","SVP, Graphics Business Unit",True,Common Stock,buy,65650.0,26.95,1769267.5
2003-10-03,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,buy,83854.0,26.95,2259865.3
2003-10-03,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,buy,6734.0,8.4532,56923.84880000001
2003-10-03,ADBE,"CHIZEN, BRUCE R","Director, President and CEO",True,Common Stock,sell,189000.0,40.5893,7671377.7
2003-10-03,ADBE,"POULIOT, COLLEEN M",Director,True,Common Stock,sell,10000.0,40.3798,403798.00000000006
2003-10-03,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,sell,87956.0,40.8219,3590531.0364
2003-10-03,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,buy,400.0,8.4532,3381.28
2003-10-03,ADBE,"DYRDAHL, MELISSA","SVP, Corp. Marketing & Comm.",True,Common Stock,buy,7800.0,26.95,210210.0
2003-10-03,ADBE,"DYRDAHL, MELISSA","SVP, Corp. Marketing & Comm.",True,Common Stock,sell,7800.0,41.0,319800.0
2003-10-03,ADBE,"CHIZEN, BRUCE R","Director, President and CEO",True,Common Stock,buy,200000.0,27.6875,5537500.0
2003-10-03,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,sell,16959.0,40.85,692775.15
2003-10-03,ADBE,"DEMO, MURRAY J","SVP, CFO & Asst. Secretary",True,Common Stock,buy,2858.0,8.4532,24159.245600000002
2003-10-06,ADBE,"DYRDAHL, MELISSA","SVP, Corp. Marketing & Comm.",True,Common Stock,buy,31250.0,27.6875,865234.375
2003-10-06,ADBE,"DYRDAHL, MELISSA","SVP, Corp. Marketing & Comm.",True,Common Stock,sell,98698.0,40.9187,4038593.8526000003
2003-10-06,ADBE,"DYRDAHL, MELISSA","SVP, Corp. Marketing & Comm.",True,Common Stock,buy,60417.0,35.6875,2156131.6875
2003-10-06,ADBE,"DYRDAHL, MELISSA","SVP, Corp. Marketing & Comm.",True,Common Stock,buy,10950.0,26.95,295102.5
2003-10-07,ADBE,"POULIOT, COLLEEN M",Director,True,Common Stock,sell,7000.0,40.5,283500.0
2003-10-09,ADBE,"DALEY, JAMES E",Director,True,Common Stock,buy,15000.0,33.0,495000.0
2003-10-09,ADBE,"DALEY, JAMES E",Director,True,Common Stock,sell,13000.0,42.65,554450.0
2003-10-09,ADBE,"YOCAM, DELBERT W",Director,True,Common Stock,buy,20000.0,14.8594,297188.0
2003-10-09,ADBE,"YOCAM, DELBERT W",Director,True,Common Stock,sell,20000.0,42.1,842000.0
2003-10-10,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,57291.0,26.95,1543992.45
2003-10-10,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,sell,53891.0,41.857,2255715.587
2003-10-29,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,400.0,27.6875,11075.0
2003-10-29,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,3646.0,26.95,98259.7
2003-10-29,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,buy,4808.0,27.6875,133121.5
2003-10-29,ADBE,"STEPHENS, JIMMIE E JR","SVP, WW Sales & Field Mrktg",True,Common Stock,sell,8294.0,44.46,368751.24
2003-10-29,ADBE,"WARNOCK, JOHN E","Director, Co-Chairman of the Board",True,Common Stock,sell,50000.0,42.8879,2144395.0
