date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Common Stock,buy,127278.0,6.0,763668.0
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Commom Stock,buy,88999.0,6.0,533994.0
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Common Stock,buy,133501.0,6.0,801006.0
2004-05-27,ALNY,"BARRETT, PETER","Director, 10% Owner",True,Common Stock,buy,8739.0,6.0,52434.0
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Common Stock,buy,2331.0,6.0,13986.0
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Common Stock,buy,3892.0,6.0,23352.0
2004-05-27,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,buy,130520.0,6.0,783120.0
2004-05-27,ALNY,"BARRETT, PETER","Director, 10% Owner",True,Common Stock,buy,70351.0,6.0,422106.0
2004-05-27,ALNY,"BARRETT, PETER","Director, 10% Owner",True,Common Stock,buy,3892.0,6.0,23352.0
2004-05-27,ALNY,"BARRETT, PETER","Director, 10% Owner",True,Common Stock,buy,2331.0,6.0,13986.0
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Common Stock,buy,70351.0,6.0,422106.0
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Common Stock,buy,8739.0,6.0,52434.0
2004-05-27,ALNY,"ATLAS, VENTURE FUND V LP",10% Owner,False,Common Stock,buy,1170.0,6.0,7020.0
2004-05-27,ALNY,"BARRETT, PETER","Director, 10% Owner",True,Common Stock,buy,1170.0,6.0,7020.0
2004-06-01,ALNY,"BARRETT, PETER","Director, 10% Owner",True,Common Stock,buy,127278.0,6.0,763668.0
2004-08-24,ALNY,"MARAGANORE, JOHN","Director, President and CEO",True,Common Stock,buy,1100.0,4.45,4895.0
2004-08-25,ALNY,"GREENE, BARRY E",COO and Treasurer,True,Common Stock,buy,240.0,4.84,1161.6
2004-08-25,ALNY,"MARAGANORE, JOHN","Director, President and CEO",True,Common Stock,buy,6800.0,4.85,32980.0
2004-08-25,ALNY,"GREENE, BARRY E",COO and Treasurer,True,Common Stock,buy,1200.0,4.85,5820.0
2004-11-19,ALNY,"MARAGANORE, JOHN","Director, President and CEO",True,Common Stock,buy,1230.0,6.0,7380.0
2004-11-19,ALNY,"GREENE, BARRY E",COO and Treasurer,True,Common Stock,buy,480.0,6.0,2880.0
2004-12-03,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,74876.0,6.743,504888.868
2004-12-03,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,1944.0,6.743,13108.392
2004-12-03,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,1180.0,6.743,7956.740000000001
2004-12-07,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,21179.0,6.998,148210.642
2004-12-07,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,312.0,6.998,2183.376
2004-12-07,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,509.0,6.998,3561.982
2004-12-08,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,22573.0,6.927,156363.171
2004-12-08,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,351.0,6.927,2431.377
2004-12-08,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,576.0,6.927,3989.9519999999998
2004-12-09,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,37942.0,6.854,260054.468
2004-12-09,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,589.0,6.854,4037.006
2004-12-09,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,969.0,6.854,6641.526
2004-12-10,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,35540.0,6.757,240143.78
2004-12-10,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,908.0,6.757,6135.356
2004-12-10,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,552.0,6.757,3729.864
2004-12-14,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,159932.0,6.517,1042276.844
2004-12-14,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,2484.0,6.517,16188.228000000001
2004-12-14,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,4084.0,6.517,26615.428
2004-12-16,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,6724.0,6.75,45387.0
2004-12-16,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,172.0,6.75,1161.0
2004-12-17,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,25455.0,6.693,170370.315
2004-12-17,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,650.0,6.693,4350.45
2004-12-17,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,395.0,6.693,2643.7349999999997
2004-12-28,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,6244.0,7.56,47204.64
2004-12-28,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,159.0,7.56,1202.04
2004-12-29,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,5764.0,7.56,43575.84
2004-12-29,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,147.0,7.56,1111.32
2005-01-03,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,48028.0,7.63,366453.64
2005-01-03,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,746.0,7.63,5691.98
2005-01-03,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,1226.0,7.63,9354.38
2005-01-04,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,694.0,7.68,5329.92
2005-01-04,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,1141.0,7.68,8762.88
2005-01-04,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,44665.0,7.68,343027.2
2005-01-05,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,800.0,8.0668,6453.4400000000005
2005-01-05,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,50200.0,8.0668,404953.36000000004
2005-01-05,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,30644.0,8.0668,247199.0192
2005-01-05,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,18356.0,8.0668,148074.1808
2005-01-06,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,613.0,8.3,5087.900000000001
2005-01-06,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,18356.0,8.6975,159651.31
2005-01-06,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,800.0,8.6975,6958.0
2005-01-06,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,24014.0,8.3,199316.2
2005-01-06,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,373.0,8.3,3095.9
2005-01-06,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,50200.0,8.6975,436614.5
2005-01-06,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,30644.0,8.6975,266526.19
2005-01-10,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,13767.0,9.866,135825.222
2005-01-10,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,600.0,9.866,5919.599999999999
2005-01-10,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,22983.0,9.866,226750.278
2005-01-10,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,37650.0,9.866,371454.89999999997
2005-01-11,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,160.0,9.8525,1576.3999999999999
2005-01-11,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,3671.0,9.8525,36168.5275
2005-01-11,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,10040.0,9.8525,98919.09999999999
2005-01-11,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,6129.0,9.8525,60385.972499999996
2005-01-12,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,918.0,9.3,8537.400000000001
2005-01-12,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,2510.0,9.3,23343.0
2005-01-12,ALNY,"ABINGWORTH, MANAGEMENT LTD",10% Owner,False,Common Stock,sell,1532.0,9.3,14247.6
2005-01-14,ALNY,"POLARIS, VENTURE MANAGEMENT CO III LLC",10% Owner,False,Common Stock,sell,335.0,8.77,2937.95
