date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2001-02-28,AMGN,"FENTON, DENNIS M","Executive V.P., Operations",False,NQSO (Right to Buy),sell,8800.0,68.1875,600050.0
2003-07-01,AMGN,"FENTON, DENNIS M","Executive V.P., Operations",False,NQSO (Right to Buy),sell,20000.0,38.36,767200.0
2003-11-18,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,10000.0,60.05,600500.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,5000.0,59.77,298850.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,5000.0,59.99,299950.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,"Comm
on Stock",sell,16400.0,60.173,986837.2000000001
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,10000.0,60.182,601820.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,20000.0,60.06,1201200.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,5000.0,60.18,300900.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,,sell,6400.0,59.9,383360.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,10000.0,60.15,601500.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,5000.0,59.69,298450.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,5000.0,60.12,300600.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,10000.0,60.199,601990.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,5000.0,60.182,300910.0
2003-11-19,AMGN,"JOHNSON, FRANKLIN P JR",Director,True,Common Stock,sell,30000.0,60.1,1803000.0
2003-11-21,AMGN,"ODRE, STEVEN M","Sr. VP, Gen. Counsel & Secy.",True,Common Stock,buy,15000.0,14.1407,212110.5
2003-11-21,AMGN,"ODRE, STEVEN M","Sr. VP, Gen. Counsel & Secy.",True,Common Stock,sell,15000.0,60.255,903825.0
