date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2000-03-31,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,99.0,25.2525,2499.9975
2000-06-30,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,101.0,24.7525,2500.0025
2000-09-30,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,297.0,8.4175,2499.9975
2000-12-31,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,230.0,10.87,2500.1
2001-03-12,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,200.0,12.5,2500.0
2001-03-12,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,200.0,12.5,2500.0
2001-05-14,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,138.0,18.1159,2499.9942
2001-05-14,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,138.0,18.1159,2499.9942
2001-07-30,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,136.0,18.3824,2500.0064
2001-07-30,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,136.0,18.3824,2500.0064
2001-10-22,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,187.0,13.369,2500.003
2001-10-22,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,187.0,13.369,2500.003
2002-04-09,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,145.0,17.2414,2500.0029999999997
2002-05-08,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,135.0,18.5185,2499.9975
2002-07-26,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,188.0,13.32,2504.16
2002-10-24,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,263.0,9.54,2509.02
2003-03-14,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,779.0,6.42,5001.18
2003-05-15,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,611.0,8.19,5004.09
2003-07-24,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,436.0,11.48,5005.28
2003-10-23,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,477.0,10.49,5003.7300000000005
2004-03-18,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,347.0,14.43,5007.21
2004-04-28,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,282.0,17.75,5005.5
2004-07-30,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,294.0,17.03,5006.820000000001
2004-10-28,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,337.0,14.84,5001.08
2005-03-24,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,230.0,21.83,5020.9
2005-03-24,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,230.0,21.83,5020.9
2005-05-23,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,242.0,20.71,5011.820000000001
2005-05-23,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,242.0,20.71,5011.820000000001
2005-08-30,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,173.0,28.9,4999.7
2005-08-30,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,173.0,28.9,4999.7
2005-10-27,ASTE,"GEHL, WILLIAM D",Director,True,Common Stock,buy,183.0,27.4,5014.2
2005-10-27,ASTE,"FRIERSON, DANIEL K",Director,True,Common Stock,buy,183.0,27.4,5014.2
