date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2009-01-19,BAC,10% Owner,SELL,200.0,23.64,4728.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-01-19,BAC,10% Owner,SELL,300.0,23.63,7089.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-01-19,BAC,10% Owner,SELL,500.0,23.68,11840.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-01-19,BAC,10% Owner,SELL,1300.0,23.65,30744.999999999996,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-01-19,BAC,10% Owner,SELL,600.0,23.6,14160.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-02-08,BAC,10% Owner,SELL,2.0,9.65,19.3,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-08-30,BAC,10% Owner,SELL,875.0,11.54,10097.5,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-08-31,BAC,10% Owner,SELL,100.0,15.53,1553.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-08-31,BAC,10% Owner,SELL,1700.0,15.51,26367.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-08-31,BAC,10% Owner,SELL,400.0,15.52,6208.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-09-02,BAC,10% Owner,SELL,500.0,14.56,7280.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-09-14,BAC,10% Owner,SELL,1500.0,16.86,25290.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,399.0,15.56,6208.4400000000005,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,101.0,15.59,1574.59,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,500.0,15.69,7845.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,400.0,15.68,6272.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,600.0,15.65,9390.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,200.0,15.62,3124.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,500.0,15.6,7800.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-02,BAC,10% Owner,SELL,1325.0,15.7,20802.5,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-03,BAC,10% Owner,BUY,100.0,8.47,847.0000000000001,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-03,BAC,10% Owner,SELL,200.0,8.48,1696.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-03,BAC,10% Owner,BUY,100.0,8.46,846.0000000000001,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,1300.0,14.87,19331.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,1100.0,15.05,16555.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,25.0,15.84,396.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,2026.0,14.88,30146.88,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,200.0,14.85,2970.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,1174.0,14.97,17574.780000000002,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,400.0,15.08,6032.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,168.0,14.93,2508.24,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,1332.0,14.97,19940.04,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,600.0,14.96,8976.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,100.0,14.95,1495.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,600.0,14.99,8994.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,1400.0,14.8,20720.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,100.0,15.0,1500.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,100.0,14.91,1491.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,25.0,16.02,400.5,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,400.0,15.04,6016.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,100.0,14.81,1481.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,2800.0,15.03,42084.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,700.0,14.82,10374.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,500.0,15.07,7535.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,600.0,14.98,8988.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,1200.0,15.01,18012.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,100.0,14.88,1488.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,BUY,100.0,14.89,1489.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,1030.0,14.86,15305.8,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-04,BAC,10% Owner,SELL,2270.0,14.83,33664.1,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,BUY,3.0,9.83,29.490000000000002,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,SELL,3.0,10.01,30.03,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,SELL,100.0,7.86,786.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,BUY,1000.0,7.91,7910.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,BUY,879.0,8.79,7726.409999999999,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,SELL,879.0,8.61,7568.19,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,SELL,700.0,15.0,10500.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,BUY,498.0,15.0,7470.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,BUY,202.0,15.01,3032.02,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-07,BAC,10% Owner,SELL,900.0,7.85,7065.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,1050.0,13.55,14227.5,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,4939.0,13.33,65836.87,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,205.0,24.11,4942.55,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,BUY,23128.0,13.38,309452.64,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,BUY,900.0,7.88,7092.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,BUY,100.0,7.87,787.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,3700.0,13.34,49358.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,BUY,205.0,24.14,4948.7,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,BUY,1050.0,11.79,12379.5,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,1328.0,13.36,17742.079999999998,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,3161.0,13.32,42104.520000000004,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,7800.0,13.31,103818.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,2200.0,13.35,29370.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-08,BAC,10% Owner,SELL,1000.0,7.96,7960.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,BUY,200.0,8.89,1778.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,BUY,200.0,8.93,1786.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,BUY,600.0,8.94,5364.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,BUY,1100.0,8.95,9845.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,SELL,1200.0,8.94,10728.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,SELL,100.0,8.96,896.0000000000001,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,SELL,900.0,8.97,8073.000000000001,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-09,BAC,10% Owner,BUY,100.0,8.9,890.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-10,BAC,10% Owner,BUY,31.0,13.28,411.68,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-10,BAC,10% Owner,SELL,31.0,13.25,410.75,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,200.0,13.65,2730.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,200.0,13.66,2732.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,BUY,360.0,11.61,4179.599999999999,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,BUY,1200.0,13.74,16488.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,BUY,1324.0,13.73,18178.52,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,100.0,11.18,1118.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,260.0,11.19,2909.4,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,1000.0,13.61,13610.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,724.0,13.62,9860.88,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,200.0,13.64,2728.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-11,BAC,10% Owner,SELL,200.0,13.63,2726.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-14,BAC,10% Owner,BUY,5000.0,10.09,50450.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-14,BAC,10% Owner,SELL,4500.0,10.05,45225.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-14,BAC,10% Owner,SELL,500.0,10.07,5035.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,BUY,1092.0,10.22,11160.240000000002,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,BUY,3308.0,10.2,33741.6,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,BUY,500.0,10.21,5105.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,SELL,7500.0,10.07,75525.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,BUY,1400.0,10.19,14266.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,BUY,1000.0,10.24,10240.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,SELL,190.0,12.91,2452.9,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,BUY,190.0,12.96,2462.4,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-15,BAC,10% Owner,BUY,200.0,10.23,2046.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-16,BAC,10% Owner,BUY,100.0,26.49,2649.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-16,BAC,10% Owner,SELL,100.0,26.29,2629.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-17,BAC,10% Owner,BUY,300.0,11.31,3393.0,"BANK, OF AMERICA CORP /DE/",Common Stock
2009-12-17,BAC,10% Owner,SELL,3.0,14.04,42.12,"BANK, OF AMERICA CORP /DE/",Common Stock
