date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2007-07-01,BK,Sr. Executive Vice President,BUY,82602.17,41.5096,3428783.035832,"WOETZEL, KURT D",Common Stock (Par Value $0.01)
2007-07-01,BK,Sr. Executive Vice President,BUY,21795.609,41.5096,904727.0113464,"KEANEY, TIMOTHY F",Common Stock (Par Value $0.01)
2007-07-01,BK,"Director, President",BUY,402226.7714,41.5096,16696272.390105441,"HASSELL, GERALD L",Common Stock (Par Value $0.01)
2007-07-01,BK,Sr. Executive Vice President,BUY,9474.659,41.5096,393289.30522639997,"BERNTSEN, TORRY",Common Stock (Par Value $0.01)
2007-07-01,BK,Vice Chairman and CFO,BUY,11962.802,41.5096,496571.1258992,"VAN, SAUN BRUCE W",Common Stock (Par Value $0.01)
2007-07-01,BK,"Director, President",BUY,235850.0,41.67,9827869.5,"HASSELL, GERALD L",2/8/00 Stock Options $39.31
2007-07-01,BK,Vice Chairman and CFO,BUY,218736.9901,41.5069,9079094.37438169,"VAN, SAUN BRUCE W",Common Stock (Par Value $0.01)
2007-07-23,BK,"Director, Executive Chairman",BUY,139175.0,44.59,6205813.250000001,"RENYI, THOMAS A",Common Stock (Par Value $0.01)
2007-07-23,BK,"Director, President",BUY,86663.0,44.59,3864303.1700000004,"HASSELL, GERALD L",Common Stock (Par Value $0.01)
2007-07-23,BK,Sr. Executive Vice President,BUY,77694.0,44.59,3464375.4600000004,"BERNTSEN, TORRY",Common Stock (Par Value $0.01)
2007-07-23,BK,Sr. Executive Vice President,BUY,100121.0,44.59,4464395.390000001,"PEETZ, KAREN B",Common Stock (Par Value $0.01)
2007-07-23,BK,Sr. Executive Vice President,BUY,21795.609,41.5096,904727.0113464,"KEANEY, TIMOTHY F",Common Stock (Par Value $0.01)
2007-07-23,BK,Sr. Executive Vice President,BUY,105728.0,44.59,4714411.5200000005,"KEANEY, TIMOTHY F",Common Stock (Par Value $0.01)
2007-07-23,BK,Sr. Executive Vice President,BUY,73142.0,44.59,3261401.7800000003,"BRUECKNER, RICHARD F",Common Stock (Par Value $0.01)
2007-07-23,BK,Sr. Executive Vice President,BUY,117225.0,44.59,5227062.75,"WOETZEL, KURT D",Common Stock (Par Value $0.01)
2007-07-23,BK,Sr. Executive Vice President,BUY,120563.0,44.59,5375904.170000001,"ROGAN, BRIAN G",Common Stock (Par Value $0.01)
2007-07-23,BK,Vice Chairman and CFO,BUY,163167.0,44.59,7275616.53,"VAN, SAUN BRUCE W",Common Stock (Par Value $0.01)
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,2800.0,43.94,123032.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,300.0,43.95,13185.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,2800.0,43.96,123088.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,700.0,43.97,30779.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,200.0,43.98,8796.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,300.0,43.99,13197.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,600.0,44.01,26406.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,200.0,44.02,8804.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,4300.0,44.03,189329.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,1200.0,43.93,52716.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,1100.0,44.0,48400.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",BUY,31250.0,29.6563,926759.375,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,1400.0,44.14,61796.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,600.0,44.18,26508.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,2400.0,44.19,106056.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,2150.0,44.2,95030.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,1100.0,44.21,48631.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,2000.0,44.11,88220.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,2000.0,44.09,88180.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,500.0,44.08,22040.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,1500.0,44.07,66105.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,2000.0,44.06,88120.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,300.0,44.05,13215.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,200.0,44.04,8808.0,"ELLIOTT, STEVEN G",Common Stock
2007-07-24,BK,"Director, Senior Vice Chairman",SELL,600.0,44.16,26495.999999999996,"ELLIOTT, STEVEN G",Common Stock
2007-08-03,BK,Director,BUY,304.113,39.7717,12095.0910021,"REIN, CATHERIN A",Common Stock
2007-08-03,BK,Director,BUY,142.088,39.7717,5651.0813096,"RICHARDSON, WILLIAM C",Common Stock
2007-08-03,BK,Director,BUY,77.754,39.7717,3092.4087618000003,"KOWALSKI, MICHAEL JOSEPH",Common Stock
2007-08-03,BK,Director,BUY,77.654,39.7717,3088.4315918,"SCOTT, SAMUEL C III",Common Stock
2007-08-03,BK,Director,BUY,212.815,39.7717,8464.0143355,"BIONDI, FRANK",Common Stock
2007-08-03,BK,Director,BUY,142.026,39.7717,5648.615464200001,"DONOFRIO, NICHOLAS M",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,2300.0,40.51,93173.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,2900.0,40.52,117508.00000000001,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,400.0,40.53,16212.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.538,4053.7999999999997,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,3323.0,40.54,134714.41999999998,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,500.0,40.55,20275.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.558,4055.8,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,300.0,40.559,12167.699999999999,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,2915.0,40.31,117503.65000000001,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,1300.0,40.5,52650.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,3711.0,40.28,149479.08000000002,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,300.0,40.285,12085.499999999998,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.295,4029.5,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.298,4029.8,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,200.0,40.3,8059.999999999999,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.305,4030.5,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,200.0,40.309,8061.799999999999,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,989.0,40.56,40113.840000000004,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,200.0,40.57,8114.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,200.0,40.189,8037.8,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.175,4017.4999999999995,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.809,4080.8999999999996,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,700.0,40.82,28574.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,500.0,40.87,20435.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,300.0,40.405,12121.5,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,3000.0,40.39,121170.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,200.0,40.398,8079.6,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,600.0,40.4,24240.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,900.0,40.05,36045.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,700.0,40.07,28049.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,1200.0,40.08,48096.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,500.0,40.11,20055.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,100.0,40.12,4011.9999999999995,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,1000.0,40.13,40130.0,"RENYI, THOMAS A",Common Stock
2007-08-15,BK,"Director, Executive Chairman",SELL,1200.0,40.131,48157.2,"RENYI, THOMAS A",Common Stock
