date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2004-07-26,CDNS,"Director, Chairman of the Board",BUY,40986.0,13.17,539785.62,"BINGHAM, H RAYMOND",Common Stock
2004-07-26,CDNS,"Director, Chairman of the Board",SELL,12705.0,13.17,167324.85,"BINGHAM, H RAYMOND",Common Stock
2004-07-27,CDNS,Director,SELL,20000.0,13.498,269960.0,"LUCAS, DONALD L",Common Stock
2004-09-09,CDNS,Director,SELL,10000.0,12.8889,128889.0,"LUCAS, DONALD L",Common Stock
2004-10-25,CDNS,Director,SELL,5000.0,12.3044,61522.0,"LUCAS, DONALD L",Common Stock
2004-10-25,CDNS,Director,SELL,3131.0,12.2921,38486.5651,"LUCAS, DONALD L",Common Stock
2004-10-25,CDNS,Director,SELL,3869.0,12.2921,47558.1349,"LUCAS, DONALD L",Common Stock
2004-10-25,CDNS,Director,SELL,8000.0,12.2804,98243.2,"LUCAS, DONALD L",Common Stock
2004-11-24,CDNS,Exec VP - WW Field Operations,BUY,15000.0,9.735,146025.0,"BUSHBY, KEVIN",Common Stock
2004-11-24,CDNS,Exec VP - WW Field Operations,SELL,100.0,13.58,1358.0,"BUSHBY, KEVIN",Common Stock
2004-11-24,CDNS,Exec VP - WW Field Operations,SELL,14900.0,13.57,202193.0,"BUSHBY, KEVIN",Common Stock
2004-11-30,CDNS,"Director, Chairman of the Board",SELL,11676.0,13.6,158793.6,"BINGHAM, H RAYMOND",Common Stock
2004-11-30,CDNS,"Director, Chairman of the Board",SELL,527.0,13.62,7177.74,"BINGHAM, H RAYMOND",Common Stock
2004-11-30,CDNS,Director,SELL,200.0,13.72,2744.0,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,1200.0,13.63,16356.000000000002,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,2100.0,13.66,28686.0,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,1000.0,13.7,13700.0,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,1800.0,13.69,24642.0,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,2600.0,13.68,35568.0,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,4800.0,13.67,65616.0,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,700.0,13.71,9597.0,"LUCAS, DONALD L",Common Stock
2004-11-30,CDNS,Director,SELL,600.0,13.65,8190.0,"LUCAS, DONALD L",Common Stock
2004-12-20,CDNS,Director,BUY,14000.0,5.8333,81666.20000000001,"SHOVEN, JOHN B",Common Stock
2004-12-20,CDNS,Director,SELL,14000.0,14.12,197680.0,"SHOVEN, JOHN B",Common Stock
2005-01-20,CDNS,Director,SELL,14000.0,13.06,182840.0,"SHOVEN, JOHN B",Common Stock
2005-01-20,CDNS,Director,BUY,14000.0,5.8333,81666.20000000001,"SHOVEN, JOHN B",Common Stock
2005-02-01,CDNS,"Director, Executive Chairman",SELL,17496.0,13.165,230334.84,"BINGHAM, H RAYMOND",Common Stock
2005-02-01,CDNS,Exec VP - WW Field Operations,SELL,14096.0,13.165,185573.84,"BUSHBY, KEVIN",Common Stock
2005-02-01,CDNS,"Sr. VP, General Counsel & Sec.",SELL,7256.0,13.165,95525.23999999999,"MCKEITHEN, R L SMITH",Common Stock
2005-02-10,CDNS,Director,SELL,17500.0,13.45,235375.0,"SCALISE, GEORGE",Common Stock
2005-02-10,CDNS,Director,BUY,17500.0,8.125,142187.5,"SCALISE, GEORGE",Common Stock
2005-02-12,CDNS,"Sr. VP, General Counsel & Sec.",SELL,1083.0,17.45,18898.35,"MCKEITHEN, R L SMITH",Common Stock
2005-02-22,CDNS,Director,SELL,14000.0,13.25,185500.0,"SHOVEN, JOHN B",Common Stock
2005-02-22,CDNS,Director,BUY,14000.0,5.8333,81666.20000000001,"SHOVEN, JOHN B",Common Stock
2005-02-28,CDNS,"Sr. VP, General Counsel & Sec.",SELL,12189.0,13.7,166989.3,"MCKEITHEN, R L SMITH",Common Stock
2005-03-10,CDNS,Exec VP - WW Field Operations,SELL,10000.0,14.65,146500.0,"BUSHBY, KEVIN",Common Stock
2005-03-10,CDNS,Exec VP - WW Field Operations,BUY,10000.0,9.735,97350.0,"BUSHBY, KEVIN",Common Stock
2005-03-10,CDNS,Director,SELL,10000.0,14.65,146500.0,"SCALISE, GEORGE",Common Stock
2005-03-10,CDNS,Director,BUY,10000.0,8.125,81250.0,"SCALISE, GEORGE",Common Stock
2005-03-15,CDNS,Director,SELL,704.0,14.3,10067.2,"SANGIOVANNI, VINCENTELLI ALBERTO",Common Stock
2005-03-15,CDNS,Director,BUY,704.0,5.847,4116.2880000000005,"SANGIOVANNI, VINCENTELLI ALBERTO",Common Stock
2005-03-18,CDNS,Director,SELL,8000.0,14.3296,114636.79999999999,"SHOVEN, JOHN B",Common Stock
2005-03-18,CDNS,Director,BUY,8000.0,5.8333,46666.4,"SHOVEN, JOHN B",Common Stock
2005-03-18,CDNS,Director,SELL,6000.0,14.3296,85977.59999999999,"SHOVEN, JOHN B",Common Stock
2005-03-18,CDNS,Director,BUY,6000.0,8.5567,51340.2,"SHOVEN, JOHN B",Common Stock
2005-04-11,CDNS,Director,BUY,10000.0,8.125,81250.0,"SCALISE, GEORGE",Common Stock
2005-04-11,CDNS,Director,SELL,10000.0,14.25,142500.0,"SCALISE, GEORGE",Common Stock
2005-04-20,CDNS,Director,SELL,14000.0,14.0,196000.0,"SHOVEN, JOHN B",Common Stock
2005-04-20,CDNS,Director,BUY,14000.0,8.5567,119793.79999999999,"SHOVEN, JOHN B",Common Stock
2005-05-10,CDNS,Director,SELL,22500.0,13.78,310050.0,"SCALISE, GEORGE",Common Stock
2005-05-10,CDNS,Director,BUY,22500.0,8.5566,192523.5,"SCALISE, GEORGE",Common Stock
2005-05-12,CDNS,"Director, President, CEO",SELL,90899.0,13.78,1252588.22,"FISTER, MICHAEL J",Common Stock
2005-05-20,CDNS,Director,BUY,14000.0,8.5567,119793.79999999999,"SHOVEN, JOHN B",Common Stock
2005-05-20,CDNS,Director,SELL,14000.0,14.1,197400.0,"SHOVEN, JOHN B",Common Stock
2005-05-27,CDNS,Chief Financial Officer,SELL,15000.0,14.0,210000.0,"PORTER, WILLIAM",Common Stock
2005-05-27,CDNS,Chief Financial Officer,BUY,15000.0,7.6944,115416.0,"PORTER, WILLIAM",Common Stock
2005-05-31,CDNS,"EVP, GM, Verification Division",SELL,1055.0,14.03,14801.65,"GAVRIELOV, MOSHE",Common Stock
2005-05-31,CDNS,"EVP, GM, Verification Division",SELL,9070.0,14.03,127252.09999999999,"GAVRIELOV, MOSHE",Common Stock
2005-05-31,CDNS,"EVP, GM, Verification Division",BUY,1055.0,6.67,7036.85,"GAVRIELOV, MOSHE",Common Stock
2005-05-31,CDNS,"EVP, GM, Verification Division",BUY,9070.0,6.67,60496.9,"GAVRIELOV, MOSHE",Common Stock
2005-06-01,CDNS,"EVP, GM, Verification Division",BUY,80999.0,9.88,800270.1200000001,"GAVRIELOV, MOSHE",Common Stock
2005-06-01,CDNS,"EVP, GM, Verification Division",SELL,80999.0,14.2,1150185.8,"GAVRIELOV, MOSHE",Common Stock
2005-06-08,CDNS,"Director, Executive Chairman",SELL,10000.0,14.0132,140132.0,"BINGHAM, H RAYMOND",Common Stock
2005-06-09,CDNS,Exec VP - WW Field Operations,SELL,7700.0,16.08,123815.99999999999,"BUSHBY, KEVIN",Common Stock
2005-06-09,CDNS,Exec VP - WW Field Operations,SELL,2300.0,16.09,37007.0,"BUSHBY, KEVIN",Common Stock
