date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2004-08-05,CME,Director,BUY,250.0,124.08,31020.0,"POLLOCK, ALEX J",Common Stock Class A
2004-09-01,CME,Director,SELL,600.0,132.8,79680.0,"LYNCH, PATRICK B",Common Stock Class A
2004-09-01,CME,Director,SELL,100.0,132.66,13266.0,"LYNCH, PATRICK B",Common Stock Class A
2004-09-01,CME,Director,SELL,300.0,132.6,39780.0,"LYNCH, PATRICK B",Common Stock Class A
2004-09-13,CME,Director,BUY,100.0,143.42,14341.999999999998,"MILLER, WILLIAM P II",Common Stock Class A
2004-11-08,CME,Director,SELL,2000.0,183.17,366340.0,"SIEGEL, HOWARD J",Common Stock Class A
2004-11-08,CME,Director,SELL,2000.0,183.15,366300.0,"SIEGEL, HOWARD J",Common Stock Class A
2004-11-08,CME,Director,SELL,10000.0,187.07,1870700.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-08,CME,Director,SELL,1900.0,188.25,357675.0,"SIEGEL, HOWARD J",Common Stock Class A
2004-11-08,CME,Director,SELL,100.0,188.3,18830.0,"SIEGEL, HOWARD J",Common Stock Class A
2004-11-08,CME,Director,SELL,2000.0,184.0,368000.0,"SIEGEL, HOWARD J",Common Stock Class A
2004-11-10,CME,Director,SELL,2000.0,196.5,393000.0,"SIEGEL, HOWARD J",Common Stock Class A
2004-11-10,CME,Director,SELL,2000.0,194.5,389000.0,"SIEGEL, HOWARD J",Common Stock Class A
2004-11-12,CME,President & COO,SELL,12000.0,201.3,2415600.0,"GILL, PHUPINDER",Common Stock Class A
2004-11-12,CME,President & COO,BUY,12000.0,22.0,264000.0,"GILL, PHUPINDER",Common Stock Class A
2004-11-12,CME,President & COO,SELL,12000.0,22.0,264000.0,"GILL, PHUPINDER",Stock Options (Right to buy)
2004-11-15,CME,Director,SELL,500.0,208.55,104275.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-15,CME,Director,SELL,500.0,208.6,104300.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-15,CME,Director,SELL,2900.0,208.85,605665.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-15,CME,Director,SELL,100.0,208.67,20867.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-15,CME,Director,SELL,1200.0,209.26,251112.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-15,CME,Director,SELL,1500.0,208.47,312705.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-15,CME,Director,SELL,300.0,208.5,62550.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-15,CME,Director,SELL,3000.0,209.0,627000.0,"SANDNER, JOHN F",Common Stock Class A
2004-11-26,CME,MD & CAO,BUY,550.0,22.0,12100.0,"GOBLE, NANCY W",Common Stock Class A
2004-11-26,CME,MD & CAO,SELL,550.0,22.0,12100.0,"GOBLE, NANCY W",Stock Options (Right to buy)
2004-11-26,CME,MD & CAO,SELL,550.0,199.5,109725.0,"GOBLE, NANCY W",Common Stock Class A
2004-12-01,CME,"Director, Chief Executive Officer",SELL,375.0,202.0,75750.0,"DONOHUE, CRAIG S",Common Stock Class A
2004-12-01,CME,"Director, Chief Executive Officer",SELL,100.0,202.4,20240.0,"DONOHUE, CRAIG S",Common Stock Class A
2004-12-01,CME,"Director, Chief Executive Officer",SELL,650.0,203.0,131950.0,"DONOHUE, CRAIG S",Common Stock Class A
2004-12-01,CME,"Director, Chief Executive Officer",SELL,100.0,203.2,20320.0,"DONOHUE, CRAIG S",Common Stock Class A
2004-12-01,CME,"Director, Chief Executive Officer",SELL,3750.0,22.0,82500.0,"DONOHUE, CRAIG S",Stock Options (Right to buy)
2004-12-01,CME,"MD & Pres., Clearing House",SELL,100.0,200.1,20010.0,"TAYLOR, KIMBERLY S",Common Stock Class A
2004-12-01,CME,"MD & Pres., Clearing House",SELL,300.0,200.0,60000.0,"TAYLOR, KIMBERLY S",Common Stock Class A
