date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2003-12-02,CRK,VP of Corp. Dev.,BUY,10000.0,3.875,38750.0,"TAYLOR, MICHAEL WRIGHT",Common Stock
2003-12-03,CRK,Vice President of Operations,BUY,7000.0,3.875,27125.0,"GOOD, MACK D",Common Stock
2003-12-08,CRK,"Director, Sr. VP & CFO",BUY,14900.0,3.4375,51218.75,"BURNS, ROLAND O",Common Stock
2003-12-08,CRK,"Director, Chairman & CEO",SELL,9000.0,18.16,163440.0,"ALLISON, M JAY",Common Stock
2003-12-09,CRK,"Director, Sr. VP & CFO",SELL,20100.0,18.222,366262.2,"BURNS, ROLAND O","Common Stock</value
></securityTitle><transactionDate>2003-12-09"
2003-12-09,CRK,VP of Acct.,SELL,1350.0,18.25,24637.5,"PRESLEY, DANIEL K",Common Stock
2003-12-09,CRK,"Director, Chairman & CEO",BUY,20000.0,3.4375,68750.0,"ALLISON, M JAY",Common Stock
2003-12-09,CRK,"Director, Sr. VP & CFO",BUY,20100.0,3.4375,69093.75,"BURNS, ROLAND O",
2003-12-12,CRK,Director,BUY,10000.0,6.6875,66875.0,"SLEDGE, DAVID W",Common Stock
2003-12-18,CRK,VP of Marketing,BUY,7500.0,3.875,29062.5,"NEUKOM, STEPHEN E",Common Stock
2003-12-19,CRK,VP of Land,BUY,7000.0,3.875,27125.0,"POWERS, RICHARD G",Common Stock
2003-12-20,CRK,Director,SELL,10000.0,19.1632,191632.0,"LOCKETT, DAVID K",Common Stock
2003-12-22,CRK,Director,SELL,22015.0,19.25,423788.75,"MARTIN, CECIL E JR",Common Stock
2003-12-23,CRK,Vice President of Operations,BUY,10000.0,3.875,38750.0,"GOOD, MACK D",Common Stock
2003-12-23,CRK,"Director, Sr. VP & CFO",SELL,3000.0,19.26,57780.00000000001,"BURNS, ROLAND O",Common Stock
2003-12-23,CRK,"Director, Chairman & CEO",SELL,4000.0,19.26,77040.0,"ALLISON, M JAY",Common Stock
2004-02-23,CRK,"Director, Chairman & CEO",SELL,4000.0,18.125,72500.0,"ALLISON, M JAY",Common Stock
2004-03-03,CRK,"Director, Chairman & CEO",BUY,45000.0,3.875,174375.0,"ALLISON, M JAY",Common Stock
2004-03-03,CRK,"Director, Chairman & CEO",BUY,90000.0,3.4375,309375.0,"ALLISON, M JAY",Common Stock
