date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2020-12-08,DASH,Chief Business & Legal Officer,SELL,5542.0,102.0,565284.0,"YANDELL, KEITH",Common Stock
2020-12-08,DASH,Chief Financial Officer,SELL,47962.0,102.0,4892124.0,"ADARKAR, PRABIR",Common Stock
2020-12-09,DASH,"Director, 10% Owner",SELL,7800.0,179.7016,1401672.4800000002,"GIC, PRIVATE LTD",Class A Common Stock
2020-12-09,DASH,Chief Business & Legal Officer,BUY,15000.0,3.28,49200.0,"YANDELL, KEITH",Common Stock
2020-12-09,DASH,"Director, 10% Owner",BUY,3800.0,102.0,387600.0,"GIC, PRIVATE LTD",Class A Common Stock
2020-12-09,DASH,"Director, 10% Owner",BUY,7800.0,102.0,795600.0,"GIC, PRIVATE LTD",Class A Common Stock
2020-12-09,DASH,"Director, 10% Owner",SELL,100.0,191.794,19179.4,"GIC, PRIVATE LTD",Class A Common Stock
2020-12-09,DASH,"Director, 10% Owner",SELL,2100.0,179.7016,377373.36000000004,"GIC, PRIVATE LTD",Class A Common Stock
2020-12-09,DASH,"Director, 10% Owner",SELL,1600.0,182.0,291200.0,"GIC, PRIVATE LTD",Class A Common Stock
2020-12-10,DASH,Director,BUY,234.0,175.1,40973.4,"RENZ, MARIA",Common Stock
2020-12-11,DASH,10% Owner,BUY,244650.0,102.0,24954300.0,"SC, US (TTGP), LTD.",Class A Common Stock
2020-12-11,DASH,10% Owner,BUY,5350.0,102.0,545700.0,"SC, US (TTGP), LTD.",Class A Common Stock
2020-12-11,DASH,"Director, 10% Owner",BUY,244650.0,102.0,24954300.0,"LIN, ALFRED",Class A Common Stock
2020-12-11,DASH,"Director, 10% Owner",BUY,5350.0,102.0,545700.0,"LIN, ALFRED",Class A Common Stock
2021-02-20,DASH,Director,SELL,3665.0,205.97,754880.05,"TANG, STANLEY",Class A Common Stock
2021-02-20,DASH,Chief Business & Legal Officer,SELL,17432.0,205.97,3590469.04,"YANDELL, KEITH",Class A Common Stock
2021-02-20,DASH,Director,SELL,8323.0,205.97,1714288.31,"FANG, ANDY",Class A Common Stock
2021-02-20,DASH,Chief Operating Officer,SELL,27234.0,205.97,5609386.9799999995,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-02-20,DASH,Chief Accounting Officer,SELL,6790.0,205.97,1398536.3,"LEE, GORDON S",Class A Common Stock
2021-02-20,DASH,Chief Financial Officer,SELL,65558.0,205.97,13502981.26,"ADARKAR, PRABIR",Class A Common Stock
2021-03-09,DASH,Director,SELL,301845.0,142.6263,43051035.523499995,"GIC, PRIVATE LTD",Class A Common Stock
2021-03-09,DASH,Director,SELL,544677.0,143.1408,77965501.52160001,"GIC, PRIVATE LTD",Class A Common Stock
2021-03-09,DASH,Director,SELL,65127.0,144.4545,9407888.2215,"GIC, PRIVATE LTD",Class A Common Stock
2021-03-09,DASH,Director,SELL,1003000.0,130.501,130892503.0,"GIC, PRIVATE LTD",Class A Common Stock
2021-03-09,DASH,Chief Financial Officer,SELL,5000.0,138.196,690980.0,"ADARKAR, PRABIR",Class A Common Stock
2021-03-09,DASH,Chief Financial Officer,SELL,15000.0,130.0,1950000.0,"ADARKAR, PRABIR",Class A Common Stock
2021-03-09,DASH,Director,SELL,2500.0,146.491,366227.50000000006,"BROWN, SHONA L",Class A Common Stock
2021-03-09,DASH,Chief Accounting Officer,SELL,20065.0,130.0,2608450.0,"LEE, GORDON S",Class A Common Stock
2021-03-09,DASH,Chief Operating Officer,SELL,10707.0,140.697,1506442.779,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-03-09,DASH,Chief Operating Officer,SELL,10356.0,146.871,1520996.0760000001,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-03-09,DASH,Chief Operating Officer,SELL,16202.0,145.131,2351412.462,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-03-09,DASH,Chief Operating Officer,SELL,2275.0,143.868,327299.7,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-03-09,DASH,Chief Operating Officer,SELL,16198.0,142.925,2315099.1500000004,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-03-09,DASH,Chief Operating Officer,SELL,12902.0,141.929,1831167.958,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-03-09,DASH,Chief Operating Officer,SELL,23517.0,139.39,3278034.63,"PAYNE, CHRISTOPHER D",Class A Common Stock
2021-03-09,DASH,Director,SELL,177266.0,141.5588,25093562.240799997,"GIC, PRIVATE LTD",Class A Common Stock
2021-03-09,DASH,Chief Accounting Officer,BUY,11810.0,17.57,207501.7,"LEE, GORDON S",Class A Common Stock
2021-03-09,DASH,Director,SELL,75857.0,140.7306,10675401.124200001,"GIC, PRIVATE LTD",Class A Common Stock
