date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2017-09-11,DELL,10% Owner,SELL,2308807.0,109.31,252375693.17000002,"DELL, TECHNOLOGIES INC",Class A Common Stock
2017-10-18,DELL,"Director, Chief Executive Officer",BUY,25320.0,32.7,827964.0000000001,"DELL, MICHAEL S",Class A Common Stock
2017-10-18,DELL,"Director, Chief Executive Officer",BUY,81573.0,32.7,2667437.1,"DELL, MICHAEL S",Class C Common Stock
2017-10-25,DELL,"Pres., Infra. Solutions Group",SELL,3900.0,82.54,321906.0,"GOULDEN, DAVID I",Class V Common Stock
2017-10-25,DELL,"Pres., Infra. Solutions Group",SELL,800.0,83.23,66584.0,"GOULDEN, DAVID I",Class V Common Stock
2017-11-01,DELL,10% Owner,SELL,435682.0,109.31,47624399.42,"DELL, TECHNOLOGIES INC",Class A Common Stock
2017-11-15,DELL,"Pres., Infra. Solutions Group",SELL,4700.0,80.18,376846.00000000006,"GOULDEN, DAVID I",Class V Common Stock
2017-12-11,DELL,"Director, Chief Executive Officer",BUY,14350.0,32.7,469245.00000000006,"DELL, MICHAEL S",Class C Common Stock
2017-12-28,DELL,"Pres., Infra. Solutions Group",SELL,4700.0,80.93,380371.00000000006,"GOULDEN, DAVID I",Class V Common Stock
2018-01-08,DELL,"Director, Chief Executive Officer",BUY,12967.0,33.17,430115.39,"DELL, MICHAEL S",Class C Common Stock
2018-01-12,DELL,Chief Human Resources Officer,BUY,350000.0,13.75,4812500.0,"PRICE, STEVEN H",Class C Common Stock
2018-01-12,DELL,Chief Human Resources Officer,SELL,222288.0,33.17,7373292.96,"PRICE, STEVEN H",Class C Common Stock
2018-01-17,DELL,"Pres., Infra. Solutions Group",SELL,1000.0,88.26,88260.0,"GOULDEN, DAVID I",Class V Common Stock
2018-01-17,DELL,"Pres., Infra. Solutions Group",SELL,2900.0,87.43,253547.00000000003,"GOULDEN, DAVID I",Class V Common Stock
2018-01-17,DELL,"Pres., Infra. Solutions Group",SELL,800.0,86.68,69344.0,"GOULDEN, DAVID I",Class V Common Stock
2018-02-02,DELL,"Pres., Infra. Solutions Group",SELL,32328.0,33.17,1072319.76,"GOULDEN, DAVID I",Class C Common Stock
2018-09-14,DELL,"Pres., Dell Svcs. Digital & IT",SELL,32328.0,79.77,2578804.56,"ELIAS, HOWARD D",Class C Common Stock
2018-09-14,DELL,Chief Accounting Officer,SELL,1797.0,79.77,143346.69,"MCREYNOLDS, MAYA",Class C Common Stock
2018-09-14,DELL,"Pres., Global Enterprise Sales",SELL,32328.0,79.77,2578804.56,"SCANNELL, WILLIAM F",Class C Common Stock
2019-02-14,DELL,"Director, 10% Owner",SELL,21963541.0,45.53,1000000021.73,"SILVER, LAKE PARTNERS III LP",Class B Common Stock
2019-02-14,DELL,"Director, 10% Owner",BUY,21697586.0,45.53,987891090.58,"SILVER, LAKE GROUP, L.L.C.",Class B Common Stock
2019-02-14,DELL,"Director, 10% Owner",BUY,265955.0,45.53,12108931.15,"SILVER, LAKE GROUP, L.L.C.",Class B Common Stock
2019-06-01,DELL,Chief Marketing Officer,SELL,29659.0,59.55,1766193.45,"DEW, ALLISON",Class C Common Stock
2019-06-27,DELL,"Vice Chairman, Products & Ops.",SELL,18532.0,51.62,956621.84,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-27,DELL,Chief Human Resources Officer,SELL,13900.0,52.79,733781.0,"PRICE, STEVEN H",Class C Common Stock
2019-06-27,DELL,Chief Human Resources Officer,SELL,47343.0,52.48,2484560.6399999997,"PRICE, STEVEN H",Class C Common Stock
2019-06-27,DELL,Chief Human Resources Officer,SELL,2200.0,51.4,113080.0,"PRICE, STEVEN H",Class C Common Stock
2019-06-27,DELL,Chief Human Resources Officer,SELL,4690.0,52.78,247538.2,"PRICE, STEVEN H",Class C Common Stock
2019-06-27,DELL,Chief Human Resources Officer,SELL,108293.0,52.3,5663723.899999999,"PRICE, STEVEN H",Class C Common Stock
2019-06-27,DELL,Chief Human Resources Officer,SELL,1647.0,51.28,84458.16,"PRICE, STEVEN H",Class C Common Stock
2019-06-27,DELL,Chief Human Resources Officer,BUY,114630.0,13.75,1576162.5,"PRICE, STEVEN H",Class C Common Stock
2019-06-27,DELL,General Counsel & Secretary,SELL,6000.0,52.77,316620.0,"ROTHBERG, RICHARD J",Class C Common Stock
2019-06-27,DELL,General Counsel & Secretary,SELL,52371.0,52.38,2743192.98,"ROTHBERG, RICHARD J",Class C Common Stock
2019-06-27,DELL,General Counsel & Secretary,SELL,9963.0,51.63,514389.69,"ROTHBERG, RICHARD J",Class C Common Stock
2019-06-27,DELL,"President, Services & Digital",SELL,69386.0,51.02,3540073.72,"ELIAS, HOWARD D",Class C Common Stock
2019-06-27,DELL,"President, Services & Digital",SELL,27572.0,52.1,1436501.2,"ELIAS, HOWARD D",Class C Common Stock
2019-06-27,DELL,"President, Services & Digital",SELL,23129.0,52.1,1205020.9000000001,"ELIAS, HOWARD D",Class C Common Stock
2019-06-27,DELL,General Counsel & Secretary,BUY,68334.0,13.75,939592.5,"ROTHBERG, RICHARD J",Class C Common Stock
2019-06-27,DELL,"President, Services & Digital",BUY,163111.0,13.75,2242776.25,"ELIAS, HOWARD D",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,BUY,145712.0,13.75,2003540.0,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,16900.0,51.64,872716.0,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,1922.0,51.48,98944.56,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,5900.0,52.77,311343.0,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Pres. & Chief Commercial Off.,SELL,19967.0,52.78,1053858.26,"HAAS, MARIUS",Class C Common Stock
2019-06-27,DELL,Pres. & Chief Commercial Off.,SELL,148614.0,52.4,7787373.6,"HAAS, MARIUS",Class C Common Stock
2019-06-27,DELL,Pres. & Chief Commercial Off.,SELL,3981.0,51.43,204742.83,"HAAS, MARIUS",Class C Common Stock
2019-06-27,DELL,Pres. & Chief Commercial Off.,BUY,172562.0,13.75,2372727.5,"HAAS, MARIUS",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,78988.0,52.34,4134231.9200000004,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,"Vice Chairman, Products & Ops.",SELL,119969.0,52.33,6277977.77,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-27,DELL,"Vice Chairman, Products & Ops.",SELL,8987.0,52.77,474243.99000000005,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-27,DELL,"Vice Chairman, Products & Ops.",SELL,139909.0,52.3,7317240.699999999,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-27,DELL,"Vice Chairman, Products & Ops.",SELL,7394.0,51.58,381382.51999999996,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-27,DELL,"Vice Chairman, Products & Ops.",SELL,8962.0,52.77,472924.74000000005,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-27,DELL,Chief Accounting Officer,SELL,651.0,52.47,34157.97,"MCREYNOLDS, MAYA",Class C Common Stock
2019-06-27,DELL,Chief Accounting Officer,SELL,2400.0,51.24,122976.0,"MCREYNOLDS, MAYA",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,2285.0,52.78,120602.3,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,31612.0,52.3,1653307.5999999999,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,5100.0,52.77,269127.0,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,29524.0,52.46,1548829.04,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,Chief Financial Officer,SELL,9300.0,51.63,480159.0,"SWEET, THOMAS W",Class C Common Stock
2019-06-27,DELL,"Vice Chairman, Products & Ops.",BUY,303753.0,13.75,4176603.75,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-28,DELL,"Vice Chairman, Products & Ops.",SELL,66970.0,51.21,3429533.7,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-28,DELL,"Vice Chairman, Products & Ops.",SELL,7300.0,51.95,379235.0,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-28,DELL,"Vice Chairman, Products & Ops.",SELL,93493.0,51.13,4780297.09,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-28,DELL,"Vice Chairman, Products & Ops.",BUY,179488.0,13.75,2467960.0,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-28,DELL,Chief Human Resources Officer,SELL,9850.0,51.86,510821.0,"PRICE, STEVEN H",Class C Common Stock
2019-06-28,DELL,Pres. & Chief Commercial Off.,SELL,181271.0,51.16,9273824.36,"HAAS, MARIUS",Class C Common Stock
2019-06-28,DELL,Pres. & Chief Commercial Off.,BUY,189464.0,13.75,2605130.0,"HAAS, MARIUS",Class C Common Stock
2019-06-28,DELL,Chief Human Resources Officer,SELL,80519.0,51.22,4124183.1799999997,"PRICE, STEVEN H",Class C Common Stock
2019-06-28,DELL,"Vice Chairman, Products & Ops.",SELL,11725.0,51.92,608762.0,"CLARKE, JEFFREY W",Class C Common Stock
2019-06-28,DELL,Pres. & Chief Commercial Off.,SELL,8193.0,51.9,425216.7,"HAAS, MARIUS",Class C Common Stock
2019-06-28,DELL,Chief Financial Officer,BUY,56233.0,13.75,773203.75,"SWEET, THOMAS W",Class C Common Stock
2019-06-28,DELL,Chief Human Resources Officer,SELL,3603.0,51.05,183933.15,"PRICE, STEVEN H",Class C Common Stock
2019-06-28,DELL,Chief Financial Officer,SELL,7551.0,51.87,391670.37,"SWEET, THOMAS W",Class C Common Stock
2019-06-28,DELL,Chief Human Resources Officer,SELL,600.0,52.52,31512.000000000004,"PRICE, STEVEN H",Class C Common Stock
2019-06-28,DELL,Chief Human Resources Officer,BUY,90369.0,13.75,1242573.75,"PRICE, STEVEN H",Class C Common Stock
