date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2002-11-21,DHI,Director,SELL,1000.0,42.43,42430.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,1900.0,42.15,80085.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,900.0,42.17,37953.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,10000.0,41.9,419000.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,800.0,42.0,33600.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,500.0,42.16,21080.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,9100.0,42.12,383292.0,"HORTON, RICHARD L","Common Stock</value
></securityTitle><transactionDate>2003-11-20"
2003-11-20,DHI,Director,SELL,1800.0,42.14,75852.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,1000.0,42.01,42010.0,"HORTON, RICHARD L",Common Stock
2003-11-20,DHI,Director,SELL,1300.0,42.13,54769.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,2400.0,42.35,101640.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,1400.0,42.42,59388.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,1900.0,42.4,80560.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,5100.0,42.41,216290.99999999997,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,,15000.0,42.45,636750.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,600.0,42.1,25260.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,10000.0,42.5,425000.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,500.0,42.32,21160.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,100.0,42.3,4230.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,600.0,42.44,25464.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,9400.0,42.12,395928.0,"HORTON, RICHARD L",Common Stock
2003-11-21,DHI,Director,SELL,700.0,42.28,29596.0,"HORTON, RICHARD L",Common Stock
2003-11-24,DHI,Director,SELL,1200.0,42.96,51552.0,"HORTON, RICHARD L",Common Stock
2003-11-24,DHI,Director,SELL,2500.0,42.7,106750.0,"HORTON, RICHARD L",Common Stock
2003-11-24,DHI,Director,SELL,2000.0,42.94,85880.0,"HORTON, RICHARD L",Common Stock
2003-11-24,DHI,Director,SELL,5000.0,42.9,214500.0,"HORTON, RICHARD L",Common Stock
2003-11-24,DHI,Director,SELL,5000.0,42.71,213550.0,"HORTON, RICHARD L","Common Stock</value
></securityTitle><transactionDate>2003-11-24"
2003-12-02,DHI,"Director, Chairman",SELL,4065.0,45.0,182925.0,"HORTON, DONALD R",Common Stock
2003-12-04,DHI,"Director, Chairman",SELL,501.0,43.86,21973.86,"HORTON, DONALD R",Common Stock
2003-12-10,DHI,Senior Executive VP,BUY,1000.0,38.9,38900.0,"FULLER, SAMUEL R",Common Stock
2003-12-10,DHI,"Director, EVP and CFO",BUY,300.0,38.87,11661.0,"WHEAT, BILL W",Common Stock
2003-12-10,DHI,"Director, EVP and CFO",BUY,500.0,40.51,20255.0,"WHEAT, BILL W",Common Stock
2003-12-10,DHI,"Director, President and CEO",BUY,20000.0,38.91,778199.9999999999,"TOMNITZ, DONALD J",Common Stock
2003-12-12,DHI,"Director, President and CEO",BUY,40378.0,3.9287,158633.0486,"TOMNITZ, DONALD J",Common Stock
2003-12-12,DHI,"Director, President and CEO",BUY,7927.0,4.494,35623.937999999995,"TOMNITZ, DONALD J",Common Stock
2003-12-16,DHI,Retired Director,SELL,5000.0,40.25,201250.0,"BECKWITT, RICHARD",Common Stock
2003-12-16,DHI,Retired Director,SELL,9900.0,40.2,397980.0,"BECKWITT, RICHARD",Common Stock
2003-12-16,DHI,Retired Director,SELL,100.0,40.21,4021.0,"BECKWITT, RICHARD",Common Stock
2003-12-16,DHI,Retired Director,BUY,28391.0,5.8889,167191.75989999998,"BECKWITT, RICHARD",Common Stock
2003-12-16,DHI,Retired Director,SELL,5000.0,40.4,202000.0,"BECKWITT, RICHARD",
2003-12-16,DHI,Retired Director,SELL,5000.0,41.0,205000.0,"BECKWITT, RICHARD",Common Stock
2003-12-16,DHI,Retired Director,SELL,5000.0,40.6,203000.0,"BECKWITT, RICHARD",Common Stock
2003-12-16,DHI,Retired Director,BUY,6609.0,5.3035,35050.8315,"BECKWITT, RICHARD",Common Stock
2004-01-22,DHI,Senior Executive VP,BUY,6656.0,3.6271,24141.9776,"FULLER, SAMUEL R",Common Stock
2004-02-02,DHI,Director,BUY,3000.0,12.66,37980.0,"NEFF, FRANCINE I",Common Stock
2004-02-02,DHI,Director,SELL,3000.0,29.15,87450.0,"NEFF, FRANCINE I",Common Stock
2004-02-13,DHI,Executive VP & Treasurer,BUY,9512.0,3.6271,34500.9752,"DWYER, STACEY",Common Stock
2004-02-13,DHI,Executive VP & Treasurer,SELL,4313.0,30.8,132840.4,"DWYER, STACEY",Common Stock
2004-04-30,DHI,"Director, President and CEO",BUY,6731.0,2.62,17635.22,"TOMNITZ, DONALD J",Common Stock
2004-06-21,DHI,Senior EVP,BUY,1348.0,2.6191,3530.5468,"FULLER, SAMUEL R",Common Stock
2004-06-21,DHI,EVP & Treasurer,BUY,4487.0,2.6191,11751.9017,"DWYER, STACEY",Common Stock
2004-07-21,DHI,"Director, President and CEO",BUY,60568.0,2.215,134158.12,"TOMNITZ, DONALD J",Common Stock
2004-08-30,DHI,"Director, EVP and CFO",BUY,750.0,30.5,22875.0,"WHEAT, BILL W",Common Stock
2004-12-14,DHI,Senior EVP,BUY,1799.0,2.215,3984.785,"FULLER, SAMUEL R",Common Stock
2004-12-14,DHI,"Director, President and CEO",BUY,6730.0,2.215,14906.949999999999,"TOMNITZ, DONALD J",Common Stock
2004-12-14,DHI,Senior EVP,SELL,1799.0,39.26,70628.73999999999,"FULLER, SAMUEL R",Common Stock
2004-12-16,DHI,EVP & Treasurer,SELL,2222.0,39.42,87591.24,"DWYER, STACEY",Common Stock
2004-12-16,DHI,EVP & Treasurer,BUY,4487.0,2.215,9938.705,"DWYER, STACEY",Common Stock
2005-01-21,DHI,"Director, President and CEO",BUY,55566.0,3.6138,200804.41079999998,"TOMNITZ, DONALD J",Common Stock
2005-04-11,DHI,"Director, President and CEO",BUY,88202.0,2.806,247494.812,"TOMNITZ, DONALD J",Common Stock
2005-05-24,DHI,"Director, President and CEO",BUY,8232.0,2.71,22308.72,"TOMNITZ, DONALD J",Common Stock
2005-06-16,DHI,EVP & COO - California,BUY,2744.0,2.7104,7437.3376,"NOON, THOMAS F",Common Stock
2005-06-17,DHI,Senior EVP,SELL,5000.0,37.9016,189508.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,5000.0,37.9136,189568.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,BUY,16000.0,10.95,175200.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,5000.0,37.922,189609.99999999997,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,14200.0,37.9,538180.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,7844.0,37.9616,297770.7904,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Director,SELL,4000.0,37.889,151556.0,"NEFF, FRANCINE I",Common Stock
2005-06-17,DHI,Director,BUY,4000.0,9.49,37960.0,"NEFF, FRANCINE I",Common Stock
2005-06-17,DHI,Senior EVP,SELL,800.0,37.98,30383.999999999996,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,5447.0,37.9319,206615.0593,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,7668.0,37.92,290770.56,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,7705.0,37.9871,292690.6055,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,5000.0,37.83,189150.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,BUY,5333.0,21.6,115192.8,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,5000.0,37.939,189695.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,6640.0,37.65,249996.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,10000.0,37.91,379099.99999999994,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,6000.0,37.8017,226810.19999999998,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,BUY,26640.0,5.0113,133501.032,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,BUY,32668.0,6.0783,198565.9044,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,SELL,5000.0,37.67,188350.0,"FULLER, SAMUEL R",Common Stock
2005-06-17,DHI,Senior EVP,BUY,5447.0,2.6517,14443.8099,"FULLER, SAMUEL R",Common Stock
