date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2005-12-13,DLR,"VP, Sales & Technical Services",SELL,6300.0,23.57,148491.0,"CROSBY, CHRISTOPHER JAMES JR",Common Stock
2005-12-13,DLR,"VP, Sales & Technical Services",BUY,6300.0,12.0,75600.0,"CROSBY, CHRISTOPHER JAMES JR",Common Stock
2005-12-14,DLR,"VP, Sales & Technical Services",BUY,8852.0,12.0,106224.0,"CROSBY, CHRISTOPHER JAMES JR",Common Stock
2005-12-14,DLR,"VP, Sales & Technical Services",SELL,8852.0,23.42,207313.84000000003,"CROSBY, CHRISTOPHER JAMES JR",Common Stock
2006-03-28,DLR,"Director, Executive Chairman",SELL,156472.0,26.16,4093307.52,"MAGNUSON, RICHARD A","Common Stock, par value $0.01 per share"
2006-03-28,DLR,"Director, Executive Chairman",SELL,900563.0,26.16,23558728.080000002,"MAGNUSON, RICHARD A","Common Stock, par value $0.01 per share"
2006-09-13,DLR,CFO and CIO,SELL,200.0,30.66,6132.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,303.0,30.69,9299.07,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,BUY,20203.0,12.0,242436.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,300.0,31.04,9312.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,100.0,31.01,3101.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,10100.0,31.0,313100.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,300.0,30.99,9297.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,500.0,30.98,15490.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,600.0,30.97,18582.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,600.0,30.94,18564.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,400.0,30.89,12356.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,1000.0,31.08,31080.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,100.0,30.82,3082.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,200.0,30.87,6174.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,100.0,30.68,3068.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,100.0,30.72,3072.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,900.0,30.73,27657.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,600.0,30.88,18528.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,900.0,30.76,27684.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,900.0,30.75,27675.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,500.0,30.77,15385.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,1000.0,30.8,30800.0,"STEIN, A WILLIAM",Common Stock
2006-09-13,DLR,CFO and CIO,SELL,500.0,30.81,15405.0,"STEIN, A WILLIAM",Common Stock
2006-09-14,DLR,"Senior VP, Acquisitions",SELL,203.0,30.43,6177.29,"PETERSON, SCOTT E",Common Stock
2006-09-14,DLR,"Senior VP, Acquisitions",SELL,20000.0,30.42,608400.0,"PETERSON, SCOTT E",Common Stock
2006-09-14,DLR,"Senior VP, Acquisitions",BUY,20203.0,12.0,242436.0,"PETERSON, SCOTT E",Common Stock
2006-11-27,DLR,10% Owner,SELL,3300000.0,35.82,118206000.0,"GLOBAL, INNOVATION PARTNERS, LLC","Common Stock, par value $0.01 per share"
2006-11-27,DLR,"Director, Executive Chairman",SELL,3300000.0,35.82,118206000.0,"MAGNUSON, RICHARD A","Common Stock, par value $0.01 per share"
2006-12-11,DLR,"Senior VP, Acquisitions",SELL,19800.0,35.33,699534.0,"PETERSON, SCOTT E",Common Stock
