date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2003-06-05,DOV,Director,SELL,175.0,33.42,5848.5,"ROUBOS, GARY L",Common Stock
2003-08-28,DOV,Director,SELL,25302.0,37.23,941993.46,"STUBBS, MICHAEL B",Common Stock
2003-08-28,DOV,Director,BUY,25302.0,37.23,941993.46,"STUBBS, MICHAEL B",Common Stock
2003-09-29,DOV,Director,BUY,24650.0,37.5,924375.0,"STUBBS, MICHAEL B",Common Stock
2003-09-29,DOV,Director,SELL,24650.0,37.5,924375.0,"STUBBS, MICHAEL B",Common Stock
2003-10-22,DOV,"Director, Chairman of the Board & CEO",SELL,6500.0,14.875,96687.5,"REECE, THOMAS L",Common Stock
2003-10-23,DOV,"Director, Chairman of the Board & CEO",SELL,10000.0,38.25,382500.0,"REECE, THOMAS L",Common Stock
2003-10-24,DOV,"Director, Chairman of the Board & CEO",SELL,5000.0,38.33,191650.0,"REECE, THOMAS L",Common Stock
2003-10-24,DOV,"Director, Chairman of the Board & CEO",SELL,15000.0,38.37,575550.0,"REECE, THOMAS L","Common
 Stock"
2003-10-28,DOV,Director,SELL,3800.0,39.0737,148480.06,"GRAHAM, KRISTIANE C",Common Stock
2003-10-28,DOV,Director,SELL,2700.0,39.093,105551.1,"GRAHAM, KRISTIANE C",Common Stock
2003-10-31,DOV,Director,SELL,3800.0,39.0737,148480.06,"GRAHAM, KRISTIANE C",Common Stock
2003-10-31,DOV,Director,SELL,2700.0,39.093,105551.1,"GRAHAM, KRISTIANE C",Common Stock
2003-11-03,DOV,Director,SELL,130.0,39.43,5125.9,"ROUBOS, GARY L",Common Stock
2003-11-17,DOV,Director,BUY,1786.0,37.8,67510.79999999999,"BENSON, DAVID HOLFORD",Common Stock
2003-11-17,DOV,Director,SELL,536.0,37.8,20260.8,"GRAHAM, KRISTIANE C",Common Stock
2003-11-17,DOV,Director,,536.0,37.8,20260.8,"STUBBS, MICHAEL B",Common Stock
2003-11-17,DOV,Director,SELL,536.0,37.8,20260.8,"KOLEY, JAMES L",Common Stock
2003-11-17,DOV,Director,BUY,1786.0,37.8,67510.79999999999,"KOLEY, JAMES L",Common Stock
2003-11-17,DOV,Director,SELL,536.0,37.8,20260.8,"LOCHRIDGE, RICHARD K",Common Stock
2003-11-17,DOV,Director,SELL,1786.0,37.8,67510.79999999999,"GRAHAM, KRISTIANE C",Common Stock
2003-11-17,DOV,Director,SELL,536.0,37.8,20260.8,"ERGAS, JEAN PIERRE",Common Stock
2003-11-17,DOV,Director,BUY,1786.0,37.8,67510.79999999999,"ERGAS, JEAN PIERRE",Common Stock
2003-11-17,DOV,Director,SELL,536.0,37.8,20260.8,"RETHORE, BERNARD G",Common Stock
2003-11-17,DOV,Director,BUY,1786.0,37.8,67510.79999999999,"ROUBOS, GARY L",Common Stock
2003-11-17,DOV,Director,BUY,1786.0,37.8,67510.79999999999,"RETHORE, BERNARD G",Common Stock
2003-11-17,DOV,Director,SELL,536.0,37.8,20260.8,"ROUBOS, GARY L",Common Stock
2003-11-17,DOV,Director,BUY,1786.0,37.8,67510.79999999999,"LOCHRIDGE, RICHARD K",Common Stock
2003-12-12,DOV,Vice President ,BUY,0.554,38.11,21.112940000000002,"TYRE, ROBERT A",Common Stock
2003-12-12,DOV,Vice President ,BUY,167.892,38.11,6398.36412,"TYRE, ROBERT A",Common Stock
2003-12-12,DOV,Director,SELL,400.0,38.25,15300.0,"ROUBOS, GARY L",Common Stock
2003-12-16,DOV,Director,SELL,535.0,37.82,20233.7,"ROUBOS, GARY L",Common Stock
2004-01-29,DOV,Director,SELL,2775.0,40.92,113553.0,"STUBBS, MICHAEL B",Common Stock
2004-01-29,DOV,Director,SELL,2000.0,40.91,81820.0,"STUBBS, MICHAEL B",Common Stock
2004-01-29,DOV,Director,SELL,2100.0,40.9,85890.0,"STUBBS, MICHAEL B",Common Stock
2004-01-29,DOV,Director,SELL,700.0,40.92,28644.0,"STUBBS, MICHAEL B",Common Stock
2004-01-29,DOV,Director,SELL,500.0,40.94,20470.0,"STUBBS, MICHAEL B",Common Stock
2004-01-29,DOV,Director,SELL,1000.0,40.93,40930.0,"STUBBS, MICHAEL B",Common Stock
2004-01-29,DOV,Director,SELL,1000.0,40.95,40950.0,"STUBBS, MICHAEL B",Common Stock
2004-02-02,DOV,Director,SELL,2100.0,40.75,85575.0,"ROUBOS, GARY L",Common Stock
2004-02-02,DOV,Director,SELL,300.0,40.72,12216.0,"ROUBOS, GARY L",Common Stock
2004-02-02,DOV,Director,SELL,700.0,41.7,29190.000000000004,"STUBBS, MICHAEL B",Common Stock
2004-02-02,DOV,Director,SELL,897.0,40.94,36723.18,"ROUBOS, GARY L",Common Stock
2004-02-02,DOV,Director,SELL,11200.0,40.81,457072.0,"ROUBOS, GARY L",Common Stock
2004-02-02,DOV,Director,SELL,9375.0,41.7,390937.5,"STUBBS, MICHAEL B",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,200.0,40.84,8168.000000000001,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,18000.0,40.6,730800.0,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,8900.0,40.65,361785.0,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",BUY,121588.0,14.2187,1728823.2956,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,2000.0,40.61,81220.0,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,24400.0,40.65,991860.0,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,19800.0,40.7,805860.0,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,200.0,40.71,8142.0,"REECE, THOMAS L",Common Stock
2004-02-03,DOV,"Director, Chairman of the Board & CEO",SELL,1500.0,40.66,60989.99999999999,"REECE, THOMAS L",Common Stock
2004-02-04,DOV,Vice President,SELL,4181.0,40.05,167449.05,"SANDKER, TIMOTHY J",Common Stock
2004-02-04,DOV,"Director, Chairman of the Board & CEO",SELL,7000.0,39.8,278600.0,"REECE, THOMAS L",Common Stock
2004-02-04,DOV,Vice President,BUY,4240.0,14.875,63070.0,"SANDKER, TIMOTHY J",Common Stock
2004-02-04,DOV,Vice President,BUY,7344.0,14.2188,104422.8672,"SANDKER, TIMOTHY J",Common Stock
2004-02-04,DOV,"Director, Chairman of the Board & CEO",SELL,500.0,39.91,19955.0,"REECE, THOMAS L",Common Stock
2004-02-06,DOV,Vice President,SELL,2000.0,40.15,80300.0,"SANDKER, TIMOTHY J",Common Stock
2004-02-09,DOV,Vice President,BUY,23920.0,14.875,355810.0,"POMEROY, JOHN E",Common Stock
2004-02-09,DOV,Vice President,SELL,8809.0,40.39,355795.51,"POMEROY, JOHN E",Common Stock
2004-03-15,DOV,Vice President,BUY,167.754,38.2918,6423.6026172,"TYRE, ROBERT A",Common Stock
2004-03-15,DOV,Vice President,BUY,0.554,38.2918,21.213657200000004,"TYRE, ROBERT A",Common Stock
2004-03-29,DOV,"Director, President & COO",BUY,2494.0,24.7188,61648.68720000001,"HOFFMAN, RONALD L",Common Stock
2004-04-22,DOV,Director,SELL,101.0,41.41,4182.41,"STUBBS, MICHAEL B",Common Stock
