date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2003-02-10,D,Director,BUY,400.0,54.66,21864.0,"BROWN, PETER W DR",Common Stock
2003-06-10,D,Director,BUY,100.0,62.68,6268.0,"BROWN, PETER W DR",Common Stock
2004-05-14,D,"Director, Chairman of the Board of Direc",BUY,482165.0,41.25,19889306.25,"CAPPS, THOS E",Common Stock
2004-05-14,D,Senior Vice President - Law,BUY,30619.0,46.38,1420109.22,"SANDERLIN, JAMES L",Common Stock
2004-05-14,D,Senior Vice President - Law,SELL,30619.0,62.54,1914912.26,"SANDERLIN, JAMES L",Common Stock
2004-05-14,D,"Director, Chairman of the Board of Direc",SELL,482165.0,62.54,30154599.099999998,"CAPPS, THOS E",Common Stock
2004-05-17,D,Senior Vice President - Law,SELL,1481.0,62.26,92207.06,"SANDERLIN, JAMES L",Common Stock
2004-05-17,D,Senior Vice President - Law,BUY,1481.0,46.38,68688.78,"SANDERLIN, JAMES L",Common Stock
2004-05-17,D,"Director, Chairman of the Board of Direc",SELL,23329.0,62.26,1452463.54,"CAPPS, THOS E",Common Stock
2004-05-17,D,"Director, Chairman of the Board of Direc",BUY,23329.0,41.25,962321.25,"CAPPS, THOS E",Common Stock
2004-05-18,D,"Director, Chairman of the Board of Direc",SELL,283626.0,62.24,17652882.240000002,"CAPPS, THOS E",Common Stock
2004-05-18,D,Senior Vice President - Law,BUY,18012.0,46.38,835396.56,"SANDERLIN, JAMES L",Common Stock
2004-05-18,D,"Director, Chairman of the Board of Direc",BUY,283626.0,41.25,11699572.5,"CAPPS, THOS E",Common Stock
2004-05-18,D,Senior Vice President - Law,SELL,18012.0,62.24,1121066.8800000001,"SANDERLIN, JAMES L",Common Stock
2004-06-01,D,CEO of principal subsidiary,BUY,47413.0,41.25,1955786.25,"MCGETTRICK, MARK F",Common Stock
2004-06-01,D,CEO of principal subsidiary,SELL,47413.0,62.84,2979432.9200000004,"MCGETTRICK, MARK F",Common Stock
2004-06-02,D,Senior Vice President,SELL,18111.0,62.49,1131756.3900000001,"HARDY, EVA S",Common Stock
2004-06-02,D,Senior Vice President,BUY,10825.0,41.25,446531.25,"DOSWELL, MARY C",Common Stock
2004-06-02,D,Senior Vice President,SELL,10825.0,62.49,676454.25,"DOSWELL, MARY C",Common Stock
2004-06-02,D,President and COO,BUY,93678.0,41.25,3864217.5,"FARRELL, THOMAS F II",Common Stock
2004-06-02,D,President and COO,SELL,93678.0,62.49,5853938.22,"FARRELL, THOMAS F II",Common Stock
