date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2005-02-09,ECL,Sr. VP & Controller,SELL,1863.0,32.485,60519.555,"SCHMECHEL, DANIEL J",Common Stock
2005-12-13,ECL,SVP  - Human Resources,SELL,700.0,35.21,24647.0,"LEWIS, DIANA D",Common Stock
2005-12-13,ECL,SVP  - Human Resources,BUY,20000.0,7.594,151880.0,"LEWIS, DIANA D",Common Stock
2005-12-13,ECL,SVP  - Human Resources,SELL,19300.0,35.2,679360.0,"LEWIS, DIANA D",Common Stock
2005-12-14,ECL,"Director, CEO & President",BUY,31850.0,19.266,613622.1,"BAKER, DOUGLAS M JR",Common Stock
2005-12-14,ECL,"Director, CEO & President",SELL,23499.0,35.515,834566.985,"BAKER, DOUGLAS M JR",Common Stock
2005-12-14,ECL,"Director, CEO & President",SELL,4666.0,35.515,165712.99,"BAKER, DOUGLAS M JR",Common Stock
2005-12-14,ECL,"Director, CEO & President",SELL,6639.0,35.515,235784.085,"BAKER, DOUGLAS M JR",Common Stock
2005-12-14,ECL,"Director, CEO & President",BUY,11000.0,10.945,120395.0,"BAKER, DOUGLAS M JR",Common Stock
2005-12-14,ECL,"Director, CEO & President",BUY,7000.0,14.859,104013.0,"BAKER, DOUGLAS M JR",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,200.0,35.56,7112.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,100.0,35.63,3563.0000000000005,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,200.0,35.54,7108.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,3100.0,35.53,110143.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,2200.0,35.52,78144.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,2500.0,35.51,88775.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,6400.0,35.5,227200.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",BUY,12000.0,18.96,227520.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,300.0,35.55,10665.0,"IANNUZZI, LUCIANO",Common Stock
2005-12-15,ECL,"EVP-Europe, Africa & M.E.",SELL,600.0,35.62,21372.0,"IANNUZZI, LUCIANO",Common Stock
