date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2003-05-01,EQIX,10% Owner,BUY,1400000.0,1400000.0,1960000000000.0,"TEMASEK, HOLDINGS LTD",14% Series A-1 PIK Convertible Secured Notes Due 2007
2003-05-01,EQIX,10% Owner,BUY,1400000.0,1400000.0,1960000000000.0,"STT, COMMUNICATIONS LTD",14% Series A-1 PIK Convertible Secured Notes Due 2007
2003-11-01,EQIX,10% Owner,BUY,2198000.0,2198000.0,4831204000000.0,"STT, COMMUNICATIONS LTD",14% Series A-1 PIK Convertible Secured Notes Due 2007
2003-11-01,EQIX,10% Owner,BUY,2198000.0,2198000.0,4831204000000.0,"TEMASEK, HOLDINGS LTD",14% Series A-1 PIK Convertible Secured Notes Due 2007
2004-01-22,EQIX,"Director, Chief Executive Officer",SELL,19800.0,33.5999,665278.02,"VAN, CAMP PETER",Common Stock
2004-01-22,EQIX,General Counsel,SELL,4500.0,33.5999,151199.55,"GALVIN, BRANDI",Common Stock
2004-01-22,EQIX,General Counsel,BUY,4500.0,3.25,14625.0,"GALVIN, BRANDI",Common Stock
2004-01-22,EQIX,"Director, Chief Executive Officer",BUY,19800.0,3.25,64350.0,"VAN, CAMP PETER",Common Stock
2004-01-22,EQIX,Chief Financial Officer,BUY,12000.0,3.25,39000.0,"LANAM, RENEE",Common Stock
2004-01-22,EQIX,Chief Business Officer,SELL,5500.0,3.25,17875.0,"BACKAUS, MARJORIE",Common Stock
2004-01-22,EQIX,Chief Financial Officer,SELL,12000.0,33.5999,403198.8,"LANAM, RENEE",Common Stock
2004-01-22,EQIX,"CAO, VP - Finance",SELL,9000.0,33.5999,302399.1,"TAYLOR, KEITH D",Common Stock
2004-01-22,EQIX,Chief Business Officer,SELL,5500.0,33.5999,184799.44999999998,"BACKAUS, MARJORIE",Common Stock
2004-01-22,EQIX,"CAO, VP - Finance",BUY,9000.0,3.25,29250.0,"TAYLOR, KEITH D",Common Stock
2004-02-02,EQIX,VP - Worldwide Sales,SELL,2500.0,32.5,81250.0,"FERRIS, PETER",CommonStock
2004-02-02,EQIX,VP - Worldwide Sales,BUY,2500.0,3.25,8125.0,"FERRIS, PETER",Common Stock
2004-02-02,EQIX,Chief Business Officer,SELL,2000.0,32.5,65000.0,"BACKAUS, MARJORIE",Common Stock
