date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2003-08-28,GILD,"SVP, Research",SELL,20000.0,63.68,1273600.0,"BISCHOFBERGER, NORBERT W",Common Stock
2003-08-28,GILD,"SVP, Research",SELL,20000.0,63.68,1273600.0,"BISCHOFBERGER, NORBERT W",Common Stock
2003-08-28,GILD,"SVP, Research",SELL,15000.0,63.55,953250.0,"BISCHOFBERGER, NORBERT W",Common Stock
2003-08-28,GILD,"SVP, Research",SELL,15000.0,63.55,953250.0,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-03,GILD,EVP Operations,BUY,40000.0,14.8125,592500.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,BUY,9716.0,14.5938,141793.3608,"PERRY, MARK L",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",SELL,700.0,56.95,39865.0,"MILLIGAN, JOHN F",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",SELL,500.0,56.9,28450.0,"MILLIGAN, JOHN F",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",SELL,5800.0,56.89,329962.0,"MILLIGAN, JOHN F",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",BUY,7000.0,14.8125,103687.5,"MILLIGAN, JOHN F",Common Stock
2004-02-03,GILD,EVP Operations,SELL,15000.0,56.57,848550.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,12500.0,56.55,706875.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,BUY,2284.0,14.5938,33332.239199999996,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,4716.0,56.79,267821.64,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,BUY,40000.0,14.8125,592500.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,7500.0,56.5,423750.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,BUY,2284.0,14.5938,33332.239199999996,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,4716.0,56.79,267821.64,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,BUY,9716.0,14.5938,141793.3608,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,7500.0,56.5,423750.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,15000.0,56.57,848550.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",SELL,700.0,56.95,39865.0,"MILLIGAN, JOHN F",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",SELL,500.0,56.9,28450.0,"MILLIGAN, JOHN F",Common Stock
2004-02-03,GILD,EVP Operations,SELL,5000.0,56.75,283750.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,5000.0,56.75,283750.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,EVP Operations,SELL,5000.0,56.6,283000.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",BUY,7000.0,14.8125,103687.5,"MILLIGAN, JOHN F",Common Stock
2004-02-03,GILD,EVP Operations,SELL,5000.0,56.6,283000.0,"PERRY, MARK L",Common Stock
2004-02-03,GILD,"EVP, Chief Financial Officer",SELL,5800.0,56.89,329962.0,"MILLIGAN, JOHN F",Common Stock
2004-02-05,GILD,"Director, President and CEO",SELL,10000.0,56.49,564900.0,"MARTIN, JOHN C",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,5000.0,6.5313,32656.5,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"Director, President and CEO",SELL,10000.0,56.6,566000.0,"MARTIN, JOHN C",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,6684.0,5.6313,37639.609200000006,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,15000.0,9.5,142500.0,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"Director, President and CEO",SELL,10000.0,56.49,564900.0,"MARTIN, JOHN C",Common Stock
2004-02-05,GILD,"SVP, Research",SELL,54200.0,56.0,3035200.0,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"SVP, Research",SELL,54200.0,56.0,3035200.0,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,32516.0,5.7188,185952.5008,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,5000.0,6.5313,32656.5,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"Director, President and CEO",SELL,10000.0,56.6,566000.0,"MARTIN, JOHN C",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,15000.0,9.5,142500.0,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,32516.0,5.7188,185952.5008,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-05,GILD,"SVP, Research",BUY,6684.0,5.6313,37639.609200000006,"BISCHOFBERGER, NORBERT W",Common Stock
2004-02-06,GILD,"Director, President and CEO",SELL,10000.0,56.4,564000.0,"MARTIN, JOHN C",Common Stock
