date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2014-02-06,GSK,Former 10% Shareholder,BUY,1500000.0,2.0,3000000.0,"GLAXOSMITHKLINE, PLC",Common Stock
2014-02-11,GSK,10% Owner,BUY,342229.0,12850698.95,4397881850959.55,"GLAXOSMITHKLINE, PLC",Common Stock
2014-02-19,GSK,Former 10% Owner,BUY,35000.0,14.0,490000.0,"GLAXOSMITHKLINE, PLC",Common Stock
2014-04-01,GSK,10% Owner,BUY,103762.0,12.0,1245144.0,"GLAXOSMITHKLINE, PLC",Common Stock
2014-05-09,GSK,10% Owner,BUY,317770.0,8544835.3,2715292313281.0,"GLAXOSMITHKLINE, PLC",Common Stock
2014-08-11,GSK,10% Owner,BUY,172651.0,3912271.66,675457614370.66,"GLAXOSMITHKLINE, PLC",Common Stock
2014-10-27,GSK,Former 10% Owner (1),SELL,11315825.0,5.291,59872030.075,"GLAXOSMITHKLINE, PLC",Common Stock
2014-11-04,GSK,10% Owner,BUY,832456.0,12786524.16,10644218756136.96,"GLAXOSMITHKLINE, PLC",Common Stock
2014-12-10,GSK,10% Owner,SELL,10000.0,21.176,211759.99999999997,"GLAXOSMITHKLINE, PLC",Common Stock
2014-12-11,GSK,10% Owner,SELL,12500.0,21.2828,266035.0,"GLAXOSMITHKLINE, PLC",Common Stock
2014-12-12,GSK,10% Owner,SELL,7500.0,21.2392,159294.0,"GLAXOSMITHKLINE, PLC",Common Stock
2014-12-17,GSK,10% Owner,SELL,8000.0,21.0,168000.0,"GLAXOSMITHKLINE, PLC",Common Stock
2014-12-18,GSK,10% Owner,SELL,12000.0,21.0113,252135.59999999998,"GLAXOSMITHKLINE, PLC",Common Stock
2015-02-23,GSK,Former 10% Owner,SELL,503150.0,22.0006,11069601.889999999,"GLAXOSMITHKLINE, PLC",Common Stock
2015-03-02,GSK,10% Owner,BUY,92674.0,1673692.44,155107773184.56,"GLAXOSMITHKLINE, PLC",Common Stock
2015-05-11,GSK,10% Owner,BUY,85579.0,1369264.0,117180243856.0,"GLAXOSMITHKLINE, PLC",Common Stock
2015-05-11,GSK,10% Owner,BUY,365106.0,14.0,5111484.0,"GLAXOSMITHKLINE, PLC",Common Stock
2015-08-07,GSK,10% Owner,BUY,245828.0,3485841.04,856917331181.12,"GLAXOSMITHKLINE, PLC",Common Stock
2015-10-07,GSK,10% Owner,BUY,44574.0,607543.62,27080649317.88,"GLAXOSMITHKLINE, PLC",Ordinary Shares
2016-03-14,GSK,10% Owner,BUY,1301015.0,23027965.5,29959728534982.5,"GLAXOSMITHKLINE, PLC",Ordinary Shares
2016-10-24,GSK,10% Owner,BUY,66500.0,14.0,931000.0,"GLAXOSMITHKLINE, PLC",Common Shares
2017-03-27,GSK,Former 10% Owner,SELL,300000.0,10.1506,3045180.0,"GLAXOSMITHKLINE, PLC",Common Stock
2017-11-06,GSK,10% Owner,BUY,428571.0,14.0,5999994.0,"GLAXOSMITHKLINE, PLC",Common Stock
2018-07-02,GSK,10% Owner,BUY,269230.0,13.0,3499990.0,"GLAXOSMITHKLINE, PLC",Common Stock
2018-07-17,GSK,10% Owner,BUY,80000.0,12.5,1000000.0,"GLAXOSMITHKLINE, PLC",Common Stock
2018-07-30,GSK,Former 10% holder,BUY,148818.0,11.0,1636998.0,"GLAXOSMITHKLINE, PLC",Common Stock
2018-09-18,GSK,10% Owner,BUY,270000.0,17.0,4590000.0,"GLAXOSMITHKLINE, PLC",Common Stock
2018-10-16,GSK,Former 10% holder,SELL,7343492.0,11.69,85845421.47999999,"GLAXOSMITHKLINE, PLC",Common Stock
2019-04-22,GSK,"Director, 10% Owner",BUY,325000.0,18.0,5850000.0,"GLAXOSMITHKLINE, PLC",Common Stock
2019-05-28,GSK,"Director, 10% Owner",BUY,385714.0,14.0,5399996.0,"GLAXOSMITHKLINE, PLC",Ordinary Shares
2019-06-24,GSK,10% Owner,BUY,1857142.0,3.5,6499997.0,"GLAXOSMITHKLINE, PLC",Common Stock
2019-07-01,GSK,Director,BUY,333333.0,15.0,4999995.0,"GLAXOSMITHKLINE, PLC",Common Stock
2019-09-10,GSK,Director,BUY,177777.0,45.0,7999965.0,"GLAXOSMITHKLINE, PLC",Common Stock
2019-10-18,GSK,Former 10% Owner,BUY,357142.0,28.0,9999976.0,"GLAXOSMITHKLINE, PLC",Common Stock
2020-05-20,GSK,10% Owner,SELL,4000000.0,25.75,103000000.0,"GLAXOSMITHKLINE, PLC",Common Stock
2020-05-21,GSK,Director,BUY,83333.0,60.0,4999980.0,"GLAXOSMITHKLINE, PLC",Common Stock
