date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2004-02-27,HEI,"Director, CEO, COB and President, 10% Owner",SELL,100000.0,12.83,1283000.0,"MENDELSON, LAURANS A",Class A Common Stock
2004-03-10,HEI,"Director, CEO, COB and President, 10% Owner",SELL,5462.0,13.22,72207.64,"MENDELSON, LAURANS A",Class A Common Stock
2004-03-10,HEI,"Director, Executive Vice President",BUY,41180.0,1.46,60122.799999999996,"MENDELSON, VICTOR H",Common Stock
2004-03-10,HEI,"Director, Executive Vice President",BUY,41180.0,1.46,60122.799999999996,"MENDELSON, ERIC A",Common Stock
2004-03-10,HEI,"Director, CEO, COB and President, 10% Owner",BUY,50000.0,1.44,72000.0,"MENDELSON, LAURANS A",Common Stock
2004-03-11,HEI,"Executive Vice President, CFO",BUY,32943.0,1.46,48096.78,"IRWIN, THOMAS S",Common Stock
2004-06-17,HEI,"Director, Executive Vice President",SELL,975.0,13.55,13211.25,"MENDELSON, ERIC A",Class A Common Stock
2004-06-17,HEI,"Director, Executive Vice President",SELL,3464.0,13.4,46417.6,"MENDELSON, ERIC A",Class A Common Stock
2004-06-17,HEI,"Director, Executive Vice President",BUY,9036.0,1.46,13192.56,"MENDELSON, ERIC A",Class A Common Stock
2004-06-17,HEI,"Director, Executive Vice President",SELL,9036.0,13.4,121082.40000000001,"MENDELSON, ERIC A",Class A Common Stock
2004-06-18,HEI,"Director, Executive Vice President",SELL,3000.0,13.53,40590.0,"MENDELSON, ERIC A",Class A Common Stock
2004-06-21,HEI,"Director, Executive Vice President",SELL,1772.0,13.5,23922.0,"MENDELSON, ERIC A",Class A Common Stock
2004-06-24,HEI,"Director, Executive Vice President",SELL,500.0,13.55,6775.0,"MENDELSON, VICTOR H",Class A Common Stock
2004-06-25,HEI,"Director, Executive Vice President",SELL,1500.0,13.54,20310.0,"MENDELSON, VICTOR H",Class A Common Stock
2004-06-28,HEI,"Director, Executive Vice President",SELL,6236.0,13.5,84186.0,"MENDELSON, VICTOR H",Class A Common Stock
2004-06-28,HEI,"Director, Executive Vice President",SELL,1618.0,13.5,21843.0,"MENDELSON, VICTOR H",Class A Common Stock
2004-06-29,HEI,"Director, Executive Vice President",BUY,9036.0,1.46,13192.56,"MENDELSON, VICTOR H",Class A Common Stock
2004-06-29,HEI,"Director, Executive Vice President",SELL,978.0,13.5,13203.0,"MENDELSON, VICTOR H",Class A Common Stock
2004-06-29,HEI,"Director, Executive Vice President",SELL,2800.0,13.5,37800.0,"MENDELSON, VICTOR H",Class A Common Stock
2004-09-29,HEI,Director,BUY,1500.0,13.07,19605.0,"MORRISON, ALBERT JR",Class A Common Stock
2004-09-29,HEI,Director,BUY,1500.0,13.07,19605.0,"HIGGINBOTTOM, SAMUEL L",Class A Common Stock
2004-09-29,HEI,Director,BUY,1500.0,13.07,19605.0,"MAYRHUBER, WOLFGANG",Class A Common Stock
2004-09-29,HEI,Director,BUY,1500.0,13.07,19605.0,"SCHRIESHEIM, ALAN",Class A Common Stock
2004-12-13,HEI,"Director, CEO, COB and President, 10% Owner",BUY,98482.0,1.44,141814.08,"MENDELSON, LAURANS A",Class A Common Stock
2004-12-13,HEI,"Director, CEO, COB and President, 10% Owner",BUY,48828.0,1.44,70312.31999999999,"MENDELSON, LAURANS A",Common Stock
2004-12-13,HEI,"Director, CEO, COB and President, 10% Owner",SELL,13346.0,15.94,212735.24,"MENDELSON, LAURANS A",Class A Common Stock
2005-03-04,HEI,"Director, CEO, COB and President, 10% Owner",SELL,8500.0,17.35,147475.0,"MENDELSON, LAURANS A",Class A Common Stock
2005-03-08,HEI,"Director, CEO, COB and President, 10% Owner",SELL,15000.0,17.22,258299.99999999997,"MENDELSON, LAURANS A",Class A Common Stock
2005-03-15,HEI,"Director, CEO, COB and President, 10% Owner",SELL,5000.0,17.0,85000.0,"MENDELSON, LAURANS A",Class A Common Stock
2005-03-16,HEI,"Director, CEO, COB and President, 10% Owner",SELL,5000.0,17.0,85000.0,"MENDELSON, LAURANS A",Class A Common Stock
2005-06-08,HEI,Director,SELL,5000.0,17.12,85600.0,"HIGGINBOTTOM, SAMUEL L",Class A Common Stock
2005-06-29,HEI,"Director, CEO, COB and President, 10% Owner",SELL,140000.0,17.68,2475200.0,"MENDELSON, LAURANS A",Class A Common Stock
2005-12-09,HEI,"Director, Executive Vice President",SELL,3049.0,18.58,56650.42,"MENDELSON, VICTOR H",Class A Common Stock
2005-12-09,HEI,"Director, Executive Vice President",BUY,18558.0,3.0525,56648.295000000006,"MENDELSON, VICTOR H",Class A Common Stock
