date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2004-04-26,INTC,Director,BUY,80000.0,3.68,294400.0,"CHEN, WINSTON H",COMMON
2004-06-30,INTC,Director,BUY,737.0,27.6,20341.2,"SHAW, JANE E",Phantom Share Units
2004-06-30,INTC,Director,BUY,643.0,27.6,17746.8,"HUNDT, REED E",Phantom Share Units
2004-07-19,INTC,Director,BUY,1000.0,22.88,22880.0,"HUNDT, REED E",COMMON
2004-09-30,INTC,Director,BUY,1015.0,20.06,20360.899999999998,"SHAW, JANE E",Phantom Share Units
2004-09-30,INTC,Director,BUY,885.0,20.06,17753.1,"HUNDT, REED E",Phantom Share Units
2004-10-15,INTC,"Director, CHAIRMAN OF THE BOARD",SELL,384000.0,20.58,7902719.999999999,"GROVE, ANDREW S",COMMON
2004-10-15,INTC,"Director, CHAIRMAN OF THE BOARD",BUY,768000.0,5.71,4385280.0,"GROVE, ANDREW S",COMMON
2004-10-18,INTC,Director,BUY,500.0,20.56,10280.0,"HUNDT, REED E",COMMON
2004-10-19,INTC,"EXECUTIVE VICE PRESIDENT, CFO",BUY,400000.0,7.56,3024000.0,"BRYANT, ANDY D",COMMON
2004-10-19,INTC,"EXECUTIVE VICE PRESIDENT, CFO",SELL,360000.0,20.03,7210800.0,"BRYANT, ANDY D",COMMON
2004-10-20,INTC,VICE PRESIDENT AND TREASURER,SELL,144000.0,21.3,3067200.0,"SODHANI, ARVIND",COMMON
2004-10-20,INTC,VICE PRESIDENT AND TREASURER,BUY,144000.0,7.67,1104480.0,"SODHANI, ARVIND",COMMON
2004-10-20,INTC,VICE PRESIDENT AND TREASURER,BUY,192000.0,5.71,1096320.0,"SODHANI, ARVIND",COMMON
2004-10-20,INTC,VICE PRESIDENT AND TREASURER,SELL,192000.0,21.02,4035840.0,"SODHANI, ARVIND",COMMON
2004-10-25,INTC,VICE PRESIDENT AND TREASURER,SELL,100000.0,21.4,2140000.0,"SODHANI, ARVIND",COMMON
2004-10-25,INTC,VICE PRESIDENT AND TREASURER,BUY,100000.0,11.93,1193000.0,"SODHANI, ARVIND",COMMON
2004-10-27,INTC,VICE PRESIDENT AND TREASURER,SELL,50000.0,21.85,1092500.0,"SODHANI, ARVIND",COMMON
2004-10-27,INTC,VICE PRESIDENT AND TREASURER,SELL,50000.0,21.9,1095000.0,"SODHANI, ARVIND",COMMON
2004-12-31,INTC,Director,BUY,874.0,23.39,20442.86,"SHAW, JANE E",Phantom Share Units
2004-12-31,INTC,Director,BUY,761.0,23.39,17799.79,"HUNDT, REED E",Phantom Share Units
2005-01-13,INTC,"Director, PRESIDENT AND COO",BUY,125000.0,5.71,713750.0,"OTELLINI, PAUL S",COMMON
2005-01-13,INTC,"Director, PRESIDENT AND COO",SELL,125000.0,23.03,2878750.0,"OTELLINI, PAUL S",COMMON
2005-01-14,INTC,"Director, PRESIDENT AND COO",SELL,131000.0,23.0,3013000.0,"OTELLINI, PAUL S",COMMON
2005-01-14,INTC,"Director, PRESIDENT AND COO",BUY,131000.0,5.71,748010.0,"OTELLINI, PAUL S",COMMON
2005-01-19,INTC,"Director, CHIEF EXECUTIVE OFFICER",BUY,512000.0,5.71,2923520.0,"BARRETT, CRAIG R",COMMON
2005-01-19,INTC,"Director, CHIEF EXECUTIVE OFFICER",SELL,512000.0,22.83,11688960.0,"BARRETT, CRAIG R",COMMON
2005-01-25,INTC,Director,BUY,80000.0,6.42,513600.0,"YOFFIE, DAVID B",COMMON
2005-01-25,INTC,Director,BUY,1700.0,22.5,38250.0,"BARSHEFSKY, CHARLENE",COMMON
2005-01-25,INTC,Director,SELL,40000.0,22.4,896000.0,"YOFFIE, DAVID B",COMMON
2005-01-25,INTC,SENIOR VICE PRESIDENT,SELL,80000.0,22.45,1796000.0,"CHOU, SUNLIN",COMMON
2005-01-25,INTC,"SR VICE PRESIDENT, TREASURER",SELL,50000.0,22.35,1117500.0,"SODHANI, ARVIND",COMMON
2005-01-25,INTC,"SR VICE PRESIDENT, TREASURER",SELL,50000.0,22.45,1122500.0,"SODHANI, ARVIND",COMMON
2005-01-25,INTC,SENIOR VICE PRESIDENT,BUY,80000.0,5.71,456800.0,"CHOU, SUNLIN",COMMON
2005-01-25,INTC,"SR VICE PRESIDENT, TREASURER",SELL,50000.0,22.25,1112500.0,"SODHANI, ARVIND",COMMON
