date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2003-07-31,JNJ,"Director, Vice Chairman",BUY,78.0,50.88,3968.6400000000003,"LENEHAN, JAMES T",Phantom Stock Units
2003-08-06,JNJ,Executive Committee Member,SELL,16000.0,9.27,148320.0,"PETERSON, PER A",Employee Stock Option (Right to Buy)
2003-08-06,JNJ,Executive Committee Member,SELL,2979.0,49.78,148294.62,"PETERSON, PER A",Common
2003-08-06,JNJ,Executive Committee Member,BUY,16000.0,9.27,148320.0,"PETERSON, PER A",Common
2003-08-19,JNJ,Retired Director/Vice Chairman,BUY,36000.0,11.07,398520.0,"WILSON, ROBERT N",Common
2003-08-19,JNJ,Retired Director/Vice Chairman,SELL,36000.0,50.0,1800000.0,"WILSON, ROBERT N",Common
2003-08-19,JNJ,Retired Director/Vice Chairman,,36000.0,11.07,398520.0,"WILSON, ROBERT N",Employee Stock Option (Right to Buy)
2003-09-09,JNJ,Director,BUY,438.0,51.2,22425.600000000002,"FOLKMAN, M JUDAH",Phantom Stock Units
2003-09-09,JNJ,Director,BUY,481.0,51.2,24627.2,"CULLEN, JAMES",Phantom Stock Units
2003-09-09,JNJ,Director,BUY,128.0,51.2,6553.6,"BURROW, GERARD N",Phantom Stock Units
2003-09-09,JNJ,Director,BUY,235.0,51.2,12032.0,"SATCHER, DAVID",Phantom Stock Units
2003-09-09,JNJ,Director,BUY,430.0,51.2,22016.0,"SCHACHT, HENRY B",Phantom Stock Units
2003-09-09,JNJ,Director,BUY,538.0,51.2,27545.600000000002,"LANGBO, ARNOLD G",Phantom Stock Units
2003-09-09,JNJ,Director,BUY,163.0,51.2,8345.6,"JORDAN, ANN DIBBLE",Phantom Stock Units
2003-09-30,JNJ,"Director, Vice Chairman",BUY,67.0,49.55,3319.85,"LENEHAN, JAMES T","P
hantom Stock Units"
2003-09-30,JNJ,"Director, Member, Executive Committee",BUY,58.0,49.55,2873.8999999999996,"DARRETTA, ROBERT J",Phantom Stock Units
2003-09-30,JNJ,Vice President General Counsel,BUY,57.0,49.55,2824.35,"FINE, ROGER S",Phantom Stock Units
2003-09-30,JNJ,"Director, Chairman/CEO",BUY,16.0,49.55,792.8,"WELDON, WILLIAM C","<va
lue>Phantom Stock Units"
2003-09-30,JNJ,"Member, Executive Committee",BUY,8.0,49.55,396.4,"HEISEN, JOANN HEFFERNAN",Phantom Stock Units
2003-10-22,JNJ,Executive Committee Member,BUY,20000.0,21.57,431400.0,"PETERSON, PER A",Common
2003-10-22,JNJ,Executive Committee Member,SELL,20000.0,21.57,431400.0,"PETERSON, PER A",Employee Stock Option (Right to Buy)
2003-10-22,JNJ,Executive Committee Member,SELL,20000.0,50.27,1005400.0000000001,"PETERSON, PER A",Common
2003-10-27,JNJ,Director,SELL,900.0,50.32,45288.0,"JORDAN, ANN DIBBLE",Common
2003-11-07,JNJ,"Director, Vice Chairman",BUY,8000.0,11.07,88560.0,"LENEHAN, JAMES T",Common
2003-11-07,JNJ,"Director, Vice Chairman",SELL,8000.0,11.07,88560.0,"LENEHAN, JAMES T",Employee Stock Option (Right to Buy)
2003-11-11,JNJ,"Director, Chairman/CEO",BUY,6800.0,13.41,91188.0,"WELDON, WILLIAM C",Common
2003-11-14,JNJ,"Member, Executive Committee",SELL,8000.0,11.07,88560.0,"HEISEN, JOANN HEFFERNAN",Employee Stock Option (Right to Buy)
2003-11-14,JNJ,"Member, Executive Committee",SELL,8000.0,52.25,418000.0,"HEISEN, JOANN HEFFERNAN",Common
2003-11-14,JNJ,"Member, Executive Committee",BUY,8000.0,11.07,88560.0,"HEISEN, JOANN HEFFERNAN",Common
2003-11-17,JNJ,"Member, Executive Committee",SELL,5403.0,52.12,281604.36,"HEISEN, JOANN HEFFERNAN",Common
2003-11-17,JNJ,"Member, Executive Committee",BUY,21000.0,13.41,281610.0,"HEISEN, JOANN HEFFERNAN","Com
mon"
2003-11-17,JNJ,Executive Committee Member,BUY,20000.0,21.57,431400.0,"PETERSON, PER A",Common
2003-11-17,JNJ,Executive Committee Member,SELL,20000.0,52.05,1041000.0,"PETERSON, PER A",Common
2003-11-17,JNJ,Executive Committee Member,SELL,20000.0,21.57,431400.0,"PETERSON, PER A",Employee Stock Option (Right to Buy)
2003-11-17,JNJ,"Member, Executive Committee",SELL,21000.0,13.41,281610.0,"HEISEN, JOANN HEFFERNAN","Employee Stock Option (Right to Buy)<
/value><footnoteId id=""F7""/></securityTitle><conversionOrExercisePrice>13.41"
2003-11-19,JNJ,Executive Committee Member,SELL,1000.0,52.17,52170.0,"PERKINS, BRIAN D",Common
2003-11-19,JNJ,Executive Committee Member,SELL,5500.0,32.38,178090.0,"PERKINS, BRIAN D","Employee Stock Option (Right t
o Buy)"
2003-11-19,JNJ,Executive Committee Member,SELL,3600.0,26.0,93600.0,"PERKINS, BRIAN D",Employee Stock Option (Right to Buy)
2003-11-19,JNJ,Executive Committee Member,SELL,20000.0,21.57,431400.0,"PERKINS, BRIAN D",Employee Stock Option (Right to Buy)
2003-11-19,JNJ,Executive Committee Member,BUY,5500.0,32.38,178090.0,"PERKINS, BRIAN D",
2003-11-19,JNJ,Executive Committee Member,SELL,1700.0,52.2,88740.0,"PERKINS, BRIAN D",Common
2003-11-19,JNJ,Executive Committee Member,BUY,3600.0,26.0,93600.0,"PERKINS, BRIAN D",Common
2003-11-19,JNJ,Executive Committee Member,BUY,20000.0,21.57,431400.0,"PERKINS, BRIAN D",Common
2003-11-19,JNJ,Executive Committee Member,,26400.0,52.05,1374120.0,"PERKINS, BRIAN D",Common
2003-11-25,JNJ,"Director, Member, Executive Committee",SELL,1462.0,51.48,75263.76,"DARRETTA, ROBERT J",Common
2003-11-25,JNJ,"Director, Member, Executive Committee",BUY,6800.0,11.07,75276.0,"DARRETTA, ROBERT J",Common
2003-11-25,JNJ,"Director, Member, Executive Committee",SELL,6800.0,11.07,75276.0,"DARRETTA, ROBERT J",Employee Stock Option (Right to Buy)
