date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2019-02-25,LIN,Chief Financial Officer,SELL,2806.0,173.5,486841.0,"WHITE, MATTHEW J",Ordinary Shares
2019-02-25,LIN,Chief Financial Officer,SELL,2869.0,173.5,497771.5,"WHITE, MATTHEW J",Ordinary Shares
2019-02-25,LIN,Chief Financial Officer,BUY,13640.0,76.16,1038822.3999999999,"WHITE, MATTHEW J",Ordinary Shares
2019-02-25,LIN,Chief Financial Officer,SELL,9511.0,175.0,1664425.0,"WHITE, MATTHEW J",Ordinary Shares
2019-02-25,LIN,Chief Financial Officer,SELL,2421.0,174.97,423602.37,"WHITE, MATTHEW J",Ordinary Shares
2019-02-25,LIN,Chief Financial Officer,SELL,1001.0,174.98,175154.97999999998,"WHITE, MATTHEW J",Ordinary Shares
2019-02-25,LIN,Head of Americas Gases Group,SELL,2996.0,173.5,519806.0,"MENEZES, EDUARDO F",Ordinary Shares
2019-02-25,LIN,Chief Financial Officer,SELL,300.0,175.01,52503.0,"WHITE, MATTHEW J",Ordinary Shares
2019-02-25,LIN,Head of Global Functions Group,SELL,1627.0,173.5,282284.5,"ROBY, ANNE K",Ordinary Shares
2019-02-25,LIN,Head of Global Functions Group,SELL,1663.0,173.5,288530.5,"ROBY, ANNE K",Ordinary Shares
2019-02-25,LIN,Head of Americas Gases Group,SELL,2934.0,173.5,509049.0,"MENEZES, EDUARDO F",Ordinary Shares
2019-02-25,LIN,Chief Financial Officer,SELL,407.0,174.99,71220.93000000001,"WHITE, MATTHEW J",Ordinary Shares
2019-03-20,LIN,Head of Global Functions Group,BUY,13195.0,97.84,1290998.8,"ROBY, ANNE K",Ordinary Shares
2019-03-20,LIN,Head of Global Functions Group,SELL,10036.0,176.77,1774063.7200000002,"ROBY, ANNE K",Ordinary Shares
2019-03-20,LIN,Head of Global Functions Group,SELL,3159.0,176.77,558416.43,"ROBY, ANNE K",Ordinary Shares
2019-03-22,LIN,Director,BUY,6600.0,172.16,1136256.0,"ENDERS, THOMAS",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,14407.0,185.01,2665439.07,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,200.0,185.02,37004.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,BUY,14845.0,97.84,1452434.8,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,11095.0,185.01,2052685.95,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,1000.0,184.99,184990.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,150.0,185.02,27753.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,2050.0,185.02,379291.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,1.0,185.01,185.01,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,500.0,185.07,92535.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,BUY,18430.0,109.68,2021402.4000000001,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,3117.0,185.0,576645.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,100.0,185.02,18502.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,5.0,185.02,925.1,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,85.0,185.02,15726.7,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,415.0,185.02,76783.3,"WHITE, MATTHEW J",Ordinary Shares
2019-04-05,LIN,Chief Financial Officer,SELL,50.0,185.04,9252.0,"WHITE, MATTHEW J",Ordinary Shares
2019-04-08,LIN,"Director, Chief Executive Officer",SELL,163181.0,184.62,30126476.220000003,"ANGEL, STEPHEN F",Ordinary Shares
2019-04-08,LIN,"Director, Chief Executive Officer",SELL,54994.0,184.46,10144193.24,"ANGEL, STEPHEN F",Ordinary Shares
2019-04-08,LIN,"Director, Chief Executive Officer",BUY,218175.0,97.84,21346242.0,"ANGEL, STEPHEN F",Ordinary Shares
2019-05-15,LIN,Executive VP APAC Gases,BUY,1900.0,179.21,340499.0,"LAMBA, SANJIV",Ordinary Shares
2019-05-15,LIN,Executive VP Americas Gases,BUY,1496.0,179.21,268098.16000000003,"EULITZ, BERND HUGO",Ordinary Shares
2019-05-15,LIN,Executive VP Engineering,BUY,1474.0,179.21,264155.54000000004,"BRUCH, CHRISTIAN",Ordinary Shares
2019-05-17,LIN,Executive VP EMEA Gases,SELL,19056.0,188.23,3586910.88,"MENEZES, EDUARDO F",Orindary Shares
2019-06-04,LIN,Executive VP Americas Gases,SELL,55.0,180.55,9930.25,"EULITZ, BERND HUGO",Ordinary Shares
2019-06-04,LIN,Executive VP Engineering,SELL,55.0,180.55,9930.25,"BRUCH, CHRISTIAN",Ordinary Shares
2019-06-06,LIN,"Director, Chief Executive Officer",SELL,56574.0,197.27,11160352.98,"ANGEL, STEPHEN F",Ordinary Shares
2019-06-06,LIN,"Director, Chief Executive Officer",BUY,236510.0,109.68,25940416.8,"ANGEL, STEPHEN F",Ordinary Shares
2019-06-06,LIN,"Director, Chief Executive Officer",SELL,179936.0,198.0,35627328.0,"ANGEL, STEPHEN F",Ordinary Shares
2019-08-15,LIN,Executive VP Americas Gases,SELL,646.0,1.92,1240.32,"EULITZ, BERND HUGO",Stock Option (right to buy)
2019-08-15,LIN,Executive VP Americas Gases,SELL,335.0,186.43,62454.05,"EULITZ, BERND HUGO",Ordinary Shares
2019-08-15,LIN,Executive VP Americas Gases,BUY,646.0,1.92,1240.32,"EULITZ, BERND HUGO",Ordinary Shares
2019-11-18,LIN,Executive Vice President,SELL,1583.0,209.7059,331964.43970000005,"ROBY, ANNE K",Ordinary Shares
2019-11-19,LIN,Executive Vice President,SELL,2355.0,209.511,493398.40499999997,"ROBY, ANNE K",Ordinary Shares
2019-11-19,LIN,Executive Vice President,SELL,6860.0,209.49,1437101.4000000001,"ROBY, ANNE K",Ordinary Shares
2019-11-19,LIN,Executive Vice President,BUY,9215.0,109.68,1010701.2000000001,"ROBY, ANNE K",Ordinary Shares
2019-12-20,LIN,Executive Vice President,SELL,2402.0,212.17,509632.33999999997,"ROBY, ANNE K",Ordinary Shares
2019-12-20,LIN,Executive Vice President,SELL,6813.0,213.35,1453553.55,"ROBY, ANNE K",Ordinary Shares
2019-12-20,LIN,Executive Vice President,BUY,9215.0,109.68,1010701.2000000001,"ROBY, ANNE K",Ordinary Shares
2020-02-18,LIN,Chief Financial Officer,SELL,4067.0,223.74,909950.5800000001,"WHITE, MATTHEW J",Ordinary Shares
2020-02-18,LIN,Executive VP EMEA Gases,BUY,35220.0,110.58,3894627.6,"MENEZES, EDUARDO F",Orindary Shares
2020-02-18,LIN,Chief Financial Officer,SELL,10993.0,222.64,2447481.52,"WHITE, MATTHEW J",Ordinary Shares
2020-02-18,LIN,Chief Financial Officer,SELL,23336.0,224.07,5228897.52,"WHITE, MATTHEW J",Ordinary Shares
2020-02-18,LIN,Executive VP EMEA Gases,BUY,43005.0,109.68,4716788.4,"MENEZES, EDUARDO F",Ordinary Shares
2020-02-18,LIN,Chief Financial Officer,SELL,7754.0,223.99,1736818.46,"WHITE, MATTHEW J",Ordinary Shares
2020-02-18,LIN,Chief Financial Officer,BUY,31090.0,128.8,4004392.0000000005,"WHITE, MATTHEW J",Ordinary Shares
2020-02-18,LIN,Chief Financial Officer,BUY,15060.0,110.58,1665334.8,"WHITE, MATTHEW J",Ordinary Shares
2020-02-18,LIN,Executive VP EMEA Gases,SELL,30576.0,224.04,6850247.04,"MENEZES, EDUARDO F",Ordinary Shares
2020-02-18,LIN,Executive VP EMEA Gases,SELL,25649.0,224.06,5746914.94,"MENEZES, EDUARDO F",Ordinary Shares
2020-02-27,LIN,Director,SELL,39.0,203.41,7932.99,"FEHRENBACH, FRANZ",Ordinary Shares
2020-02-27,LIN,Director,SELL,56.0,203.41,11390.96,"BOERSIG, CLEMENS A H",Ordinary Shares
2020-02-27,LIN,Director,SELL,195.0,203.41,39664.95,"ENDERS, THOMAS",Ordinary Shares
2020-02-27,LIN,Director,SELL,62.0,203.41,12611.42,"DICCIANI, NANCE K",Ordinary Shares
2020-02-27,LIN,Director,SELL,54.0,203.41,10984.14,"RICHENHAGEN, MARTIN",Ordinary Shares
2020-02-27,LIN,Director,SELL,387.0,203.41,78719.67,"REITZLE, WOLFGANG",Ordinary Shares
2020-02-27,LIN,Director,SELL,54.0,203.41,10984.14,"MCVAY, LARRY D",Ordinary Shares
2020-02-27,LIN,Director,SELL,58.0,203.41,11797.78,"GALANTE, EDWARD G",Ordinary Shares
2020-02-27,LIN,Director,SELL,58.0,203.41,11797.78,"WOOD, ROBERT L",Ordinary Shares
2020-03-02,LIN,Executive VP EMEA Gases,SELL,2350.0,191.01,448873.5,"MENEZES, EDUARDO F",Ordinary Shares
2020-03-02,LIN,Executive VP EMEA Gases,SELL,3435.0,191.01,656119.35,"MENEZES, EDUARDO F",Ordinary Shares
2020-03-02,LIN,Executive Vice President,SELL,1372.0,191.01,262065.72,"ROBY, ANNE K",Ordinary Shares
2020-03-02,LIN,Executive Vice President,SELL,1841.0,191.01,351649.41,"ROBY, ANNE K",Ordinary Shares
2020-03-02,LIN,Chief Financial Officer,SELL,2526.0,191.01,482491.25999999995,"WHITE, MATTHEW J",Ordinary Shares
2020-03-02,LIN,Chief Financial Officer,SELL,3689.0,191.01,704635.89,"WHITE, MATTHEW J",Ordinary Shares
2020-03-02,LIN,Principal Accounting Officer,SELL,248.0,191.01,47370.479999999996,"HOYT, KELCEY E",Ordinary Shares
2020-03-02,LIN,Principal Accounting Officer,SELL,362.0,191.01,69145.62,"HOYT, KELCEY E",Ordinary Shares
2020-03-09,LIN,"Director, Chief Executive Officer",BUY,3000.0,175.927,527781.0,"ANGEL, STEPHEN F",Ordinary Shares
2020-03-12,LIN,Executive VP Engineering,SELL,336.0,162.99,54764.64,"BRUCH, CHRISTIAN",Ordinary Shares
2020-03-12,LIN,"Director, Chief Executive Officer",BUY,2000.0,162.4,324800.0,"ANGEL, STEPHEN F",Ordinary Shares
2020-03-12,LIN,Executive VP Engineering,BUY,646.0,1.92,1240.32,"BRUCH, CHRISTIAN",Ordinary Shares
2020-03-13,LIN,Director,BUY,3400.0,160.31,545054.0,"ENDERS, THOMAS",Ordinary Shares
2020-03-16,LIN,"Director, Chief Executive Officer",BUY,2000.0,152.47,304940.0,"ANGEL, STEPHEN F",Ordinary Shares
2020-03-17,LIN,Director,BUY,1400.0,158.72,222208.0,"FEHRENBACH, FRANZ",Ordinary Shares
2020-05-18,LIN,Executive VP APAC Gases,SELL,862.0,191.965,165473.83000000002,"LAMBA, SANJIV",Ordinary Shares
2020-05-18,LIN,Executive VP APAC Gases,BUY,862.0,1.92,1655.04,"LAMBA, SANJIV",Ordinary Shares
2020-06-02,LIN,"Executive VP, Americas",SELL,39.0,205.22,8003.58,"OPFERMANN, ANDREAS",Ordinary Shares
2020-06-02,LIN,"Executive VP, Engineering",SELL,64.0,205.22,13134.08,"NOWICKI, JUERGEN",Ordinary Shares
2020-06-03,LIN,Executive Vice President,SELL,6792.0,212.02,1440039.84,"ROBY, ANNE K",Ordinary Shares
2020-06-03,LIN,Executive Vice President,BUY,15790.0,110.58,1746058.2,"ROBY, ANNE K",Ordinary Shares
2020-06-03,LIN,Executive Vice President,SELL,11732.0,212.25,2490117.0,"ROBY, ANNE K",Ordinary Shares
2020-06-03,LIN,Executive Vice President,SELL,6671.0,211.97,1414051.8699999999,"ROBY, ANNE K",Ordinary Shares
2020-06-03,LIN,Executive Vice President,BUY,9405.0,102.22,961379.1,"ROBY, ANNE K",Ordinary Shares
2020-08-03,LIN,"Director, Chief Executive Officer",BUY,187015.0,110.58,20680118.7,"ANGEL, STEPHEN F",Ordinary Shares
2020-08-03,LIN,"Director, Chief Executive Officer",SELL,131080.0,246.46,32305976.8,"ANGEL, STEPHEN F",Ordinary Shares
2020-08-06,LIN,"Executive VP, Engineering",BUY,763.0,1.92,1464.96,"NOWICKI, JUERGEN",Ordinary Shares
2020-08-06,LIN,"Executive VP, Engineering",SELL,7.0,245.53,1718.71,"NOWICKI, JUERGEN",Ordinary Shares
2020-08-19,LIN,"Executive VP, Americas",BUY,457.0,1.92,877.4399999999999,"OPFERMANN, ANDREAS",Ordinary Shares
2020-08-19,LIN,"Executive VP, Americas",SELL,5.0,247.7,1238.5,"OPFERMANN, ANDREAS",Ordinary Shares
2020-11-09,LIN,"Director, Chief Executive Officer",SELL,56000.0,262.91,14722960.000000002,"ANGEL, STEPHEN F",Ordinary Shares
2020-11-09,LIN,"Director, Chief Executive Officer",BUY,203930.0,128.8,26266184.000000004,"ANGEL, STEPHEN F",Ordinary Shares
2020-11-09,LIN,Executive VP EMEA Gases,BUY,47375.0,128.38,6082002.5,"MENEZES, EDUARDO F",Ordinary Shares
2020-11-09,LIN,"Director, Chief Executive Officer",SELL,147930.0,263.8,39023934.0,"ANGEL, STEPHEN F",Ordinary Shares
2020-11-09,LIN,Executive VP EMEA Gases,SELL,34348.0,263.33,9044858.84,"MENEZES, EDUARDO F",Ordinary Shares
