date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2021-07-15,MRVL,"Director, CEO and President",SELL,3092.0,55.7,172224.40000000002,"MURPHY, MATTHEW J",Common Stock
2021-07-15,MRVL,"Director, CEO and President",SELL,2700.0,56.61,152847.0,"MURPHY, MATTHEW J",Common Stock
2021-07-15,MRVL,Chief Financial Officer,SELL,1812.0,55.7,100928.40000000001,"HU, JEAN X.",Common Stock
2021-07-15,MRVL,"Director, CEO and President",SELL,17300.0,55.81,965513.0,"MURPHY, MATTHEW J",Common Stock
2021-07-15,MRVL,Chief Financial Officer,SELL,1833.0,55.7,102098.1,"HU, JEAN X.",Common Stock
2021-07-15,MRVL,"EVP, Chief Operations Officer",SELL,1133.0,55.7,63108.100000000006,"KOOPMANS, CHRIS",Common Stock
2021-07-15,MRVL,Chief Financial Officer,SELL,969.0,55.7,53973.3,"HU, JEAN X.",Common Stock
2021-07-15,MRVL,"SVP, Chief Accounting Officer",SELL,525.0,55.7,29242.5,"MEINTJES, WILLEM A",Common Stock
2021-07-15,MRVL,"Director, CEO and President",SELL,5242.0,55.7,291979.4,"MURPHY, MATTHEW J",Common Stock
2021-07-15,MRVL,"EVP, Chief Operations Officer",SELL,686.0,55.7,38210.200000000004,"KOOPMANS, CHRIS",Common Stock
2021-07-15,MRVL,"Director, CEO and President",SELL,6058.0,55.7,337430.60000000003,"MURPHY, MATTHEW J",Common Stock
2021-07-15,MRVL,"EVP, CALO",SELL,1307.0,55.7,72799.90000000001,"GAYNOR, MITCHELL",Common Stock
2021-07-15,MRVL,"SVP, Chief Accounting Officer",SELL,535.0,55.7,29799.5,"MEINTJES, WILLEM A",Common Stock
2021-07-15,MRVL,"EVP, CALO",SELL,1397.0,55.7,77812.90000000001,"GAYNOR, MITCHELL",Common Stock
2021-07-15,MRVL,"SVP, Chief Accounting Officer",SELL,212.0,55.7,11808.400000000001,"MEINTJES, WILLEM A",Common Stock
2021-07-15,MRVL,"EVP, CALO",SELL,801.0,55.7,44615.700000000004,"GAYNOR, MITCHELL",Common Stock
2021-07-15,MRVL,"EVP, Chief Operations Officer",SELL,1150.0,55.7,64055.0,"KOOPMANS, CHRIS",Common Stock
2021-08-15,MRVL,"President, Products & Tech",SELL,17621.0,60.39,1064132.19,"HUSSAIN, MUHAMMAD RAGHIB",Common Stock
2021-08-15,MRVL,See Remarks,SELL,216.0,60.39,13044.24,"JARNAC, DEAN E JR.",Common Stock
2021-08-15,MRVL,"EVP, Auto Coherent DSP&Switch",SELL,858.0,60.39,51814.62,"YOUSEFI, NARIMAN",Common Stock
2021-08-15,MRVL,"President, Products & Tech",SELL,21446.0,60.39,1295123.94,"HUSSAIN, MUHAMMAD RAGHIB",Common Stock
2021-08-15,MRVL,"EVP, Optical & CC Grp",SELL,858.0,60.39,51814.62,"NGUYEN, LOI",Common Stock
2021-08-16,MRVL,"Director, CEO and President",SELL,18500.0,59.09,1093165.0,"MURPHY, MATTHEW J",Common Stock
2021-08-16,MRVL,"Director, CEO and President",SELL,1500.0,59.97,89955.0,"MURPHY, MATTHEW J",Common Stock
2021-09-02,MRVL,"EVP, Chief Operations Officer",SELL,150.0,61.5,9225.0,"KOOPMANS, CHRIS",Common Stock
2021-09-03,MRVL,"EVP, Chief Operations Officer",SELL,19169.0,61.5,1178893.5,"KOOPMANS, CHRIS",Common Stock
2021-09-10,MRVL,Director,SELL,5000.0,61.86,309300.0,"STRACHAN, MICHAEL G",Common Stock
2021-09-15,MRVL,"Director, CEO and President",SELL,20000.0,62.4,1248000.0,"MURPHY, MATTHEW J",Common Stock
2021-09-15,MRVL,EVP Worldwide Sales,SELL,959.0,62.46,59899.14,"JARNAC, DEAN E JR.",Common Stock
2021-09-24,MRVL,"EVP, Optical & CC Grp",SELL,147.0,63.61,9350.67,"NGUYEN, LOI",Common Stock
2021-09-24,MRVL,"EVP, Auto Coherent DSP&Switch",SELL,147.0,63.61,9350.67,"YOUSEFI, NARIMAN",Common Stock
2021-09-24,MRVL,"EVP, Auto Coherent DSP&Switch",SELL,343.0,63.61,21818.23,"YOUSEFI, NARIMAN",Common Stock
2021-09-24,MRVL,"EVP, Optical & CC Grp",SELL,343.0,63.61,21818.23,"NGUYEN, LOI",Common Stock
2021-10-15,MRVL,"Director, CEO and President",SELL,20000.0,65.81,1316200.0,"MURPHY, MATTHEW J",Common Stock
2021-10-15,MRVL,"Director, CEO and President",SELL,3283.0,65.65,215528.95,"MURPHY, MATTHEW J",Common Stock
2021-10-15,MRVL,"Director, CEO and President",SELL,5254.0,65.65,344925.10000000003,"MURPHY, MATTHEW J",Common Stock
2021-10-15,MRVL,"Director, CEO and President",SELL,6185.0,65.65,406045.25000000006,"MURPHY, MATTHEW J",Common Stock
2021-10-15,MRVL,"EVP, Chief Operations Officer",SELL,687.0,65.65,45101.55,"KOOPMANS, CHRIS",Common Stock
2021-10-15,MRVL,"EVP, Chief Operations Officer",SELL,1133.0,65.65,74381.45000000001,"KOOPMANS, CHRIS",Common Stock
2021-10-15,MRVL,"EVP, Chief Operations Officer",SELL,1151.0,65.65,75563.15000000001,"KOOPMANS, CHRIS",Common Stock
2021-10-15,MRVL,"SVP, Chief Accounting Officer",SELL,213.0,65.65,13983.45,"MEINTJES, WILLEM A",Common Stock
2021-10-15,MRVL,EVP Worldwide Sales,SELL,687.0,65.65,45101.55,"JARNAC, DEAN E JR.",Common Stock
2021-10-15,MRVL,"President, Products & Tech",SELL,3398.0,65.65,223078.7,"HUSSAIN, MUHAMMAD RAGHIB",Common Stock
2021-10-15,MRVL,EVP Worldwide Sales,SELL,1151.0,65.65,75563.15000000001,"JARNAC, DEAN E JR.",Common Stock
2021-10-15,MRVL,"President, Products & Tech",SELL,1640.0,65.65,107666.00000000001,"HUSSAIN, MUHAMMAD RAGHIB",Common Stock
