date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2013-02-19,NOW,Director,SELL,15840.0,33.07,523828.8,"BARBER, PAUL V",Common Stock
2013-02-19,NOW,Director,SELL,84160.0,33.07,2783171.2,"BARBER, PAUL V",Common Stock
2013-02-26,NOW,SVP WORLDWIDE SALES & SERVICES,BUY,1100.0,3.0,3300.0,"SCHNEIDER, DAVID",Common Stock
2013-02-26,NOW,Director,SELL,22999.0,31.15,716418.85,"BARBER, PAUL V",Common Stock
2013-02-26,NOW,SVP WORLDWIDE SALES & SERVICES,SELL,1100.0,31.6209,34782.99,"SCHNEIDER, DAVID",Common Stock
2013-02-26,NOW,Director,SELL,22999.0,31.15,716418.85,"NOELL, CHARLES III",Common Stock
2013-02-26,NOW,"Director, 10% Owner",SELL,22999.0,31.15,716418.85,"MOORES, JOHN J",Common Stock
2013-02-27,NOW,SVP WORLDWIDE SALES & SERVICES,BUY,18350.0,3.0,55050.0,"SCHNEIDER, DAVID",Common Stock
2013-02-27,NOW,SVP WORLDWIDE SALES & SERVICES,SELL,48810.0,31.9111,1557580.791,"SCHNEIDER, DAVID",Common Stock
2013-02-27,NOW,SVP WORLDWIDE SALES & SERVICES,BUY,30460.0,3.0,91380.0,"SCHNEIDER, DAVID",Common Stock
2013-03-01,NOW,CHIEF TECHNOLOGY OFFICER,BUY,100000.0,3.0,300000.0,"JOSEFSBERG, ARNE",Common Stock
2013-03-01,NOW,CHIEF TECHNOLOGY OFFICER,SELL,7200.0,32.8016,236171.52,"JOSEFSBERG, ARNE",Common Stock
2013-03-01,NOW,CHIEF TECHNOLOGY OFFICER,SELL,92800.0,32.4043,3007119.04,"JOSEFSBERG, ARNE",Common Stock
2013-03-01,NOW,"Director, PRESIDENT & CEO",SELL,26000.0,32.4848,844604.8,"SLOOTMAN, FRANK",Common Stock
2013-03-01,NOW,"Director, PRESIDENT & CEO",SELL,4000.0,32.8237,131294.80000000002,"SLOOTMAN, FRANK",Common Stock
2013-03-01,NOW,"Director, PRESIDENT & CEO",BUY,30000.0,2.6,78000.0,"SLOOTMAN, FRANK",Common Stock
2013-03-05,NOW,SVP WORLDWIDE SALES & SERVICES,SELL,40000.0,35.4814,1419256.0,"SCHNEIDER, DAVID",Common Stock
2013-03-05,NOW,SVP WORLDWIDE SALES & SERVICES,BUY,40000.0,3.0,120000.0,"SCHNEIDER, DAVID",Common Stock
2013-03-06,NOW,SVP WORLDWIDE SALES & SERVICES,SELL,5500.0,37.2195,204707.24999999997,"SCHNEIDER, DAVID",Common Stock
2013-03-06,NOW,SVP WORLDWIDE SALES & SERVICES,BUY,42500.0,3.0,127500.0,"SCHNEIDER, DAVID",Common Stock
2013-03-06,NOW,SVP WORLDWIDE SALES & SERVICES,SELL,37000.0,36.645,1355865.0,"SCHNEIDER, DAVID",Common Stock
2013-03-12,NOW,"Director, 10% Owner",SELL,100000.0,37.88,3788000.0000000005,"MOORES, JOHN J",Common Stock
2013-03-13,NOW,CHIEF FINANCIAL OFFICER,BUY,20000.0,3.0,60000.0,"SCARPELLI, MICHAEL",Common Stock
2013-03-13,NOW,"Director, 10% Owner",SELL,108300.0,37.55,4066664.9999999995,"MOORES, JOHN J",Common Stock
2013-03-13,NOW,CHIEF FINANCIAL OFFICER,SELL,20000.0,37.2681,745361.9999999999,"SCARPELLI, MICHAEL",Common Stock
