date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2002-02-14,OXY,"Director, Chairman and CEO",SELL,11573.0,25.61,296384.52999999997,"IRANI, RAY R",Common Stock
2002-02-14,OXY,"Director, Chairman and CEO",SELL,116410.0,25.61,2981260.1,"IRANI, RAY R",Common Stock
2002-02-14,OXY,"Director, Chairman and CEO",BUY,150000.0,19.875,2981250.0,"IRANI, RAY R",Common Stock
2003-07-28,OXY,"Director, President",BUY,177500.0,20.0625,3561093.75,"LAURANCE, DALE R",Common Stock
2003-07-28,OXY,"Director, President",SELL,177500.0,32.9123,5841933.25,"LAURANCE, DALE R",Common Stock
2003-07-28,OXY,"Director, Chairman and CEO",SELL,6000.0,33.05,198299.99999999997,"IRANI, RAY R",Common Stock
2003-07-29,OXY,"Director, President",SELL,42520.0,32.6228,1387121.456,"LAURANCE, DALE R",Common Stock
2003-07-29,OXY,"Director, President",BUY,42520.0,20.0625,853057.5,"LAURANCE, DALE R",Common Stock
2003-07-31,OXY,"Director, President",BUY,4323.0,23.125,99969.375,"LAURANCE, DALE R",Common Stock
2003-07-31,OXY,"Director, President",BUY,4102.0,24.375,99986.25,"LAURANCE, DALE R",Common Stock
2003-07-31,OXY,Vice President and Treasurer,BUY,3000.0,25.375,76125.0,"HAVERT, JAMES R",Common Stock
2003-07-31,OXY,Vice President and Treasurer,BUY,4102.0,24.375,99986.25,"HAVERT, JAMES R",Common Stock
2003-07-31,OXY,Vice President and Treasurer,BUY,4324.0,23.125,99992.5,"HAVERT, JAMES R",Common Stock
2003-07-31,OXY,"Director, President",BUY,3873.0,20.0625,77702.0625,"LAURANCE, DALE R",Common Stock
2003-07-31,OXY,"Director, President",BUY,3849.0,26.0,100074.0,"LAURANCE, DALE R",Common Stock
2003-07-31,OXY,"Director, President",BUY,3940.0,25.375,99977.5,"LAURANCE, DALE R",Common Stock
2003-07-31,OXY,"Director, President",BUY,1230.0,14.875,18296.25,"LAURANCE, DALE R",Common Stock
2003-08-04,OXY,"Director, Chairman and CEO",SELL,6000.0,32.45,194700.00000000003,"IRANI, RAY R",Common Stock
2003-08-11,OXY,"Director, Chairman and CEO",SELL,6000.0,32.93,197580.0,"IRANI, RAY R",Common Stock
2003-08-11,OXY,Executive Vice President,SELL,10000.0,33.4,334000.0,"HURST, JOHN L",Common Stock
2003-08-11,OXY,Executive Vice President,BUY,10000.0,20.0625,200625.0,"HURST, JOHN L",Common Stock
2003-08-12,OXY,Executive Vice President,SELL,8339.0,33.5,279356.5,"HURST, JOHN L",Common Stock
2003-08-12,OXY,Executive Vice President,BUY,8339.0,20.0625,167301.1875,"HURST, JOHN L",Common Stock
2003-08-12,OXY,Executive Vice President,SELL,1661.0,33.5,55643.5,"HURST, JOHN L",Common Stock
2003-08-12,OXY,Executive Vice President,BUY,1661.0,20.0625,33323.8125,"HURST, JOHN L",Common Stock
2003-08-13,OXY,Vice President and Controller,BUY,1661.0,20.0625,33323.8125,"DOMINICK, SAMUEL P JR",Common Stock
2003-08-13,OXY,"Director, Chairman and CEO",BUY,4980.0,20.0625,99911.25,"IRANI, RAY R",Common Stock
2003-08-13,OXY,CFO & EVP - Corp. Development,BUY,120020.0,20.0625,2407901.25,"CHAZEN, STEPHEN I",Common Stock
2003-08-13,OXY,CFO & EVP - Corp. Development,SELL,120020.0,33.9235,4071498.4699999997,"CHAZEN, STEPHEN I",Common Stock
2003-08-13,OXY,"EVP, Gen. Counsel & Secretary",SELL,75000.0,34.0,2550000.0,"DE, BRIER DONALD P",Common Stock
2003-08-13,OXY,"EVP, Gen. Counsel & Secretary",BUY,75000.0,20.0625,1504687.5,"DE, BRIER DONALD P",Common Stock
2003-08-13,OXY,Vice President and Controller,SELL,1661.0,33.846,56218.20599999999,"DOMINICK, SAMUEL P JR",Common Stock
2003-08-13,OXY,Vice President and Controller,SELL,46017.0,33.846,1557491.3819999998,"DOMINICK, SAMUEL P JR",Common Stock
2003-08-13,OXY,EVP - Human Resources,BUY,30000.0,20.5,615000.0,"HALLOCK, RICHARD W",Common Stock
2003-08-13,OXY,EVP - Human Resources,SELL,65020.0,33.9172,2205296.344,"HALLOCK, RICHARD W",Common Stock
2003-08-13,OXY,Vice President and Controller,BUY,46017.0,20.0625,923216.0625,"DOMINICK, SAMUEL P JR",Common Stock
2003-08-13,OXY,"Director, Chairman and CEO",BUY,3849.0,26.0,100074.0,"IRANI, RAY R",Common Stock
2003-08-13,OXY,"Director, Chairman and CEO",BUY,3940.0,25.375,99977.5,"IRANI, RAY R",Common Stock
2003-08-13,OXY,"Director, Chairman and CEO",BUY,4323.0,23.125,99969.375,"IRANI, RAY R",Common Stock
2003-08-13,OXY,EVP - Human Resources,SELL,30000.0,33.9172,1017516.0,"HALLOCK, RICHARD W",Common Stock
2003-08-13,OXY,EVP - Human Resources,BUY,65020.0,20.0625,1304463.75,"HALLOCK, RICHARD W",Common Stock
2003-08-13,OXY,"Director, Chairman and CEO",BUY,4102.0,24.375,99986.25,"IRANI, RAY R",Common Stock
2003-08-18,OXY,"Director, Chairman and CEO",SELL,6000.0,34.19,205140.0,"IRANI, RAY R",Common Stock
2003-08-19,OXY,CFO & EVP - Corp. Development,BUY,3940.0,25.375,99977.5,"CHAZEN, STEPHEN I",Common Stock
2003-08-19,OXY,CFO & EVP - Corp. Development,BUY,4102.0,24.375,99986.25,"CHAZEN, STEPHEN I",Common Stock
2003-08-19,OXY,CFO & EVP - Corp. Development,BUY,1660.0,20.0625,33303.75,"CHAZEN, STEPHEN I",Common Stock
2003-08-19,OXY,CFO & EVP - Corp. Development,BUY,3849.0,26.0,100074.0,"CHAZEN, STEPHEN I",Common Stock
2003-08-21,OXY,Vice President and Controller,BUY,1260.0,25.375,31972.5,"DOMINICK, SAMUEL P JR",Common Stock
2003-08-25,OXY,"Director, Chairman and CEO",SELL,6000.0,33.75,202500.0,"IRANI, RAY R",Common Stock
2003-09-02,OXY,"Director, Chairman and CEO",SELL,6000.0,34.33,205980.0,"IRANI, RAY R",Common Stock
2003-09-08,OXY,"Director, Chairman and CEO",SELL,6000.0,34.7,208200.00000000003,"IRANI, RAY R",Common Stock
2003-09-15,OXY,"Director, Chairman and CEO",SELL,6000.0,35.05,210299.99999999997,"IRANI, RAY R",Common Stock
2003-09-22,OXY,"Director, Chairman and CEO",SELL,6000.0,35.0,210000.0,"IRANI, RAY R",Common Stock
2003-09-29,OXY,"Director, Chairman and CEO",SELL,6000.0,34.99,209940.0,"IRANI, RAY R",Common Stock
