date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2012-06-07,PG,Global Cust. Bus. Dev. Officer,SELL,426.0,61.525,26209.649999999998,"FREGOLLE, ROBERT L. JR.",Common Stock
2012-07-16,PG,Global Product Supply Officer,SELL,310.0,64.755,20074.05,"SKOUFALOS, IOANNIS",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,SELL,245.0,64.755,15864.974999999999,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,BUY,75.0,64.755,4856.625,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,SELL,67.0,64.755,4338.585,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Global Product Supply Officer,SELL,68.0,64.755,4403.34,"SKOUFALOS, IOANNIS",Common Stock
2012-07-16,PG,Global Product Supply Officer,BUY,37.0,64.755,2395.935,"SKOUFALOS, IOANNIS",Common Stock
2012-07-16,PG,Global Product Supply Officer,SELL,37.0,64.755,2395.935,"SKOUFALOS, IOANNIS",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,SELL,414.0,64.755,26808.57,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,SELL,75.0,64.755,4856.625,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,BUY,414.0,64.755,26808.57,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,SELL,69.0,64.755,4468.094999999999,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,BUY,69.0,64.755,4468.094999999999,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Global Product Supply Officer,BUY,310.0,64.755,20074.05,"SKOUFALOS, IOANNIS",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,BUY,439.0,64.755,28427.445,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,BUY,67.0,64.755,4338.585,"PASSERINI, FILIPPO",Common Stock
2012-07-16,PG,Grp Pres-CIO & Global Bus Svcs,SELL,439.0,64.755,28427.445,"PASSERINI, FILIPPO",Common Stock
2012-08-02,PG,ViceChairman Global Bus Units,BUY,153.0,63.615,9733.095000000001,"PANAYOTOPOULOS, EVRIVIADES D",Common Stock
2012-08-02,PG,ViceChairman Global Bus Units,SELL,153.0,63.615,9733.095000000001,"PANAYOTOPOULOS, EVRIVIADES D",Common Stock
2012-08-02,PG,Global Product Supply Officer,BUY,46.0,63.615,2926.29,"SKOUFALOS, IOANNIS",Common Stock
2012-08-02,PG,Global Cust. Bus. Dev. Officer,BUY,61.0,63.615,3880.5150000000003,"FREGOLLE, ROBERT L. JR.",Common Stock
2012-08-02,PG,Global Cust. Bus. Dev. Officer,SELL,61.0,63.615,3880.5150000000003,"FREGOLLE, ROBERT L. JR.",Common Stock
2012-08-02,PG,Vice Chairman - GO,BUY,146.0,63.615,9287.79,"GEISSLER, WERNER",Common Stock
2012-08-02,PG,Vice Chairman - GO,SELL,146.0,63.615,9287.79,"GEISSLER, WERNER",Common Stock
2012-08-02,PG,"COB, Pres. & CEO",BUY,210.0,63.615,13359.15,"MCDONALD, ROBERT A",Common Stock
2012-08-02,PG,"COB, Pres. & CEO",SELL,210.0,63.615,13359.15,"MCDONALD, ROBERT A",Common Stock
2012-08-02,PG,Grp Pres-CIO & Global Bus Svcs,BUY,76.0,63.615,4834.74,"PASSERINI, FILIPPO",Common Stock
2012-08-02,PG,Grp Pres-CIO & Global Bus Svcs,SELL,76.0,63.615,4834.74,"PASSERINI, FILIPPO",Common Stock
