date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2004-09-28,PLAB,Director,SELL,550.0,15.88,8734.0,"MACRICOSTAS, GEORGE",Common Stock
2004-12-22,PLAB,Director,SELL,1670.0,16.325,27262.75,"FIEDEROWICZ, WALTER M",Common Stock
2004-12-22,PLAB,Director,SELL,320.0,16.12,5158.400000000001,"FIEDEROWICZ, WALTER M",Common Stock
2004-12-28,PLAB,Director,SELL,40.0,16.45,658.0,"FIEDEROWICZ, WALTER M",Common Stock
2004-12-30,PLAB,Director,SELL,550.0,16.47,9058.5,"MACRICOSTAS, GEORGE",Common Stock
2005-01-17,PLAB,Director,BUY,15000.0,14.56,218400.0,"TYSON, MITCHELL G",Stock Option (right to buy)
2005-01-17,PLAB,Vice President and CFO,BUY,1000.0,14.56,14560.0,"SMITH, SEAN T",Common Stock
2005-01-17,PLAB,Vice President and CFO,BUY,75000.0,14.56,1092000.0,"SMITH, SEAN T",Stock Option (right to buy)
2005-01-17,PLAB,"VP,General Counsel & Secretary",BUY,500.0,14.56,7280.0,"LEWIS, EDWIN L",Common Stock
2005-01-17,PLAB,"Director, Chairman of Board & Acting CEO",BUY,25000.0,14.56,364000.0,"MACRICOSTAS, CONSTANTINE S",Stock Option (right to buy)
2005-01-17,PLAB,Director,BUY,15000.0,14.56,218400.0,"FIEDEROWICZ, WALTER M",Stock Option (right to buy)
2005-01-17,PLAB,Director,BUY,15000.0,14.56,218400.0,"FIORITA, JOSEPH A JR",Stock Option (right to buy)
2005-01-17,PLAB,Director,BUY,15000.0,14.56,218400.0,"MACRICOSTAS, GEORGE",Stock Option (right to buy)
2005-01-17,PLAB,Director,BUY,15000.0,14.56,218400.0,"MARIS, WILLEM D",Stock Option (right to buy)
2005-01-17,PLAB,"VP,General Counsel & Secretary",BUY,30000.0,14.56,436800.0,"LEWIS, EDWIN L",Stock Option (right to buy)
2005-02-14,PLAB,Director,BUY,5000.0,16.65,83250.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2005-02-14,PLAB,Director,BUY,5000.0,16.65,83250.0,"FIEDEROWICZ, WALTER M",Common Stock
2005-02-14,PLAB,Director,BUY,5000.0,16.65,83250.0,"MACRICOSTAS, GEORGE",Common Stock
2005-02-14,PLAB,Director,BUY,5000.0,16.65,83250.0,"TYSON, MITCHELL G",Common Stock
2005-02-14,PLAB,Director,BUY,5000.0,16.65,83250.0,"FIORITA, JOSEPH A JR",Common Stock
2005-02-14,PLAB,Director,BUY,5000.0,16.65,83250.0,"MARIS, WILLEM D",Common Stock
2005-04-01,PLAB,Director,SELL,250.0,17.94,4485.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2005-04-01,PLAB,Director,SELL,500.0,17.94,8970.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2005-06-08,PLAB,"Director, Chief Executive Officer",BUY,250000.0,23.39,5847500.0,"LUTTATI, MICHAEL J",Stock Option (Right to Buy)
2005-12-28,PLAB,Director,SELL,5000.0,15.1442,75721.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-01-03,PLAB,Director,SELL,4000.0,15.06,60240.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-02-15,PLAB,Director,SELL,300.0,20.41,6123.0,"MACRICOSTAS, GEORGE",Common Stock
2006-02-15,PLAB,Director,SELL,1300.0,20.45,26585.0,"MACRICOSTAS, GEORGE",Common Stock
2006-02-15,PLAB,Director,SELL,2900.0,20.44,59276.00000000001,"MACRICOSTAS, GEORGE",Common Stock
2006-02-15,PLAB,Director,SELL,100.0,20.26,2026.0000000000002,"MACRICOSTAS, GEORGE",Common Stock
2006-02-15,PLAB,Director,SELL,4900.0,20.25,99225.0,"MACRICOSTAS, GEORGE",Common Stock
2006-02-15,PLAB,Director,SELL,500.0,20.48,10240.0,"MACRICOSTAS, GEORGE",Common Stock
2006-03-09,PLAB,Director,SELL,250.0,16.75,4187.5,"MACRICOSTAS, CONSTANTINE S",Common Stock
2006-03-09,PLAB,Director,SELL,500.0,16.75,8375.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2006-03-09,PLAB,Director,SELL,150.0,16.75,2512.5,"MACRICOSTAS, CONSTANTINE S",Common Stock
2006-05-10,PLAB,Director,BUY,10000.0,12.5,125000.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-05-10,PLAB,Director,BUY,10000.0,12.5,125000.0,"FIORITA, JOSEPH A JR",Common Stock
2006-06-02,PLAB,Senior Vice President & CFO,BUY,90000.0,17.02,1531800.0,"SMITH, SEAN T",Stock Option (Right to Buy)
2006-06-02,PLAB,"Senior VP, Gen Counsel & Secty",BUY,50000.0,17.02,851000.0,"LEWIS, EDWIN L",Stock Option (Right to Buy)
2006-06-02,PLAB,"Director, Chief Executive Officer",BUY,165000.0,17.02,2808300.0,"LUTTATI, MICHAEL J",Stock Option (Right to Buy)
2006-08-10,PLAB,"Senior VP, Gen Counsel & Secty",BUY,596.0,11.6,6913.599999999999,"LEWIS, EDWIN L",Common Stock
2006-08-10,PLAB,"Director, Chief Executive Officer",BUY,1288.0,11.6,14940.8,"LUTTATI, MICHAEL J",Common Stock
2006-08-10,PLAB,Senior Vice President & CFO,BUY,746.0,11.6,8653.6,"SMITH, SEAN T",Common Stock
2006-12-22,PLAB,Director,SELL,1000.0,16.056,16056.000000000002,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-22,PLAB,Director,SELL,900.0,16.06,14453.999999999998,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-22,PLAB,Director,SELL,1000.0,16.0337,16033.699999999999,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-22,PLAB,Director,SELL,2000.0,16.02,32040.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-22,PLAB,Director,SELL,1000.0,16.01,16010.000000000002,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-22,PLAB,Director,SELL,1600.0,16.05,25680.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-22,PLAB,Director,SELL,5000.0,16.05,80250.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-26,PLAB,Director,SELL,3600.0,16.29,58644.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-26,PLAB,Director,SELL,1000.0,16.31,16309.999999999998,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-26,PLAB,Director,SELL,800.0,16.27,13016.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-26,PLAB,Director,SELL,500.0,16.23,8115.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-26,PLAB,Director,SELL,500.0,16.15,8074.999999999999,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-26,PLAB,Director,SELL,1100.0,16.2,17820.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-26,PLAB,Director,SELL,530.0,16.3,8639.0,"FIEDEROWICZ, WALTER M",Common Stock
2006-12-27,PLAB,Director,SELL,470.0,16.5,7755.0,"FIEDEROWICZ, WALTER M",Common Stock
2007-01-08,PLAB,Director,SELL,300.0,16.26,4878.000000000001,"MACRICOSTAS, GEORGE",Common Stock
2007-01-08,PLAB,Director,SELL,1705.0,16.28,27757.4,"MACRICOSTAS, GEORGE",Common Stock
2007-01-08,PLAB,Director,SELL,5000.0,16.2,81000.0,"MACRICOSTAS, GEORGE",Common Stock
2007-01-08,PLAB,Director,SELL,5000.0,16.2,81000.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-08,PLAB,Director,SELL,5000.0,16.15,80750.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-08,PLAB,Director,SELL,9700.0,16.25,157625.0,"MACRICOSTAS, GEORGE",Common Stock
2007-01-09,PLAB,Director,SELL,5000.0,16.05,80250.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,5000.0,16.0,80000.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,5000.0,16.16,80800.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,15000.0,16.15,242249.99999999997,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,800.0,16.13,12904.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,5000.0,16.1,80500.0,"MACRICOSTAS, GEORGE",Common Stock
2007-01-09,PLAB,Director,SELL,5000.0,16.16,80800.0,"MACRICOSTAS, GEORGE",Common Stock
2007-01-09,PLAB,Director,SELL,25000.0,16.15,403749.99999999994,"MACRICOSTAS, GEORGE",Common Stock
2007-01-09,PLAB,Director,SELL,300.0,16.12,4836.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,300.0,16.11,4833.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,13600.0,16.1,218960.00000000003,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-09,PLAB,Director,SELL,5000.0,16.2,81000.0,"MACRICOSTAS, GEORGE",Common Stock
2007-01-10,PLAB,Director,SELL,2613.0,16.26,42487.380000000005,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-10,PLAB,Director,SELL,600.0,16.27,9762.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-10,PLAB,Director,SELL,13195.0,16.2,213759.0,"MACRICOSTAS, GEORGE",Common Stock
2007-01-10,PLAB,Director,SELL,10000.0,16.25,162500.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-10,PLAB,Director,SELL,5000.0,16.18,80900.0,"MACRICOSTAS, GEORGE",Common Stock
2007-01-10,PLAB,Director,SELL,5000.0,16.15,80750.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-10,PLAB,Director,SELL,5000.0,16.1,80500.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-10,PLAB,Director,SELL,100.0,16.26,1626.0000000000002,"MACRICOSTAS, GEORGE",Common Stock
2007-01-10,PLAB,Director,SELL,20000.0,16.2,324000.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-11,PLAB,Director,SELL,796.0,16.41,13062.36,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-01-11,PLAB,Director,SELL,991.0,16.4,16252.399999999998,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-02-15,PLAB,Director,SELL,1000.0,15.56,15560.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-21,PLAB,Director,SELL,60000.0,15.6,936000.0,"MACRICOSTAS, GEORGE",Common Stock
2007-03-29,PLAB,Director,SELL,633.0,15.3,9684.9,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,5410.0,15.23,82394.3,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,200.0,15.24,3048.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,300.0,15.25,4575.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,600.0,15.26,9156.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,4800.0,15.28,73344.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,2100.0,15.29,32109.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,10418.0,15.35,159916.3,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,9446.0,15.15,143106.9,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,582.0,15.32,8916.24,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,8150.0,15.17,123635.5,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,10795.0,15.18,163868.1,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,100.0,15.185,1518.5,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,10193.0,15.19,154831.66999999998,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,22199.0,15.2,337424.8,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,2023.0,15.21,30769.83,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,2200.0,15.22,33484.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-03-29,PLAB,Director,SELL,9851.0,15.16,149341.16,"MACRICOSTAS, CONSTANTINE S",Common Stock
2007-06-13,PLAB,"VP,Chief Technology Officer",SELL,1000.0,14.93,14930.0,"PROGLER, CHRISTOPHER J",Common Stock
2007-06-15,PLAB,"Senior VP, Gen Counsel & Secty",SELL,770.0,15.35,11819.5,"LEWIS, EDWIN L",Common Stock
2007-06-21,PLAB,Director,SELL,5000.0,15.0,75000.0,"FIORITA, JOSEPH A JR",Common Stock
2007-06-21,PLAB,Director,SELL,5000.0,15.09,75450.0,"FIORITA, JOSEPH A JR",Common Stock
2007-07-02,PLAB,Director,SELL,2500.0,15.13,37825.0,"FIEDEROWICZ, WALTER M",Common Stock
2007-07-02,PLAB,Director,SELL,3000.0,15.17,45510.0,"FIEDEROWICZ, WALTER M",Common Stock
2007-07-02,PLAB,Director,SELL,1000.0,15.171,15171.0,"FIEDEROWICZ, WALTER M",Common Stock
2007-08-09,PLAB,Senior Vice President & CFO,BUY,1213.0,10.22,12396.86,"SMITH, SEAN T",Common Stock
2007-08-09,PLAB,"Director, Chief Executive Officer",BUY,2071.0,10.22,21165.620000000003,"LUTTATI, MICHAEL J",Common Stock
2007-08-09,PLAB,"Senior VP, Gen Counsel & Secty",BUY,972.0,10.22,9933.84,"LEWIS, EDWIN L",Common Stock
2008-08-29,PLAB,"Senior VP, U.S. & Europe",BUY,80000.0,3.27,261600.0,"KIRLIN, PETER S",Stock Options (Right to Buy)
2008-11-10,PLAB,Director,SELL,14400.0,0.76,10944.0,"TYSON, MITCHELL G",Stock Options (Right to Buy)
2008-11-10,PLAB,Director,SELL,200.0,0.76,152.0,"TYSON, MITCHELL G",Stock Options (Right to Buy)
2008-12-23,PLAB,"Director, Interim CEO",BUY,10200.0,1.25,12750.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2008-12-24,PLAB,"Director, Interim CEO",BUY,42401.0,1.3,55121.3,"MACRICOSTAS, CONSTANTINE S",Common Stock
2008-12-26,PLAB,"Director, Interim CEO",BUY,27399.0,1.328,36385.872,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,200.0,5.0575,1011.5,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,1800.0,5.07,9126.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,600.0,5.13,3078.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,400.0,5.14,2056.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,200.0,5.15,1030.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,2000.0,5.12,10240.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,21.0,5.0702,106.4742,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,300.0,5.11,1533.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,100.0,5.0925,509.25,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,2600.0,5.06,13155.999999999998,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,24489.0,5.09,124649.01,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,3308.0,5.04,16672.32,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,4592.0,5.05,23189.6,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,Senior Vice President & CFO,SELL,1900.0,5.08,9652.0,"SMITH, SEAN T",Common Stock
2009-07-15,PLAB,Senior Vice President & CFO,SELL,200.0,5.08,1016.0,"SMITH, SEAN T",Common Stock
2009-07-15,PLAB,Senior Vice President & CFO,SELL,2600.0,5.09,13234.0,"SMITH, SEAN T",Common Stock
2009-07-15,PLAB,Director,SELL,4500.0,5.09,22905.0,"FIEDEROWICZ, WALTER M",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,3479.0,5.08,17673.32,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,17911.0,5.1,91346.09999999999,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,200.0,5.045,1009.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,"Director, CEO & President",SELL,300.0,5.03,1509.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-15,PLAB,Senior Vice President & CFO,SELL,300.0,5.091,1527.3,"SMITH, SEAN T",Common Stock
2009-07-16,PLAB,Director,SELL,600.0,5.28,3168.0,"FIEDEROWICZ, WALTER M",Common Stock
2009-07-16,PLAB,"Director, CEO & President",SELL,5000.0,5.09,25450.0,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-16,PLAB,"Director, CEO & President",SELL,200.0,5.0925,1018.5,"MACRICOSTAS, CONSTANTINE S",Common Stock
2009-07-16,PLAB,"Director, CEO & President",SELL,500.0,5.095,2547.5,"MACRICOSTAS, CONSTANTINE S",Common Stock
