date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2020-08-05,RKT,"Director, 10% Owner",BUY,344231.0,18.0,6196158.0,"GILBERT, DANIEL B",Class A common stock
2020-08-05,RKT,"Director, 10% Owner",BUY,28334.0,18.0,510012.0,"GILBERT, DANIEL B",Class A common stock
2020-08-05,RKT,"Director, 10% Owner",BUY,344231.0,18.0,6196158.0,"GILBERT, JENNIFER L.",Class A common stock
2020-08-05,RKT,"Director, 10% Owner",BUY,28334.0,18.0,510012.0,"GILBERT, JENNIFER L.",Class A common stock
2020-08-10,RKT,Director,BUY,35000.0,18.0,630000.0,"TELLEM, NANCY",Class A common stock
2020-08-10,RKT,"Director, Chief Executive Officer",BUY,204000.0,18.0,3672000.0,"FARNER, JAY",Class A common stock
2020-08-14,RKT,"Director, 10% Owner",BUY,800000.0,18.0,14400000.0,"ROCK, HOLDINGS INC.",Class D common stock
2020-08-14,RKT,"Director, 10% Owner",SELL,800000.0,18.0,14400000.0,"ROCK, HOLDINGS INC.","Non-voting common interest units of RKT Holdings, LLC"
2020-08-14,RKT,"Director, 10% Owner",SELL,800000.0,18.0,14400000.0,"GILBERT, DANIEL B","Non-voting common interest units of RKT Holdings, LLC"
2020-08-14,RKT,Director,SELL,800000.0,18.0,14400000.0,"GILBERT, JENNIFER L.","Non-voting common interest units of RKT Holdings, LLC"
2020-08-14,RKT,Director,BUY,800000.0,18.0,14400000.0,"GILBERT, JENNIFER L.",Class D common stock
2020-08-14,RKT,"Director, 10% Owner",BUY,800000.0,18.0,14400000.0,"GILBERT, DANIEL B",Class D common stock
2021-03-29,RKT,Director,SELL,20200000.0,24.75,499950000.0,"GILBERT, JENNIFER L.",Class A common stock
2021-03-29,RKT,"Director, 10% Owner",SELL,20200000.0,24.75,499950000.0,"GILBERT, DANIEL B",Class A common stock
2021-03-29,RKT,"Director, 10% Owner",SELL,20200000.0,24.75,499950000.0,"ROCK, HOLDINGS INC.",Class A common stock
2021-05-26,RKT,Director,SELL,26890.0,16.81,452020.89999999997,"GILBERT, JENNIFER L.",Class A common stock
2021-05-26,RKT,"Director, 10% Owner",SELL,26890.0,16.81,452020.89999999997,"GILBERT, DANIEL B",Class A common stock
2022-03-30,RKT,"Director, Chief Executive Officer",BUY,8900.0,11.1961,99645.29,"FARNER, JAY",Class A common stock
2022-03-31,RKT,"Director, Chief Executive Officer",BUY,8900.0,11.19,99591.0,"FARNER, JAY",Class A common stock
2022-04-01,RKT,"Director, Chief Executive Officer",BUY,13100.0,11.04,144624.0,"FARNER, JAY",Class A common stock
2022-04-04,RKT,"Director, Chief Executive Officer",BUY,8600.0,11.52,99072.0,"FARNER, JAY",Class A common stock
2022-04-05,RKT,"Director, Chief Executive Officer",BUY,18200.0,10.95,199290.0,"FARNER, JAY",Class A common stock
2022-04-06,RKT,"Director, Chief Executive Officer",BUY,19500.0,10.24,199680.0,"FARNER, JAY",Class A common stock
2022-04-07,RKT,"Director, Chief Executive Officer",BUY,22200.0,9.88,219336.00000000003,"FARNER, JAY",Class A common stock
2022-04-08,RKT,"Director, Chief Executive Officer",BUY,20400.0,9.8,199920.0,"FARNER, JAY",Class A common stock
2022-04-11,RKT,"Director, Chief Executive Officer",BUY,20300.0,9.82,199346.0,"FARNER, JAY",Class A common stock
2022-04-12,RKT,"Director, Chief Executive Officer",BUY,20400.0,9.77,199308.0,"FARNER, JAY",Class A common stock
2022-04-13,RKT,"Director, Chief Executive Officer",BUY,20800.0,9.57,199056.0,"FARNER, JAY",Class A common stock
2022-04-14,RKT,"Director, Chief Executive Officer",BUY,21000.0,9.5,199500.0,"FARNER, JAY",Class A common stock
2022-04-18,RKT,"Director, Chief Executive Officer",BUY,21600.0,9.25,199800.0,"FARNER, JAY",Class A common stock
2022-04-19,RKT,"Director, Chief Executive Officer",BUY,21400.0,9.33,199662.0,"FARNER, JAY",Class A common stock
2022-04-20,RKT,"Director, Chief Executive Officer",BUY,21400.0,9.34,199876.0,"FARNER, JAY",Class A common stock
2022-04-21,RKT,"Director, Chief Executive Officer",BUY,21200.0,9.33,197796.0,"FARNER, JAY",Class A common stock
2022-04-22,RKT,"Director, Chief Executive Officer",BUY,22400.0,8.93,200032.0,"FARNER, JAY",Class A common stock
2022-04-25,RKT,"Director, Chief Executive Officer",BUY,21700.0,9.21,199857.00000000003,"FARNER, JAY",Class A common stock
2022-04-26,RKT,"Director, Chief Executive Officer",BUY,22200.0,8.99,199578.0,"FARNER, JAY",Class A common stock
2022-04-27,RKT,"Director, Chief Executive Officer",BUY,22800.0,8.75,199500.0,"FARNER, JAY",Class A common stock
2022-04-28,RKT,"Director, Chief Executive Officer",BUY,22800.0,8.76,199728.0,"FARNER, JAY",Class A common stock
2022-04-29,RKT,"Director, Chief Executive Officer",BUY,22200.0,8.98,199356.0,"FARNER, JAY",Class A common stock
2022-05-02,RKT,"Director, Chief Executive Officer",BUY,22300.0,8.96,199808.00000000003,"FARNER, JAY",Class A common stock
2022-05-03,RKT,"Director, Chief Executive Officer",BUY,21600.0,9.26,200016.0,"FARNER, JAY",Class A common stock
2022-05-04,RKT,"Director, Chief Executive Officer",BUY,21700.0,9.21,199857.00000000003,"FARNER, JAY",Class A common stock
2022-05-05,RKT,"Director, Chief Executive Officer",BUY,22400.0,8.9,199360.0,"FARNER, JAY",Class A common stock
2022-05-06,RKT,"Director, Chief Executive Officer",BUY,23500.0,8.48,199280.0,"FARNER, JAY",Class A common stock
2022-05-09,RKT,"Director, Chief Executive Officer",BUY,23800.0,8.4,199920.0,"FARNER, JAY",Class A common stock
2022-05-10,RKT,"Director, Chief Executive Officer",BUY,25300.0,7.86,198858.0,"FARNER, JAY",Class A common stock
2022-05-11,RKT,"Director, Chief Executive Officer",BUY,26600.0,7.52,200032.0,"FARNER, JAY",Class A common stock
2022-05-12,RKT,"Director, Chief Executive Officer",BUY,26400.0,7.57,199848.0,"FARNER, JAY",Class A common stock
2022-05-13,RKT,"Director, Chief Executive Officer",BUY,24300.0,8.22,199746.00000000003,"FARNER, JAY",Class A common stock
2022-05-16,RKT,"Director, Chief Executive Officer",BUY,23700.0,8.43,199791.0,"FARNER, JAY",Class A common stock
2022-05-17,RKT,"Director, Chief Executive Officer",BUY,23000.0,8.69,199870.0,"FARNER, JAY",Class A common stock
2022-05-18,RKT,"Director, Chief Executive Officer",BUY,22800.0,8.74,199272.0,"FARNER, JAY",Class A common stock
2022-05-19,RKT,"Director, Chief Executive Officer",BUY,22400.0,8.91,199584.0,"FARNER, JAY",Class A common stock
2022-05-20,RKT,"Director, Chief Executive Officer",BUY,22600.0,8.81,199106.0,"FARNER, JAY",Class A common stock
2022-05-23,RKT,"Director, Chief Executive Officer",BUY,22600.0,8.81,199106.0,"FARNER, JAY",Class A common stock
2022-05-24,RKT,"Director, Chief Executive Officer",BUY,23000.0,8.67,199410.0,"FARNER, JAY",Class A common stock
2022-05-25,RKT,"Director, Chief Executive Officer",BUY,22400.0,8.93,200032.0,"FARNER, JAY",Class A common stock
2022-05-26,RKT,"Director, Chief Executive Officer",BUY,21500.0,9.28,199520.0,"FARNER, JAY",Class A common stock
2022-05-27,RKT,"Director, Chief Executive Officer",BUY,21200.0,9.41,199492.0,"FARNER, JAY",Class A common stock
2022-05-31,RKT,"Director, Chief Executive Officer",BUY,21700.0,9.21,199857.00000000003,"FARNER, JAY",Class A common stock
2022-06-01,RKT,"Director, Chief Executive Officer",BUY,22500.0,8.86,199350.0,"FARNER, JAY",Class A common stock
