date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2005-04-26,SCHW,Director,BUY,13500.0,2.68,36180.0,"BECHTLE, NANCY H",Common Stock
2005-04-26,SCHW,Director,SELL,11400.0,10.18,116052.0,"BECHTLE, NANCY H",Common Stock
2005-04-26,SCHW,Director,SELL,2100.0,10.17,21357.0,"BECHTLE, NANCY H",Common Stock
2005-05-09,SCHW,Executive Vice President & CIO,SELL,7700.0,10.69,82313.0,"SASSON, GIDEON",Common Stock
2005-05-09,SCHW,Executive Vice President & CIO,SELL,2300.0,10.7,24610.0,"SASSON, GIDEON",Common Stock
2005-07-25,SCHW,Executive Vice President & CIO,BUY,12657.0,3.35,42400.950000000004,"SASSON, GIDEON",Common Stock
2005-07-25,SCHW,Executive Vice President & CIO,SELL,1057.0,13.69,14470.33,"SASSON, GIDEON",Common Stock
2005-07-25,SCHW,Executive Vice President & CIO,SELL,11600.0,13.67,158572.0,"SASSON, GIDEON",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,4800.0,13.39,64272.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,2200.0,13.4,29480.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,1300.0,13.42,17446.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,7600.0,13.43,102068.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,7000.0,13.44,94080.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,5200.0,13.45,69940.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",BUY,281250.0,3.8,1068750.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,8400.0,13.65,114660.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,3300.0,13.36,44088.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,1800.0,13.37,24066.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,20000.0,13.66,273200.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,5300.0,13.67,72451.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,27000.0,13.68,369360.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,25900.0,13.69,354571.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,13750.0,13.7,188375.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,1500.0,13.35,20025.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,9000.0,13.46,121140.00000000001,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,2500.0,13.41,33525.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,4700.0,13.63,64061.00000000001,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,5000.0,13.59,67950.0,"SCHWAB, CHARLES R",Common Stock
2005-07-26,SCHW,"Director, Chairman and CEO, 10% Owner",SELL,11900.0,13.58,161602.0,"SCHWAB, CHARLES R",Common Stock
