date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2021-03-05,SNOW,Director,SELL,47186.0,250.0,11796500.0,"GARRETT, MARK",Class A Common Stock
2021-03-05,SNOW,Director,SELL,4600.0,239.393,1101207.8,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,Director,SELL,1750.0,240.084,420147.0,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,Director,SELL,26700.0,238.66,6372222.0,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,Director,BUY,108459.0,0.74,80259.66,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,Director,SELL,24501.0,237.714,5824230.714,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,10% Owner,BUY,1274.0,234.7893,299121.5682,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-05,SNOW,Director,BUY,47186.0,3.74,176475.64,"GARRETT, MARK",Class A Common Stock
2021-03-05,SNOW,10% Owner,BUY,492.0,233.9863,115121.2596,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-05,SNOW,10% Owner,BUY,320.0,233.9863,74875.616,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-05,SNOW,Director,SELL,31159.0,235.287,7331307.633,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,Director,SELL,33290.0,236.322,7867159.38,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,Director,BUY,13541.0,21.79,295058.39,"BURTON, JEREMY",Class A Common Stock
2021-03-05,SNOW,10% Owner,BUY,826.0,234.7893,193935.9618,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,1023.0,235.0,240405.0,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,4571.0,233.4942,1067301.9882,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,1577.0,235.0,370595.0,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,Chief Revenue Officer,SELL,561.0,215.387,120832.107,"DEGNAN, CHRISTOPHER WILLIAM",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,8943.0,220.1879,1969140.3897000002,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,Chief Revenue Officer,SELL,188.0,217.723,40931.924,"DEGNAN, CHRISTOPHER WILLIAM",Class A Common Stock
2021-03-08,SNOW,Chief Revenue Officer,SELL,200.0,216.395,43279.0,"DEGNAN, CHRISTOPHER WILLIAM",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,11763.0,234.4353,2757662.4339,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,Chief Revenue Officer,BUY,25563.0,1.41,36043.829999999994,"DEGNAN, CHRISTOPHER WILLIAM",Class A Common Stock
2021-03-08,SNOW,Chief Revenue Officer,SELL,700.0,238.566,166996.2,"DEGNAN, CHRISTOPHER WILLIAM",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,13776.0,220.1879,3033308.5104,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,2337.0,232.4291,543186.8067,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,1770.0,231.5528,409848.456,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,2726.0,231.5528,631212.9328,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,Chief Revenue Officer,SELL,1110.0,239.357,265686.27,"DEGNAN, CHRISTOPHER WILLIAM",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,7636.0,234.4353,1790147.9508,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,6059.0,222.1068,1345745.1012,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,10% Owner,BUY,4208.0,221.1327,930526.4016,"ICONIQ, STRATEGIC PARTNERS V, L.P.",Class A Common Stock
2021-03-08,SNOW,Chief Revenue Officer,SELL,700.0,227.597,159317.9,"DEGNAN, CHRISTOPHER WILLIAM",Class A Common Stock
