date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
1998-06-08,SSB,Director,BUY,4000.0,25.12,100480.0,"ROQUEMORE, JAMES W",COMMON STOCK
1999-09-23,SSB,Director,BUY,302.0,18.86,5695.72,"ROQUEMORE, JAMES W",COMMON STOCK
2003-12-30,SSB,Director,BUY,600.0,30.96,18576.0,"WILLIAMSON, JOHN W III",Stock Options
2003-12-30,SSB,Director,BUY,750.0,30.96,23220.0,"ROQUEMORE, JAMES W",Stock Options
2003-12-30,SSB,Director,BUY,750.0,30.96,23220.0,"SUGGS, THOMAS E",Stock Options
2003-12-30,SSB,Director,BUY,600.0,30.96,18576.0,"WATERS, A DEWALL",Stock Options
2003-12-30,SSB,Director,BUY,600.0,30.96,18576.0,"NORMAN, RALPH W",Stock Options
2003-12-30,SSB,Director,BUY,850.0,30.96,26316.0,"MIMS, HARRY M JR",Stock Options
2003-12-30,SSB,Director,BUY,500.0,30.96,15480.0,"OSWALD, ANNE H",Stock Options
2003-12-30,SSB,Director,BUY,500.0,30.96,15480.0,"RODGERS, SAMUEL A",Stock Options
2003-12-30,SSB,Director,BUY,500.0,30.96,15480.0,"YEADON, CATHY C",Stock Options
2004-01-02,SSB,Chief Financial Officer,BUY,1050.0,30.01,31510.5,"MATHIS, RICHARD C",Stock Options
2004-01-02,SSB,President,BUY,1500.0,30.01,45015.0,"HILL, ROBERT R JR",Stock Options
2004-01-02,SSB,Chairman of the Board,BUY,875.0,30.01,26258.75,"HORGER, ROBERT R",Stock Options
2004-01-02,SSB,Chief Administrative Officer,BUY,1250.0,30.01,37512.5,"POLLOK, JOHN C",Stock Options
2004-01-02,SSB,Executive Vice President,BUY,325.0,325.0,105625.0,"SHUFORD, JAMES A III",Stock Options
2004-01-02,SSB,Executive Vice President,BUY,325.0,30.01,9753.25,"SHUFORD, JAMES A III",Stock Options
2004-01-02,SSB,Chief Credit Officer,BUY,1000.0,30.01,30010.0,"BURNS, JOE E",Stock Options
2004-01-02,SSB,President & CEO SCBT Piedmont,BUY,1000.0,30.01,30010.0,"CAMP, THOMAS S",Stock Options
2004-01-02,SSB,Chief Executive Officer,BUY,2500.0,30.01,75025.0,"HIPP, C JOHN III",Stock Options
2004-01-20,SSB,EVP and Chief Credit Officer,BUY,1100.0,13.6364,15000.04,"BURNS, JOE E",Common Stock
2004-01-20,SSB,Secretary,SELL,200.0,32.0,6400.0,"HUNTER, JAMES C JR",Common Stock
2004-01-20,SSB,EVP and Chief Credit Officer,SELL,1100.0,13.6364,15000.04,"BURNS, JOE E",Stock Options
2004-01-22,SSB,Director,SELL,561.0,31.86,17873.46,"YEADON, CATHY C",Common Stock
2004-01-26,SSB,Executive Vice President,SELL,240.0,32.0,7680.0,"SHUFORD, JAMES A III",Common Stock
2004-01-27,SSB,"Director, Director & Executive Officer",BUY,3300.0,17.545,57898.50000000001,"HILL, ROBERT R JR",Common Stock
2004-01-27,SSB,"Director, Director & Executive Officer",BUY,4290.0,12.556,53865.24,"HILL, ROBERT R JR",Common Stock
2004-01-27,SSB,"Director, Director & Executive Officer",BUY,5720.0,20.341,116350.52,"HILL, ROBERT R JR",Common Stock
2004-01-27,SSB,"Director, Director & Executive Officer",SELL,4290.0,12.556,53865.24,"HILL, ROBERT R JR",Stock Options
2004-01-27,SSB,President,SELL,3300.0,17.5455,57900.15,"HILL, ROBERT R JR",Stock Options
2004-01-27,SSB,President,BUY,4290.0,12.5564,53866.956,"HILL, ROBERT R JR",Common Stock
2004-01-27,SSB,President,BUY,5720.0,20.3409,116349.948,"HILL, ROBERT R JR",Common Stock
2004-01-27,SSB,President,SELL,5720.0,20.3409,116349.948,"HILL, ROBERT R JR",Stock Options
2004-01-27,SSB,"Director, Director & Executive Officer",SELL,3300.0,17.545,57898.50000000001,"HILL, ROBERT R JR",Stock Options
2004-01-27,SSB,"Director, Director & Executive Officer",SELL,5720.0,20.341,116350.52,"HILL, ROBERT R JR",Stock Options
2004-01-27,SSB,President,BUY,3300.0,17.5455,57900.15,"HILL, ROBERT R JR",Common Stock
2004-01-27,SSB,President,SELL,4290.0,12.5564,53866.956,"HILL, ROBERT R JR",Stock Options
2004-01-30,SSB,President and CEO,SELL,10560.0,20.3409,214799.904,"HIPP, C JOHN III",Stock Options
2004-01-30,SSB,President and CEO,BUY,10560.0,20.3409,214799.904,"HIPP, C JOHN III",Common Stock
2004-01-30,SSB,President and CEO,SELL,7920.0,12.5564,99446.688,"HIPP, C JOHN III",Stock Options
2004-01-30,SSB,President and CEO,BUY,7920.0,12.5564,99446.688,"HIPP, C JOHN III",Common Stock
2004-01-30,SSB,President and CEO,SELL,5280.0,17.5455,92640.24,"HIPP, C JOHN III",Stock Options
2004-01-30,SSB,President and CEO,SELL,2500.0,24.4,61000.0,"HIPP, C JOHN III",Stock Options
2004-01-30,SSB,President and CEO,BUY,2500.0,24.4,61000.0,"HIPP, C JOHN III",Common Stock
2004-01-30,SSB,President and CEO,SELL,14760.0,31.7,467892.0,"HIPP, C JOHN III",Common Stock
2004-01-30,SSB,President and CEO,BUY,5280.0,17.5455,92640.24,"HIPP, C JOHN III",Common Stock
2004-02-11,SSB,Director,BUY,600.0,32.24,19344.0,"BATTISTE, LUTHER J III",Common Stock
2004-02-12,SSB,Secretary,SELL,200.0,32.65,6530.0,"HUNTER, JAMES C JR",Common Stock
2004-02-12,SSB,Director,SELL,660.0,20.3409,13424.994,"RODGERS, SAMUEL A",Stock Options
2004-02-12,SSB,Director,BUY,880.0,17.3637,15280.056,"RODGERS, SAMUEL A",Common Stock
2004-02-12,SSB,Director,BUY,660.0,20.3409,13424.994,"RODGERS, SAMUEL A",Common Stock
2004-02-12,SSB,Director,BUY,300.0,32.25,9675.0,"BATTISTE, LUTHER J III",Common Stock
2004-02-12,SSB,Director,SELL,880.0,17.3637,15280.056,"RODGERS, SAMUEL A",Stock Options
2004-02-17,SSB,Secretary,SELL,200.0,33.0,6600.0,"HUNTER, JAMES C JR",Common Stock
2004-03-17,SSB,EXECUTIVE VICE PRESIDENT,SELL,690.0,31.75,21907.5,"SHUFORD, JAMES A III",COMMON STOCK
2004-04-07,SSB,EVP & Chief Credit Officer,BUY,2200.0,13.6363,29999.86,"BURNS, JOE E",Common Stock
2004-04-07,SSB,EVP & Chief Credit Officer,SELL,2200.0,13.6363,29999.86,"BURNS, JOE E",Stock Options
2004-04-22,SSB,EVP & Chief Credit Officer,SELL,900.0,31.5726,28415.34,"BURNS, JOE E",Common Stock
2004-04-23,SSB,EVP & Chief Credit Officer,SELL,2400.0,31.0425,74502.0,"BURNS, JOE E",Common Stock
2004-05-07,SSB,Director,BUY,200.0,31.36,6272.0,"SUGGS, THOMAS E",Common Stock
2004-05-12,SSB,EVP & CFO,BUY,1375.0,15.3409,21093.7375,"MATHIS, RICHARD C",Common Stock
2004-05-12,SSB,EVP & CFO,SELL,1375.0,15.3409,21093.7375,"MATHIS, RICHARD C",Stock Options
2004-05-26,SSB,Director,BUY,100.0,29.5,2950.0,"SUGGS, THOMAS E",Common Stock
2004-06-07,SSB,Director,SELL,2485.0,29.0,72065.0,"ROQUEMORE, JAMES W",Common Stock
2004-06-07,SSB,Director,SELL,226.0,29.0,6554.0,"ROQUEMORE, JAMES W",Common Stock
2004-06-08,SSB,Director,SELL,396.0,29.0,11484.0,"ROQUEMORE, JAMES W",Common Stock
2004-07-27,SSB,chairman,SELL,100.0,28.6,2860.0,"HORGER, ROBERT R",common stock
2004-09-16,SSB,Executive Vice Preseident,SELL,600.0,31.69,19014.0,"SHUFORD, JAMES A III",Common Stock
2004-10-29,SSB,Executive Vice President,SELL,250.0,32.75,8187.5,"SHUFORD, JAMES A III",Common Stock
2004-10-29,SSB,Executive Vice President,SELL,150.0,32.75,4912.5,"SHUFORD, JAMES A III",Common Stock
2004-11-02,SSB,President & Interim CEO,SELL,300.0,34.17,10251.0,"HILL, ROBERT R JR",Common Stock
2004-11-03,SSB,Former Chief Executive Officer,SELL,4500.0,34.04,153180.0,"HIPP, C JOHN III",Common Stock
2004-11-05,SSB,Former Chief Executive Officer,SELL,5500.0,33.0,181500.0,"HIPP, C JOHN III",Common Stock
