date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2019-12-16,STOK,"Director, CEO",BUY,50000.0,0.6,30000.0,"KAYE, EDWARD M. MD",Common Stock
2019-12-20,STOK,EVP Research & Preclinical Dev,BUY,6000.0,0.6,3600.0,"LIAU, GENE",Common Stock
2020-03-31,STOK,EVP Research & Preclinical Dev,BUY,7500.0,0.6,4500.0,"LIAU, GENE",Common Stock
2020-05-22,STOK,EVP Research & Preclinical Dev,SELL,7500.0,30.0,225000.0,"LIAU, GENE",Common Stock
2020-05-22,STOK,EVP Research & Preclinical Dev,BUY,7500.0,0.6,4500.0,"LIAU, GENE",Common Stock
2020-06-01,STOK,COO & CBO,SELL,500.0,27.484,13742.0,"NASH, HUW M.",Common Stock
2020-06-01,STOK,COO & CBO,SELL,1607.0,27.0823,43521.2561,"NASH, HUW M.",Common Stock
2020-06-01,STOK,COO & CBO,BUY,2107.0,2.19,4614.33,"NASH, HUW M.",Common Stock
2020-06-01,STOK,EVP Research & Preclinical Dev,SELL,1230.0,27.4809,33801.507,"LIAU, GENE",Common Stock
2020-06-01,STOK,EVP Research & Preclinical Dev,SELL,7875.0,26.9106,211920.97499999998,"LIAU, GENE",Common Stock
2020-06-01,STOK,EVP Research & Preclinical Dev,SELL,10895.0,25.8205,281314.3475,"LIAU, GENE",Common Stock
2020-06-01,STOK,EVP Research & Preclinical Dev,BUY,20000.0,2.19,43800.0,"LIAU, GENE",Common Stock
2020-06-01,STOK,Chief Medical Officer,SELL,365.0,27.98,10212.7,"TICHO, BARRY",Common Stock
2020-06-01,STOK,Chief Medical Officer,SELL,1000.0,27.174,27174.0,"TICHO, BARRY",Common Stock
2020-06-01,STOK,Chief Medical Officer,BUY,42880.0,2.19,93907.2,"TICHO, BARRY",Common Stock
2020-06-01,STOK,Chief Medical Officer,BUY,131147.0,0.6,78688.2,"TICHO, BARRY",Common Stock
2020-07-01,STOK,COO & CBO,SELL,3800.0,23.1494,87967.72,"NASH, HUW M.",Common Stock
2020-07-01,STOK,COO & CBO,BUY,3800.0,2.19,8322.0,"NASH, HUW M.",Common Stock
2020-07-07,STOK,COO & CBO,SELL,913.0,22.4062,20456.8606,"NASH, HUW M.",Common Stock
2020-07-07,STOK,"Chief Legal Officer, CCO & Sec",SELL,941.0,22.5,21172.5,"WALKER, ROBIN A.",Common Stock
2020-07-16,STOK,COO & CBO,SELL,1900.0,25.06,47614.0,"NASH, HUW M.",Common Stock
