date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2011-04-01,SYBT,Director,BUY,24.238,25.3,613.2214,"LECHLEITER, RICHARD A",Common Stock
2011-04-28,SYBT,Director,BUY,120.773,24.84,3000.00132,"TASMAN, NORMAN",Common Stock
2011-04-28,SYBT,Director,BUY,144.928,24.84,3600.01152,"LECHLEITER, RICHARD A",Common Stock
2011-04-28,SYBT,Director,BUY,165.056,24.84,4099.99104,"MADISON, BRUCE P",Common Stock
2011-04-28,SYBT,Director,BUY,72.464,24.84,1800.00576,"HERDE, CARL G",Common Stock
2011-04-28,SYBT,Director,BUY,64.412,24.84,1599.9940800000002,"SIMON, NICHOLAS X",Common Stock
2011-04-28,SYBT,Director,BUY,500.0,24.61,12305.0,"NORTHERN, RICHARD",Common Stock
2011-04-28,SYBT,Director,BUY,120.773,24.84,3000.00132,"EDINGER, CHARLES R III",Common Stock
2011-04-28,SYBT,Director,BUY,1000.0,24.62,24620.0,"NORTHERN, RICHARD",Common Stock
2011-04-28,SYBT,Director,BUY,120.773,24.84,3000.00132,"NORTHERN, RICHARD",Common Stock
2011-05-24,SYBT,Director,BUY,104.341,23.96,2500.0103599999998,"TASMAN, NORMAN",Common Stock
2011-05-24,SYBT,Director,BUY,104.341,23.96,2500.0103599999998,"MADISON, BRUCE P",Common Stock
2011-05-24,SYBT,Director,BUY,41.736,23.96,999.99456,"LECHLEITER, RICHARD A",Common Stock
2011-05-24,SYBT,Director,BUY,52.17,23.96,1249.9932000000001,"HERDE, CARL G",Common Stock
2011-05-24,SYBT,Director,BUY,83.472,23.96,1999.98912,"EDINGER, CHARLES R III",Common Stock
2011-05-24,SYBT,Director,BUY,1000.0,23.957,23957.0,"NORTHERN, RICHARD",Common Stock
2011-05-24,SYBT,Director,BUY,104.341,23.96,2500.0103599999998,"NORTHERN, RICHARD",Common Stock
2011-05-24,SYBT,Director,BUY,62.604,23.96,1499.9918400000001,"SIMON, NICHOLAS X",Common Stock
2011-05-26,SYBT,"Director, Chairman & CEO",SELL,1260.0,24.2587,30565.962,"HEINTZMAN, DAVID P",Common Stock
2011-05-27,SYBT,"Director, Chairman & CEO",SELL,2740.0,24.15,66171.0,"HEINTZMAN, DAVID P",Common Stock
2011-05-31,SYBT,"Exec. Vice President, Treasure",SELL,5700.0,24.4994,139646.58000000002,"DAVIS, NANCY B",Common Stock
2011-06-06,SYBT,Director,BUY,400.0,23.754,9501.6,"LECHLEITER, RICHARD A",Common Stock
2011-06-09,SYBT,Director,SELL,500.0,24.05,12025.0,"CARRICO, JAMES E",Common Stock
2011-06-13,SYBT,Director,BUY,1000.0,23.4313,23431.3,"NORTHERN, RICHARD",Common Stock
2011-06-15,SYBT,Director,BUY,300.0,22.8315,6849.45,"LECHLEITER, RICHARD A",Common Stock
2011-06-24,SYBT,Director,BUY,44.444,22.5,999.99,"SIMON, NICHOLAS X",Common Stock
2011-06-24,SYBT,Director,BUY,88.889,22.5,2000.0024999999998,"NORTHERN, RICHARD",Common Stock
2011-06-24,SYBT,Director,BUY,111.111,22.5,2499.9975,"MADISON, BRUCE P",Common Stock
2011-06-24,SYBT,Director,BUY,83.333,22.5,1874.9925,"LECHLEITER, RICHARD A",Common Stock
2011-06-24,SYBT,Director,BUY,127.778,22.5,2875.005,"EDINGER, CHARLES R III",Common Stock
2011-06-24,SYBT,Director,BUY,86.111,22.5,1937.4975000000002,"HERDE, CARL G",Common Stock
2011-06-24,SYBT,Director,BUY,111.111,22.5,2499.9975,"TASMAN, NORMAN",Common Stock
2011-06-30,SYBT,"Director, President",BUY,448.0,22.98,10295.04,"HILLEBRAND, JAMES A",Common Stock
2011-06-30,SYBT,Director,BUY,1000.0,22.9626,22962.6,"NORTHERN, RICHARD",Common Stock
2011-07-01,SYBT,Director,BUY,52.725,23.39,1233.23775,"SIMON, NICHOLAS X",Common Stock
2011-07-01,SYBT,Director,BUY,187.738,23.39,4391.19182,"TASMAN, NORMAN",Common Stock
2011-07-01,SYBT,Director,BUY,28.905,23.39,676.0879500000001,"LECHLEITER, RICHARD A",Common Stock
2011-07-01,SYBT,"Director, President",BUY,1.823,23.39,42.63997,"HILLEBRAND, JAMES A",Common Stock
2011-07-01,SYBT,Director,BUY,81.144,23.39,1897.9581600000001,"EDINGER, CHARLES R III",Common Stock
2011-07-01,SYBT,Director,BUY,81.144,23.9,1939.3416,"EDINGER, CHARLES R III",Common Stock
2011-07-01,SYBT,Director,BUY,251.84,23.39,5890.537600000001,"MADISON, BRUCE P",Common Stock
2011-07-01,SYBT,Director,BUY,4.12,23.39,96.3668,"NORTHERN, RICHARD",Common Stock
2011-07-01,SYBT,Director,BUY,10.248,23.39,239.70072,"BROOKS, DAVID H",Common Stock
2011-07-01,SYBT,Director,BUY,39.705,23.39,928.69995,"HERDE, CARL G",Common Stock
2011-07-27,SYBT,Director,BUY,133.333,22.5,2999.9925,"NORTHERN, RICHARD",Common Stock
2011-07-27,SYBT,Director,BUY,111.111,22.5,2499.9975,"EDINGER, CHARLES R III",Common Stock
2011-07-27,SYBT,Director,BUY,68.889,22.5,1550.0024999999998,"HERDE, CARL G",Common Stock
2011-07-27,SYBT,Director,BUY,88.889,22.5,2000.0024999999998,"SIMON, NICHOLAS X",Common Stock
2011-07-27,SYBT,Director,BUY,100.0,22.5,2250.0,"LECHLEITER, RICHARD A",Common Stock
2011-07-27,SYBT,Director,BUY,137.778,22.5,3100.0049999999997,"MADISON, BRUCE P",Common Stock
2011-07-27,SYBT,Director,BUY,111.111,22.5,2499.9975,"TASMAN, NORMAN",Common Stock
2011-07-27,SYBT,Director,BUY,115.556,22.5,2600.0099999999998,"LECHLEITER, RICHARD A",Common Stock
2011-08-03,SYBT,Director,BUY,100.0,22.0,2200.0,"LECHLEITER, RICHARD A",Common Stock
2011-08-03,SYBT,Director,BUY,200.0,21.95,4390.0,"LECHLEITER, RICHARD A",Common Stock
2011-08-03,SYBT,Director,BUY,100.0,21.85,2185.0,"LECHLEITER, RICHARD A",Common Stock
2011-08-05,SYBT,Director,BUY,400.0,21.49,8596.0,"LECHLEITER, RICHARD A",Common Stock
2011-08-17,SYBT,Director,BUY,1000.0,20.8,20800.0,"NORTHERN, RICHARD",Common Stock
2011-08-18,SYBT,Director,BUY,1000.0,20.03,20030.0,"HERDE, CARL G",Common Stock
2011-08-18,SYBT,Director,BUY,1000.0,19.8592,19859.2,"LECHLEITER, RICHARD A",Common Stock
2011-08-19,SYBT,Director,BUY,500.0,19.41,9705.0,"LECHLEITER, RICHARD A",Common Stock
2011-08-22,SYBT,Director,BUY,103.466,19.33,1999.9977799999997,"NORTHERN, RICHARD",Common Stock
2011-08-22,SYBT,Director,BUY,51.733,19.33,999.9988899999998,"SIMON, NICHOLAS X",Common Stock
2011-08-22,SYBT,Director,BUY,155.199,19.33,2999.99667,"TASMAN, NORMAN",Common Stock
