date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2007-03-30,TDG,Director,BUY,461.0,32.5,14982.5,"GRAFF, MICHAEL","Common Stock, par value $0.01 per share"
2007-03-30,TDG,Director,BUY,461.0,32.5,14982.5,"KRUSE, KEVIN","Common Stock, par value $0.01 per share"
2007-03-30,TDG,Director,BUY,461.0,32.5,14982.5,"BARR, DAVID","Common Stock, par value $0.01 per share"
2007-03-30,TDG,Director,BUY,461.0,32.5,14982.5,"HENNESSY, SEAN P",Common Stock
2007-03-30,TDG,Director,BUY,461.0,32.5,14982.5,"LEE, KEWSONG","Common Stock, par value $0.01 per share"
2007-04-20,TDG,Director,BUY,260.0,38.44,9994.4,"BARR, DAVID","Common Stock (restricted), par value $0.01 per share"
2007-04-20,TDG,Director,BUY,260.0,38.44,9994.4,"LEE, KEWSONG","Common Stock (restricted), par value $0.01 per share"
2007-04-20,TDG,Director,BUY,260.0,38.44,9994.4,"KRUSE, KEVIN","Common Stock (restricted), par value $0.01 per share"
2007-04-20,TDG,Director,BUY,260.0,38.44,9994.4,"GRAFF, MICHAEL","Common Stock (restricted), par value $0.01 per share"
2007-05-02,TDG,Dir. of Corporate Accounting,BUY,3200.0,13.37,42784.0,"MARONEY, SEAN P",Common Stock
2007-05-02,TDG,Dir. of Corporate Accounting,SELL,3200.0,37.6725,120552.0,"MARONEY, SEAN P",Common Stock
2007-05-25,TDG,"Pres., Champion Aerospace Inc.",SELL,77706.0,35.25,2739136.5,"IVERSEN, BERNT G II",Common Stock
2007-05-25,TDG,"Director, CEO and Chairman of Bd.",BUY,813941.0,2.38,1937179.5799999998,"HOWLEY, W NICHOLAS",Common Stock
2007-05-25,TDG,"Director, CEO and Chairman of Bd.",SELL,882714.0,35.25,31115668.5,"HOWLEY, W NICHOLAS",Common Stock
2007-05-25,TDG,"Director, CEO and Chairman of Bd.",BUY,133108.0,0.79,105155.32,"HOWLEY, W NICHOLAS",Common Stock
2007-05-25,TDG,Pres. (AeroControlex Group),BUY,22239.0,3.35,74500.65000000001,"RILEY, JAMES M",Common Stock
2007-05-25,TDG,10% Owner,SELL,9714937.0,35.25,342451529.25,"TD, GROUP HOLDINGS, LLC","Common Stock, par value $0.01 per share"
2007-05-25,TDG,"Director, CEO and Chairman of Bd.",SELL,133108.0,35.25,4692057.0,"HOWLEY, W NICHOLAS",Common Stock
2007-05-25,TDG,President and COO,SELL,225000.0,35.25,7931250.0,"LAUBENTHAL, RAYMOND F",Common Stock
2007-05-25,TDG,Exc. VP and Pres. (AdelWiggin),BUY,165842.0,2.34,388070.27999999997,"HENDERSON, ROBERT S",Common Stock
2007-05-25,TDG,"Pres., Champion Aerospace Inc.",BUY,14799.0,0.45,6659.55,"IVERSEN, BERNT G II",Common Stock
2007-05-25,TDG,"Director, CEO and Chairman of Bd.",SELL,9169.0,35.25,323207.25,"HOWLEY, W NICHOLAS",Common Stock
2007-05-25,TDG,"Exec. VP, CFO and Secretary",BUY,8025.0,6.68,53607.0,"RUFUS, GREGORY",Common Stock
2007-05-25,TDG,President and COO,BUY,225000.0,2.36,531000.0,"LAUBENTHAL, RAYMOND F",Common Stock
2007-05-25,TDG,"Exec. VP, CFO and Secretary",BUY,37795.0,2.65,100156.75,"RUFUS, GREGORY",Common Stock
2007-05-25,TDG,"Pres., Champion Aerospace Inc.",BUY,62907.0,0.75,47180.25,"IVERSEN, BERNT G II",Common Stock
2007-05-25,TDG,"Pres., MarathonNorco Aerospace",SELL,1000.0,35.25,35250.0,"MCCLELLAND, RALPH",Common Stock
2007-05-25,TDG,Exc. VP and Pres. (AdelWiggin),SELL,165842.0,35.25,5845930.5,"HENDERSON, ROBERT S",Common Stock
2007-05-25,TDG,Pres. (AeroControlex Group),BUY,41987.0,2.34,98249.57999999999,"RILEY, JAMES M",Common Stock
2007-05-25,TDG,"Pres., MarathonNorco Aerospace",BUY,1000.0,6.68,6680.0,"MCCLELLAND, RALPH",Common Stock
2007-05-25,TDG,Director,SELL,9714937.0,35.25,342451529.25,"BARR, DAVID","Common Stock, par value $0.01 per share"
2007-05-25,TDG,Pres. (AeroControlex Group),SELL,75939.0,35.25,2676849.75,"RILEY, JAMES M",Common Stock
2007-05-25,TDG,Pres. (AeroControlex Group),BUY,11713.0,6.68,78242.84,"RILEY, JAMES M",Common Stock
2007-05-25,TDG,"Exec. VP, CFO and Secretary",SELL,123658.0,35.25,4358944.5,"RUFUS, GREGORY",Common Stock
2007-05-25,TDG,Pres. (Adams Rite Aerospace),SELL,67444.0,35.25,2377401.0,"LEARY, JOHN F",Common Stock
