date,symbol,insider_title,transaction_type,shares,price,value,executive,security_type
2004-05-11,VECO,Director,BUY,10000.0,23.77,237700.0,"SCHERR, WALTER J",Stock Option (Right to Purchase)
2004-07-28,VECO,VP Finance & Corp. Controller,BUY,30000.0,21.36,640800.0,"KIERNAN, JOHN P",Stock Option (right to purchase)
2004-07-28,VECO,"Exec. VP, CFO & Secretary",BUY,70000.0,21.36,1495200.0,"REIN, JOHN F JR",Stock Option (right to purchase)
2004-07-28,VECO,"Director, Chairman & CEO",BUY,200000.0,21.36,4272000.0,"BRAUN, EDWARD H",Stock Option (right to purchase)
2004-07-28,VECO,President and COO,BUY,130000.0,21.36,2776800.0,"KANIA, DON R",Stock Option (right to purchase)
2004-07-28,VECO,"Exec VP, WW Sales",BUY,40000.0,21.36,854400.0,"BULMAN, JOHN K",Stock Option (right to purchase)
2004-07-28,VECO,"Sr VP, Metrology",BUY,30000.0,21.36,640800.0,"MARTINEZ, ANTHONY L",Stock Option (right to purchase)
2004-07-28,VECO,"Sr VP, Compound Semicndtr.",BUY,30000.0,21.36,640800.0,"BRAUN, MARLIN A",Stock Option (right to purchase)
2004-09-14,VECO,Director,SELL,3333.0,4.5,14998.5,"DAMORE, RICHARD A",Stock Option (Right to Purchase)
2004-09-14,VECO,Director,SELL,3333.0,4.5,14998.5,"DAMORE, RICHARD A",Stock Option (Right to Purchase)
2004-09-14,VECO,Director,BUY,3333.0,4.5,14998.5,"DAMORE, RICHARD A","Common Stock, par value $.01 per share"
2004-09-15,VECO,"Sr VP/GM, Compd Semicndtr.",SELL,1179.0,20.88,24617.52,"BRAUN, MARLIN A","Common Stock, $.01 par value"
2004-09-15,VECO,"Sr VP/GM, Compd Semicndtr.",SELL,1179.0,20.88,24617.52,"BRAUN, MARLIN A","Common Stock, $.01 par value"
2004-12-31,VECO,"Exec. VP, CFO & Secretary",BUY,765.0,17.765,13590.225,"REIN, JOHN F JR","Common stock, par value $.01 per share"
2004-12-31,VECO,"Sr VP, Metrology",BUY,875.0,17.765,15544.375,"MARTINEZ, ANTHONY L","Common stock, par value $.01 per share"
2004-12-31,VECO,"Exec. VP, CFO & Secretary",BUY,765.0,17.765,13590.225,"REIN, JOHN F JR","Common stock, par value $.01 per share"
2004-12-31,VECO,"Sr VP, Metrology",BUY,875.0,17.765,15544.375,"MARTINEZ, ANTHONY L","Common stock, par value $.01 per share"
2004-12-31,VECO,"Sr VP, Metrology",BUY,1196.0,17.765,21246.940000000002,"MARTINEZ, ANTHONY L","Common stock, par value $.01 per share"
2004-12-31,VECO,"Sr VP, Metrology",BUY,1196.0,17.765,21246.940000000002,"MARTINEZ, ANTHONY L","Common stock, par value $.01 per share"
2005-04-21,VECO,10% Owner,SELL,40000.0,14.923,596920.0,"COLOMBO, PAUL E",Common Stock
2005-04-21,VECO,10% Owner,SELL,40000.0,14.923,596920.0,"COLOMBO, PAUL E",Common Stock
2005-04-22,VECO,10% Owner,SELL,50500.0,14.7421,744476.05,"COLOMBO, PAUL E",Common Stock
2005-04-22,VECO,10% Owner,SELL,50500.0,14.7421,744476.05,"COLOMBO, PAUL E",Common Stock
2005-04-25,VECO,10% Owner,SELL,100000.0,14.6329,1463290.0,"COLOMBO, PAUL E",Common Stock
2005-04-25,VECO,10% Owner,SELL,100000.0,14.6329,1463290.0,"COLOMBO, PAUL E",Common Stock
2005-05-18,VECO,10% Owner,SELL,83700.0,14.7188,1231963.56,"COLOMBO, PAUL E",Common Stock
2005-05-18,VECO,10% Owner,SELL,83700.0,14.7188,1231963.56,"COLOMBO, PAUL E",Common Stock
2005-05-19,VECO,10% Owner,SELL,74719.0,14.782,1104496.258,"COLOMBO, PAUL E",Common Stock
2005-05-19,VECO,10% Owner,SELL,74719.0,14.782,1104496.258,"COLOMBO, PAUL E",Common Stock
2005-05-20,VECO,10% Owner,SELL,100000.0,14.6784,1467840.0,"COLOMBO, PAUL E",Common Stock
2005-05-20,VECO,10% Owner,SELL,100000.0,14.6784,1467840.0,"COLOMBO, PAUL E",Common Stock
2005-05-23,VECO,10% Owner,SELL,100000.0,14.6784,1467840.0,"COLOMBO, PAUL E",Common Stock
2005-05-23,VECO,10% Owner,SELL,100000.0,14.6784,1467840.0,"COLOMBO, PAUL E",Common Stock
2005-05-25,VECO,Director,BUY,10000.0,15.08,150800.0,"FRIDRICH, HEINZ K",Stock Option (Right to Purchase)
2005-05-25,VECO,Director,BUY,10000.0,15.08,150800.0,"ELFTMANN, JOEL A",Stock Option (Right to Purchase)
